covariate 1:   name=covariate1, type=float, missing=  0 of 100, average=0.125137, stdev=1.030975, range=[-2.062747,2.964678], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 100, average=0.084121, stdev=1.029073, range=[-2.532053,2.299955], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 100, average=-0.089353, stdev=1.100399, range=[-2.367489,2.478949], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 100, average=-0.091608, stdev=0.975830, range=[-2.869209,1.636832], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 100, average=0.056963, stdev=0.982093, range=[-2.477982,2.579440], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 100, average=0.043609, stdev=1.045819, range=[-2.580312,2.823770], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 100, average=-0.019460, stdev=1.091562, range=[-2.145214,3.404901], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 100, average=-0.123270, stdev=1.011082, range=[-2.778167,1.800551], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 100, average=0.118646, stdev=0.981957, range=[-2.448604,2.387046], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=0.126248, stdev=0.984634, range=[-2.013848,2.188396], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 100, average=-0.092341, stdev=1.039846, range=[-2.341215,2.091092], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 100, average=0.218187, stdev=0.928488, range=[-1.821107,2.707179], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 100, average=0.082561, stdev=1.022649, range=[-2.530581,2.362071], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 100, average=0.058042, stdev=0.886383, range=[-2.032868,2.179774], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=0.000415, stdev=1.002892, range=[-2.367294,2.413646], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 100, average=0.020538, stdev=0.882271, range=[-1.815012,2.291146], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 100, average=-0.042220, stdev=0.997238, range=[-2.296319,2.094686], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 100, average=0.012641, stdev=0.940847, range=[-2.144580,1.875515], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 100, average=0.154010, stdev=0.969280, range=[-2.020273,2.311263], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 100, average=-0.225854, stdev=0.967447, range=[-3.849716,2.145452], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 100, average=0.168978, stdev=1.040619, range=[-2.592805,2.697748], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 100, average=-0.228985, stdev=0.834213, range=[-2.200567,1.628637], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 100, average=-0.001851, stdev=1.130918, range=[-2.723588,2.764851], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 100, average=0.193424, stdev=0.905691, range=[-1.836959,2.877300], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 100, average=-0.087338, stdev=1.072345, range=[-3.892655,1.957618], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 100, average=0.079745, stdev=1.000288, range=[-2.437493,2.565911], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 100, average=0.044099, stdev=0.947345, range=[-2.621935,2.269136], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 100, average=-0.062823, stdev=1.060150, range=[-3.015042,2.106709], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 100, average=0.010252, stdev=0.989404, range=[-2.591667,2.075717], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 100, average=-0.027421, stdev=1.027542, range=[-2.396277,2.909899], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 100, average=-0.022028, stdev=1.165264, range=[-2.882403,2.612665], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 100, average=-0.033422, stdev=0.901571, range=[-2.238245,2.022887], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 100, average=-0.024728, stdev=0.960704, range=[-2.266825,1.972417], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 100, average=-0.053970, stdev=1.007221, range=[-2.767988,2.310500], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 100, average=-0.125079, stdev=0.908808, range=[-2.654876,2.522210], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 100, average=-0.023350, stdev=0.993653, range=[-2.567180,2.123933], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 100, average=-0.035255, stdev=1.116102, range=[-2.876964,2.751616], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 100, average=0.064528, stdev=0.960518, range=[-1.966846,3.198218], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 100, average=-0.007938, stdev=1.115549, range=[-2.867177,2.774399], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 100, average=-0.081289, stdev=1.046337, range=[-3.233434,2.247785], active=1
