covariate 1:   name=covariate1, type=float, missing=  0 of 100, average=-0.072640, stdev=0.951895, range=[-2.199717,2.197716], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 100, average=0.130021, stdev=0.937074, range=[-2.579735,2.720823], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 100, average=-0.056098, stdev=1.056180, range=[-2.932966,3.406959], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 100, average=0.160400, stdev=0.884154, range=[-1.919087,2.201255], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 100, average=-0.030170, stdev=1.041714, range=[-2.194376,3.056580], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 100, average=0.015459, stdev=0.961033, range=[-2.359920,2.446926], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 100, average=-0.041808, stdev=0.889581, range=[-1.924173,2.588986], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 100, average=-0.097948, stdev=0.892952, range=[-2.995703,2.436332], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 100, average=-0.028594, stdev=0.987968, range=[-2.915704,1.947301], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=0.075985, stdev=0.967438, range=[-2.197356,2.473507], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 100, average=-0.050713, stdev=0.997185, range=[-2.226795,2.607053], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 100, average=-0.070578, stdev=0.969541, range=[-2.244920,2.864986], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 100, average=-0.052377, stdev=0.938923, range=[-2.318465,2.229524], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 100, average=-0.071332, stdev=1.029646, range=[-3.837335,2.591425], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=-0.016372, stdev=0.971566, range=[-2.314863,1.941094], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 100, average=-0.046187, stdev=0.960264, range=[-1.914152,2.685479], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 100, average=-0.209890, stdev=0.993299, range=[-2.791157,2.175448], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 100, average=-0.081420, stdev=1.054636, range=[-2.229632,2.983620], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 100, average=0.116132, stdev=1.032617, range=[-2.344761,2.532047], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 100, average=-0.046921, stdev=0.955677, range=[-2.945424,2.736670], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 100, average=0.027692, stdev=0.987190, range=[-1.950367,2.697474], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 100, average=-0.028599, stdev=0.898292, range=[-2.602800,2.381716], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 100, average=-0.166737, stdev=1.062746, range=[-4.163016,1.946534], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 100, average=0.227756, stdev=0.993358, range=[-2.086678,2.546838], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 100, average=0.100119, stdev=1.037209, range=[-3.244378,2.901877], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 100, average=0.113277, stdev=1.049856, range=[-2.629993,2.593671], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 100, average=0.033439, stdev=0.997419, range=[-3.071346,2.370794], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 100, average=-0.057622, stdev=1.009757, range=[-2.264635,2.094089], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 100, average=-0.090061, stdev=0.908422, range=[-2.210897,1.929684], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 100, average=-0.049877, stdev=1.022031, range=[-2.256245,2.822002], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 100, average=0.127157, stdev=0.981645, range=[-2.178760,2.366379], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 100, average=-0.048422, stdev=0.990435, range=[-2.424136,2.434195], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 100, average=0.117271, stdev=1.007919, range=[-2.492339,2.169819], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 100, average=-0.105430, stdev=0.963847, range=[-2.868008,1.954950], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 100, average=-0.211823, stdev=1.041972, range=[-2.704732,2.898557], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 100, average=0.167188, stdev=1.068810, range=[-2.747843,3.021572], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 100, average=-0.065273, stdev=0.952309, range=[-2.752013,2.233792], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 100, average=0.063121, stdev=0.918554, range=[-2.207818,2.011420], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 100, average=0.074541, stdev=1.032074, range=[-3.074958,2.725953], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 100, average=0.103644, stdev=1.081574, range=[-2.522875,2.738810], active=1
