covariate 1:   name=covariate1, type=float, missing=  0 of  50, average=0.061085, stdev=0.999846, range=[-1.770741,2.940229], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of  50, average=0.081788, stdev=1.073380, range=[-1.919410,2.504185], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of  50, average=-0.097909, stdev=1.068972, range=[-1.983014,2.434491], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of  50, average=-0.120967, stdev=1.133411, range=[-2.187740,2.815599], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of  50, average=0.228781, stdev=0.798430, range=[-1.311825,2.382511], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of  50, average=0.042005, stdev=1.142869, range=[-2.049543,3.045380], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  50, average=-0.015128, stdev=0.838219, range=[-1.808112,2.752028], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of  50, average=-0.235846, stdev=1.019812, range=[-2.419768,1.952920], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of  50, average=0.016499, stdev=1.067237, range=[-2.546540,2.315133], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of  50, average=0.058098, stdev=1.028761, range=[-2.005747,3.057711], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of  50, average=0.163787, stdev=0.930633, range=[-1.820243,2.305391], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of  50, average=0.025540, stdev=1.224513, range=[-2.176347,3.220785], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of  50, average=-0.287681, stdev=0.911560, range=[-2.244979,1.488245], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of  50, average=0.095009, stdev=1.073818, range=[-2.639682,2.483121], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of  50, average=-0.059241, stdev=0.995923, range=[-2.336440,2.601623], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of  50, average=-0.042484, stdev=1.006728, range=[-2.531140,2.175282], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of  50, average=0.010838, stdev=0.832737, range=[-1.854515,1.637563], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of  50, average=0.207187, stdev=0.845838, range=[-1.453613,2.483046], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of  50, average=-0.043769, stdev=0.902909, range=[-2.032168,2.062168], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of  50, average=-0.062544, stdev=0.953226, range=[-2.556627,1.798650], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of  50, average=0.197979, stdev=1.112902, range=[-2.439543,2.234088], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of  50, average=0.135099, stdev=0.920139, range=[-1.519178,2.026462], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of  50, average=-0.121184, stdev=0.852187, range=[-1.734424,1.661346], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of  50, average=0.008121, stdev=1.018663, range=[-2.211776,1.968753], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of  50, average=-0.084994, stdev=1.164050, range=[-3.273226,2.676033], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of  50, average=0.165590, stdev=1.047474, range=[-2.249814,2.470426], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of  50, average=0.238409, stdev=1.097275, range=[-1.965938,2.496961], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of  50, average=-0.191087, stdev=1.033794, range=[-2.007348,2.324291], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of  50, average=0.063624, stdev=1.042331, range=[-2.292639,2.212176], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of  50, average=0.182996, stdev=0.939808, range=[-1.725075,2.457386], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of  50, average=0.203487, stdev=1.056930, range=[-2.316906,2.404920], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of  50, average=-0.018461, stdev=0.984330, range=[-1.865446,1.838300], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of  50, average=-0.016626, stdev=0.939108, range=[-2.216539,1.983557], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of  50, average=-0.023775, stdev=0.980050, range=[-2.047722,1.913234], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of  50, average=-0.009928, stdev=0.938029, range=[-1.741546,2.205438], active=1
