active=80: F_T=1.000000, F_V=0.616600
active=79: F_T=1.000000, F_V=0.619600
active=78: F_T=1.000000, F_V=0.611200
active=77: F_T=1.000000, F_V=0.618600
active=76: F_T=1.000000, F_V=0.622200
active=75: F_T=1.000000, F_V=0.626400
active=74: F_T=1.000000, F_V=0.641600
active=73: F_T=1.000000, F_V=0.629400
active=72: F_T=1.000000, F_V=0.643200
active=71: F_T=1.000000, F_V=0.651600
active=70: F_T=1.000000, F_V=0.650000
active=69: F_T=1.000000, F_V=0.662200
active=68: F_T=1.000000, F_V=0.654000
active=67: F_T=0.999800, F_V=0.674000
active=66: F_T=1.000000, F_V=0.671600
active=65: F_T=1.000000, F_V=0.673600
active=64: F_T=1.000000, F_V=0.675600
active=63: F_T=1.000000, F_V=0.666400
active=62: F_T=0.999400, F_V=0.683600
active=61: F_T=0.999800, F_V=0.689600
active=60: F_T=0.999800, F_V=0.693200
active=59: F_T=0.999200, F_V=0.694800
active=58: F_T=0.998400, F_V=0.702400
active=57: F_T=0.998200, F_V=0.718000
active=56: F_T=0.998400, F_V=0.706200
active=55: F_T=0.998000, F_V=0.711000
active=54: F_T=0.997800, F_V=0.710400
active=53: F_T=0.996800, F_V=0.728200
active=52: F_T=0.996400, F_V=0.738400
active=51: F_T=0.995800, F_V=0.740400
active=50: F_T=0.994000, F_V=0.741000
active=49: F_T=0.993200, F_V=0.749400
active=48: F_T=0.993400, F_V=0.748000
active=47: F_T=0.993200, F_V=0.759600
active=46: F_T=0.994800, F_V=0.756000
active=45: F_T=0.992800, F_V=0.762600
active=44: F_T=0.991600, F_V=0.772600
active=43: F_T=0.992600, F_V=0.764400
active=42: F_T=0.992200, F_V=0.780000
active=41: F_T=0.989000, F_V=0.775600
active=40: F_T=0.988000, F_V=0.776400
active=39: F_T=0.988600, F_V=0.778400
active=38: F_T=0.988800, F_V=0.805600
active=37: F_T=0.988000, F_V=0.796400
active=36: F_T=0.985600, F_V=0.801200
active=35: F_T=0.987000, F_V=0.818000
active=34: F_T=0.984400, F_V=0.793000
active=33: F_T=0.985200, F_V=0.791800
active=32: F_T=0.980200, F_V=0.795800
active=31: F_T=0.979000, F_V=0.801400
active=30: F_T=0.976600, F_V=0.794800
active=29: F_T=0.979000, F_V=0.814200
active=28: F_T=0.974200, F_V=0.812800
active=27: F_T=0.972000, F_V=0.797800
active=26: F_T=0.972000, F_V=0.807600
active=25: F_T=0.972200, F_V=0.812000
active=24: F_T=0.973000, F_V=0.823400
active=23: F_T=0.956800, F_V=0.793400
active=22: F_T=0.956800, F_V=0.804600
active=21: F_T=0.956800, F_V=0.815200
active=20: F_T=0.952000, F_V=0.816200
active=19: F_T=0.959800, F_V=0.814000
active=18: F_T=0.944000, F_V=0.813400
active=17: F_T=0.936200, F_V=0.809800
active=16: F_T=0.933400, F_V=0.793400
active=15: F_T=0.925200, F_V=0.787600
active=14: F_T=0.910000, F_V=0.797800
active=13: F_T=0.916600, F_V=0.777600
active=12: F_T=0.908400, F_V=0.784000
active=11: F_T=0.897800, F_V=0.794600
active=10: F_T=0.896400, F_V=0.792600
active=9: F_T=0.867400, F_V=0.795200
active=8: F_T=0.838800, F_V=0.790200
active=7: F_T=0.854400, F_V=0.787200
active=6: F_T=0.819600, F_V=0.766000
active=5: F_T=0.803800, F_V=0.753200
active=4: F_T=0.772000, F_V=0.723200
active=3: F_T=0.745200, F_V=0.698400
active=2: F_T=0.690200, F_V=0.660800
active=1: F_T=0.633400, F_V=0.601600
active=0: F_T=0.520000, F_V=0.480000
