covariate 1:   name=covariate1, type=float, missing=  0 of 100, average=-0.021957, stdev=0.926259, range=[-2.124989,2.506173], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 100, average=-0.031897, stdev=1.133548, range=[-2.865670,2.315807], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 100, average=-0.057734, stdev=0.894767, range=[-2.641818,2.494085], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 100, average=-0.138126, stdev=1.095640, range=[-2.910527,2.625598], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 100, average=-0.042674, stdev=1.066450, range=[-2.882273,2.296211], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 100, average=0.054566, stdev=1.004444, range=[-2.633476,2.477837], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 100, average=-0.038690, stdev=1.070707, range=[-2.389191,2.515727], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 100, average=0.104171, stdev=0.952734, range=[-2.014425,2.668343], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 100, average=-0.177453, stdev=1.069949, range=[-3.164494,2.039071], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=0.145821, stdev=1.054557, range=[-2.073968,2.973020], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 100, average=0.116884, stdev=1.092712, range=[-2.087022,2.702799], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 100, average=0.085151, stdev=1.035508, range=[-2.434967,3.583729], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 100, average=-0.001367, stdev=0.990677, range=[-2.036231,2.179002], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 100, average=-0.009333, stdev=1.083036, range=[-2.666099,2.795110], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=0.009627, stdev=0.984941, range=[-3.031807,2.190938], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 100, average=0.140747, stdev=0.930962, range=[-1.940054,2.475919], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 100, average=0.130724, stdev=0.938691, range=[-2.609085,2.303906], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 100, average=-0.044525, stdev=0.903389, range=[-2.154993,2.474984], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 100, average=0.029988, stdev=0.909772, range=[-1.752940,2.182895], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 100, average=0.097345, stdev=0.896766, range=[-2.337263,2.501762], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 100, average=-0.186352, stdev=1.104380, range=[-2.763200,3.259471], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 100, average=-0.046161, stdev=0.991212, range=[-2.659777,2.826603], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 100, average=-0.095589, stdev=1.003398, range=[-2.571669,2.151546], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 100, average=0.038753, stdev=0.914614, range=[-2.883537,1.894448], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 100, average=0.007427, stdev=1.048585, range=[-2.485373,2.306201], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 100, average=0.315256, stdev=0.783429, range=[-1.330637,2.160122], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 100, average=0.102503, stdev=1.079437, range=[-2.245930,2.672875], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 100, average=-0.152557, stdev=0.947967, range=[-2.841188,1.904133], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 100, average=0.041942, stdev=0.979416, range=[-2.073881,3.207767], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 100, average=-0.055291, stdev=1.064260, range=[-3.286695,3.406553], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 100, average=0.038242, stdev=0.889267, range=[-2.027962,2.184011], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 100, average=0.248591, stdev=1.146509, range=[-2.468427,2.731611], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 100, average=-0.042108, stdev=1.039203, range=[-2.651038,2.123585], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 100, average=0.086733, stdev=0.949409, range=[-2.014342,2.484957], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 100, average=-0.056019, stdev=0.864526, range=[-2.011114,2.934175], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 100, average=-0.047551, stdev=0.981383, range=[-2.542597,2.291293], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 100, average=-0.020555, stdev=0.912152, range=[-2.167063,2.347036], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 100, average=0.113907, stdev=0.961949, range=[-2.519993,2.114340], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 100, average=-0.011412, stdev=0.900153, range=[-2.151306,2.305929], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 100, average=-0.073242, stdev=1.071716, range=[-2.583666,3.909350], active=1
covariate 41:  name=covariate41, type=float, missing=  0 of 100, average=0.081981, stdev=0.914107, range=[-2.067985,2.270021], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of 100, average=0.193011, stdev=1.016498, range=[-3.222027,2.254878], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of 100, average=-0.182445, stdev=1.065046, range=[-3.096909,2.314301], active=1
covariate 44:  name=covariate44, type=float, missing=  0 of 100, average=-0.115041, stdev=1.063652, range=[-2.307130,3.395431], active=1
covariate 45:  name=covariate45, type=float, missing=  0 of 100, average=-0.139487, stdev=1.033681, range=[-2.332615,2.540222], active=1
covariate 46:  name=covariate46, type=float, missing=  0 of 100, average=0.121285, stdev=0.990641, range=[-2.280582,2.848458], active=1
covariate 47:  name=covariate47, type=float, missing=  0 of 100, average=-0.038271, stdev=0.986602, range=[-3.006271,2.040182], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of 100, average=-0.051391, stdev=0.993323, range=[-2.139833,2.878825], active=1
covariate 49:  name=covariate49, type=float, missing=  0 of 100, average=-0.024008, stdev=1.050374, range=[-2.241303,2.312806], active=1
covariate 50:  name=covariate50, type=float, missing=  0 of 100, average=0.043170, stdev=0.938042, range=[-2.259989,2.500002], active=1
covariate 51:  name=covariate51, type=float, missing=  0 of 100, average=0.109844, stdev=0.892672, range=[-1.668012,2.017053], active=1
covariate 52:  name=covariate52, type=float, missing=  0 of 100, average=0.030267, stdev=0.921737, range=[-2.245257,1.757278], active=1
covariate 53:  name=covariate53, type=float, missing=  0 of 100, average=0.108273, stdev=1.093903, range=[-2.730482,2.483902], active=1
covariate 54:  name=covariate54, type=float, missing=  0 of 100, average=0.028532, stdev=0.986666, range=[-2.217579,2.946260], active=1
covariate 55:  name=covariate55, type=float, missing=  0 of 100, average=-0.222427, stdev=1.073958, range=[-2.786283,2.606529], active=1
covariate 56:  name=covariate56, type=float, missing=  0 of 100, average=0.025043, stdev=0.894951, range=[-1.885288,2.383795], active=1
covariate 57:  name=covariate57, type=float, missing=  0 of 100, average=0.016870, stdev=1.014330, range=[-1.755288,3.744824], active=1
covariate 58:  name=covariate58, type=float, missing=  0 of 100, average=-0.000282, stdev=1.089705, range=[-2.288440,3.176214], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of 100, average=-0.052325, stdev=0.974629, range=[-2.287024,2.901872], active=1
covariate 60:  name=covariate60, type=float, missing=  0 of 100, average=-0.003690, stdev=0.944739, range=[-2.256883,2.334151], active=1
covariate 61:  name=covariate61, type=float, missing=  0 of 100, average=-0.058331, stdev=0.997463, range=[-2.294888,2.513259], active=1
covariate 62:  name=covariate62, type=float, missing=  0 of 100, average=0.237559, stdev=0.876182, range=[-2.265801,2.346040], active=1
covariate 63:  name=covariate63, type=float, missing=  0 of 100, average=-0.212011, stdev=0.931303, range=[-1.999707,1.991731], active=1
covariate 64:  name=covariate64, type=float, missing=  0 of 100, average=-0.091671, stdev=0.902355, range=[-2.546475,1.877229], active=1
covariate 65:  name=covariate65, type=float, missing=  0 of 100, average=0.062880, stdev=0.911932, range=[-1.701798,3.134800], active=1
covariate 66:  name=covariate66, type=float, missing=  0 of 100, average=0.023098, stdev=1.106039, range=[-2.573924,3.141569], active=1
covariate 67:  name=covariate67, type=float, missing=  0 of 100, average=0.087145, stdev=0.898462, range=[-1.854269,2.102791], active=1
covariate 68:  name=covariate68, type=float, missing=  0 of 100, average=0.193728, stdev=1.023318, range=[-2.226572,2.873898], active=1
covariate 69:  name=covariate69, type=float, missing=  0 of 100, average=0.078363, stdev=0.970644, range=[-2.586022,3.315348], active=1
covariate 70:  name=covariate70, type=float, missing=  0 of 100, average=0.134288, stdev=1.058729, range=[-2.908028,2.853033], active=1
covariate 71:  name=covariate71, type=float, missing=  0 of 100, average=0.018180, stdev=1.131275, range=[-3.496372,2.982649], active=1
covariate 72:  name=covariate72, type=float, missing=  0 of 100, average=-0.089116, stdev=1.011910, range=[-2.389516,2.942179], active=1
covariate 73:  name=covariate73, type=float, missing=  0 of 100, average=-0.175796, stdev=0.992633, range=[-2.364628,1.886486], active=1
covariate 74:  name=covariate74, type=float, missing=  0 of 100, average=-0.030888, stdev=1.151811, range=[-3.183536,2.435173], active=1
covariate 75:  name=covariate75, type=float, missing=  0 of 100, average=-0.039311, stdev=0.950514, range=[-2.265920,1.750498], active=1
covariate 76:  name=covariate76, type=float, missing=  0 of 100, average=0.029199, stdev=0.998756, range=[-2.918899,2.407810], active=1
covariate 77:  name=covariate77, type=float, missing=  0 of 100, average=0.107292, stdev=1.070924, range=[-3.498397,2.866664], active=1
covariate 78:  name=covariate78, type=float, missing=  0 of 100, average=0.116331, stdev=1.020078, range=[-2.532873,3.295011], active=1
covariate 79:  name=covariate79, type=float, missing=  0 of 100, average=0.113753, stdev=1.064298, range=[-2.997469,3.320451], active=1
covariate 80:  name=covariate80, type=float, missing=  0 of 100, average=0.102957, stdev=0.985938, range=[-2.996949,2.263908], active=1
covariate 81:  name=covariate81, type=float, missing=  0 of 100, average=0.054826, stdev=1.010299, range=[-2.481771,2.220121], active=1
covariate 82:  name=covariate82, type=float, missing=  0 of 100, average=0.166313, stdev=0.927338, range=[-2.067530,2.064903], active=1
covariate 83:  name=covariate83, type=float, missing=  0 of 100, average=-0.112808, stdev=1.091584, range=[-2.651208,3.346280], active=1
covariate 84:  name=covariate84, type=float, missing=  0 of 100, average=0.013752, stdev=0.905382, range=[-2.075250,1.955194], active=1
covariate 85:  name=covariate85, type=float, missing=  0 of 100, average=0.131991, stdev=0.987456, range=[-2.311014,2.583014], active=1
covariate 86:  name=covariate86, type=float, missing=  0 of 100, average=-0.130960, stdev=0.901793, range=[-2.933907,1.983922], active=1
covariate 87:  name=covariate87, type=float, missing=  0 of 100, average=0.039047, stdev=1.058936, range=[-3.175338,2.594613], active=1
covariate 88:  name=covariate88, type=float, missing=  0 of 100, average=-0.101765, stdev=0.926895, range=[-2.123717,2.130595], active=1
covariate 89:  name=covariate89, type=float, missing=  0 of 100, average=0.034693, stdev=0.910245, range=[-2.502343,2.294256], active=1
covariate 90:  name=covariate90, type=float, missing=  0 of 100, average=-0.077815, stdev=1.114214, range=[-3.005543,2.238027], active=1
covariate 91:  name=covariate91, type=float, missing=  0 of 100, average=0.008556, stdev=1.096831, range=[-2.638918,2.077774], active=1
covariate 92:  name=covariate92, type=float, missing=  0 of 100, average=0.041198, stdev=1.113802, range=[-2.448765,3.408050], active=1
covariate 93:  name=covariate93, type=float, missing=  0 of 100, average=-0.142310, stdev=1.115294, range=[-2.628751,2.900735], active=1
covariate 94:  name=covariate94, type=float, missing=  0 of 100, average=0.071378, stdev=1.056321, range=[-2.159677,2.656881], active=1
covariate 95:  name=covariate95, type=float, missing=  0 of 100, average=0.002783, stdev=0.967787, range=[-2.177324,2.626551], active=1
covariate 96:  name=covariate96, type=float, missing=  0 of 100, average=-0.074604, stdev=0.936670, range=[-2.313202,1.733293], active=1
covariate 97:  name=covariate97, type=float, missing=  0 of 100, average=-0.025002, stdev=0.907213, range=[-1.962844,2.688025], active=1
covariate 98:  name=covariate98, type=float, missing=  0 of 100, average=0.020604, stdev=1.070988, range=[-2.175096,3.147785], active=1
covariate 99:  name=covariate99, type=float, missing=  0 of 100, average=-0.023364, stdev=1.175225, range=[-3.640757,2.463862], active=1
covariate 100: name=covariate100, type=float, missing=  0 of 100, average=0.220376, stdev=1.006709, range=[-1.819615,2.233028], active=1
