active=100: F_T=0.980600, F_V=0.623500
active=99: F_T=0.978300, F_V=0.627600
active=98: F_T=0.979300, F_V=0.628200
active=97: F_T=0.980000, F_V=0.628200
active=96: F_T=0.979000, F_V=0.628100
active=95: F_T=0.978100, F_V=0.633400
active=94: F_T=0.978700, F_V=0.639200
active=93: F_T=0.978100, F_V=0.641800
active=92: F_T=0.976500, F_V=0.641100
active=91: F_T=0.976400, F_V=0.644200
active=90: F_T=0.977600, F_V=0.644100
active=89: F_T=0.975800, F_V=0.645400
active=88: F_T=0.976300, F_V=0.650700
active=87: F_T=0.976100, F_V=0.650000
active=86: F_T=0.975700, F_V=0.641100
active=85: F_T=0.974700, F_V=0.656700
active=84: F_T=0.973800, F_V=0.655500
active=83: F_T=0.975900, F_V=0.654000
active=82: F_T=0.973000, F_V=0.656100
active=81: F_T=0.974900, F_V=0.662600
active=80: F_T=0.973300, F_V=0.670500
active=79: F_T=0.971100, F_V=0.667200
active=78: F_T=0.972400, F_V=0.680600
active=77: F_T=0.971800, F_V=0.673700
active=76: F_T=0.970700, F_V=0.679600
active=75: F_T=0.973000, F_V=0.678100
active=74: F_T=0.971200, F_V=0.678800
active=73: F_T=0.970700, F_V=0.684900
active=72: F_T=0.972500, F_V=0.680300
active=71: F_T=0.970700, F_V=0.684500
active=70: F_T=0.968200, F_V=0.681900
active=69: F_T=0.968000, F_V=0.689900
active=68: F_T=0.963500, F_V=0.702800
active=67: F_T=0.965200, F_V=0.700500
active=66: F_T=0.961200, F_V=0.699500
active=65: F_T=0.961600, F_V=0.705600
active=64: F_T=0.965900, F_V=0.697600
active=63: F_T=0.960000, F_V=0.705800
active=62: F_T=0.962300, F_V=0.707200
active=61: F_T=0.960900, F_V=0.711800
active=60: F_T=0.956300, F_V=0.710700
active=59: F_T=0.957500, F_V=0.717700
active=58: F_T=0.956400, F_V=0.725500
active=57: F_T=0.955100, F_V=0.728400
active=56: F_T=0.953700, F_V=0.737400
active=55: F_T=0.954400, F_V=0.735400
active=54: F_T=0.952500, F_V=0.733700
active=53: F_T=0.951400, F_V=0.748700
active=52: F_T=0.955700, F_V=0.745000
active=51: F_T=0.952300, F_V=0.743900
active=50: F_T=0.950900, F_V=0.756700
active=49: F_T=0.949400, F_V=0.751900
active=48: F_T=0.948300, F_V=0.753400
active=47: F_T=0.946300, F_V=0.754800
active=46: F_T=0.952200, F_V=0.756200
active=45: F_T=0.950200, F_V=0.761300
active=44: F_T=0.945300, F_V=0.770200
active=43: F_T=0.942600, F_V=0.768700
active=42: F_T=0.941800, F_V=0.776600
active=41: F_T=0.945500, F_V=0.775500
active=40: F_T=0.934400, F_V=0.783300
active=39: F_T=0.935000, F_V=0.782500
active=38: F_T=0.932300, F_V=0.775400
active=37: F_T=0.922900, F_V=0.779900
active=36: F_T=0.920700, F_V=0.777100
active=35: F_T=0.923200, F_V=0.776400
active=34: F_T=0.917900, F_V=0.788200
active=33: F_T=0.919700, F_V=0.781700
active=32: F_T=0.908400, F_V=0.783800
active=31: F_T=0.905100, F_V=0.782800
active=30: F_T=0.896600, F_V=0.780200
active=29: F_T=0.892800, F_V=0.770400
active=28: F_T=0.892000, F_V=0.782300
active=27: F_T=0.884600, F_V=0.767800
active=26: F_T=0.881200, F_V=0.765700
active=25: F_T=0.886600, F_V=0.764300
active=24: F_T=0.877900, F_V=0.771000
active=23: F_T=0.872500, F_V=0.765600
active=22: F_T=0.869100, F_V=0.774200
active=21: F_T=0.868000, F_V=0.766500
active=20: F_T=0.862700, F_V=0.780800
active=19: F_T=0.867400, F_V=0.776600
active=18: F_T=0.858400, F_V=0.781700
active=17: F_T=0.857000, F_V=0.781200
active=16: F_T=0.844900, F_V=0.789600
active=15: F_T=0.846000, F_V=0.779400
active=14: F_T=0.841300, F_V=0.779400
active=13: F_T=0.842900, F_V=0.786100
active=12: F_T=0.848800, F_V=0.797400
active=11: F_T=0.849800, F_V=0.807800
active=10: F_T=0.832200, F_V=0.782500
active=9: F_T=0.806800, F_V=0.753700
active=8: F_T=0.791600, F_V=0.751900
active=7: F_T=0.791000, F_V=0.756200
active=6: F_T=0.779800, F_V=0.754700
active=5: F_T=0.786200, F_V=0.759100
active=4: F_T=0.762800, F_V=0.730100
active=3: F_T=0.703000, F_V=0.685600
active=2: F_T=0.650600, F_V=0.635800
active=1: F_T=0.650600, F_V=0.659400
active=0: F_T=0.500000, F_V=0.500000
