covariate 1:   name=covariate1, type=float, missing=  0 of 100, average=0.107917, stdev=0.926482, range=[-2.603576,2.309053], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 100, average=0.015765, stdev=1.010842, range=[-2.946642,2.438631], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 100, average=0.030032, stdev=1.007603, range=[-2.146606,2.483984], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 100, average=0.061093, stdev=1.052431, range=[-2.170796,2.530958], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 100, average=0.065685, stdev=0.921084, range=[-2.254701,2.511247], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 100, average=0.064471, stdev=0.993485, range=[-3.351897,2.391593], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 100, average=0.179894, stdev=1.025777, range=[-2.424326,2.473208], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 100, average=-0.045006, stdev=0.927679, range=[-3.481368,2.056633], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 100, average=-0.038956, stdev=1.045256, range=[-2.727429,2.386239], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=0.053372, stdev=0.945498, range=[-2.563036,2.583682], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 100, average=0.005159, stdev=1.000901, range=[-2.741245,3.051741], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 100, average=-0.015690, stdev=0.919102, range=[-2.025218,2.205240], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 100, average=-0.103227, stdev=0.971030, range=[-2.024838,2.854002], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 100, average=-0.037614, stdev=1.065118, range=[-3.548527,2.330310], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=0.007280, stdev=1.056190, range=[-2.567908,2.752122], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 100, average=0.024097, stdev=0.915576, range=[-2.071291,2.879364], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 100, average=0.006598, stdev=1.059901, range=[-2.698375,2.872873], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 100, average=0.075998, stdev=1.057777, range=[-3.015072,2.483858], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 100, average=-0.149554, stdev=0.866465, range=[-2.982189,2.541372], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 100, average=0.059542, stdev=1.068116, range=[-2.475259,2.489313], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 100, average=0.102271, stdev=0.839082, range=[-2.180050,2.407329], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 100, average=-0.041036, stdev=0.948363, range=[-2.372738,3.000884], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 100, average=-0.002372, stdev=0.970464, range=[-3.034139,2.149431], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 100, average=-0.035516, stdev=1.049414, range=[-2.819397,2.797965], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 100, average=-0.160491, stdev=0.901261, range=[-2.474929,1.827424], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 100, average=0.205493, stdev=1.050510, range=[-3.163654,3.244232], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 100, average=-0.021236, stdev=0.972155, range=[-2.884339,2.283363], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 100, average=-0.152195, stdev=0.958473, range=[-3.145551,1.634680], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 100, average=-0.023068, stdev=0.998584, range=[-2.313613,2.414748], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 100, average=-0.126948, stdev=1.050005, range=[-2.733162,2.259922], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 100, average=0.144103, stdev=0.984557, range=[-1.805229,2.716481], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 100, average=0.142527, stdev=1.030346, range=[-1.890803,2.833646], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 100, average=-0.065029, stdev=1.033379, range=[-2.194910,2.630852], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 100, average=-0.013138, stdev=1.095610, range=[-3.453000,3.013708], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 100, average=0.076718, stdev=1.021659, range=[-3.254701,3.393228], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 100, average=0.048819, stdev=1.047758, range=[-2.498286,2.441735], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 100, average=-0.043217, stdev=1.011765, range=[-2.210126,2.843030], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 100, average=-0.055082, stdev=0.969788, range=[-2.228063,2.070164], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 100, average=0.023966, stdev=0.932382, range=[-2.156442,2.428310], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 100, average=0.026660, stdev=0.931067, range=[-2.449379,2.096370], active=1
covariate 41:  name=covariate41, type=float, missing=  0 of 100, average=-0.181875, stdev=0.988726, range=[-2.622503,2.408914], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of 100, average=0.041361, stdev=1.228838, range=[-3.155770,3.346209], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of 100, average=-0.053149, stdev=0.922841, range=[-2.621662,2.338368], active=1
covariate 44:  name=covariate44, type=float, missing=  0 of 100, average=0.042278, stdev=1.121286, range=[-2.739170,2.814937], active=1
covariate 45:  name=covariate45, type=float, missing=  0 of 100, average=-0.022716, stdev=1.012388, range=[-2.584105,2.524038], active=1
covariate 46:  name=covariate46, type=float, missing=  0 of 100, average=0.037408, stdev=0.929581, range=[-2.130487,2.880207], active=1
covariate 47:  name=covariate47, type=float, missing=  0 of 100, average=0.187956, stdev=1.030538, range=[-2.378252,2.536252], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of 100, average=-0.225128, stdev=1.092297, range=[-2.621314,2.163179], active=1
covariate 49:  name=covariate49, type=float, missing=  0 of 100, average=-0.005306, stdev=0.984866, range=[-3.056734,2.698357], active=1
covariate 50:  name=covariate50, type=float, missing=  0 of 100, average=-0.109797, stdev=1.036765, range=[-2.465052,2.867605], active=1
covariate 51:  name=covariate51, type=float, missing=  0 of 100, average=-0.009132, stdev=0.980006, range=[-2.247229,1.900500], active=1
covariate 52:  name=covariate52, type=float, missing=  0 of 100, average=-0.091857, stdev=1.063304, range=[-3.121117,2.421633], active=1
covariate 53:  name=covariate53, type=float, missing=  0 of 100, average=-0.012755, stdev=0.972630, range=[-2.949621,2.117828], active=1
covariate 54:  name=covariate54, type=float, missing=  0 of 100, average=0.070422, stdev=1.087923, range=[-2.242756,2.863146], active=1
covariate 55:  name=covariate55, type=float, missing=  0 of 100, average=-0.124030, stdev=1.002298, range=[-2.251941,2.958989], active=1
covariate 56:  name=covariate56, type=float, missing=  0 of 100, average=0.187045, stdev=0.987158, range=[-2.213307,2.897883], active=1
covariate 57:  name=covariate57, type=float, missing=  0 of 100, average=0.011521, stdev=1.007070, range=[-2.613993,2.675406], active=1
covariate 58:  name=covariate58, type=float, missing=  0 of 100, average=-0.104306, stdev=0.980124, range=[-2.638659,2.153109], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of 100, average=0.022223, stdev=0.976224, range=[-2.068761,2.792992], active=1
covariate 60:  name=covariate60, type=float, missing=  0 of 100, average=0.022787, stdev=1.020432, range=[-2.592917,2.500773], active=1
covariate 61:  name=covariate61, type=float, missing=  0 of 100, average=-0.125740, stdev=0.952239, range=[-2.675559,2.082563], active=1
covariate 62:  name=covariate62, type=float, missing=  0 of 100, average=-0.071284, stdev=0.985344, range=[-2.614410,2.141000], active=1
covariate 63:  name=covariate63, type=float, missing=  0 of 100, average=0.026872, stdev=0.997892, range=[-2.621649,2.203846], active=1
covariate 64:  name=covariate64, type=float, missing=  0 of 100, average=-0.239870, stdev=1.050136, range=[-2.792201,2.490702], active=1
covariate 65:  name=covariate65, type=float, missing=  0 of 100, average=-0.032632, stdev=0.978047, range=[-2.824863,2.737553], active=1
covariate 66:  name=covariate66, type=float, missing=  0 of 100, average=-0.097805, stdev=1.147156, range=[-2.940584,2.704138], active=1
covariate 67:  name=covariate67, type=float, missing=  0 of 100, average=0.010808, stdev=0.984075, range=[-2.997207,2.253390], active=1
covariate 68:  name=covariate68, type=float, missing=  0 of 100, average=0.193427, stdev=1.003710, range=[-3.321879,2.807832], active=1
covariate 69:  name=covariate69, type=float, missing=  0 of 100, average=0.015934, stdev=1.079992, range=[-2.658726,3.643658], active=1
covariate 70:  name=covariate70, type=float, missing=  0 of 100, average=0.000333, stdev=0.997725, range=[-2.920483,3.121006], active=1
covariate 71:  name=covariate71, type=float, missing=  0 of 100, average=-0.231754, stdev=1.199404, range=[-2.910095,2.387956], active=1
covariate 72:  name=covariate72, type=float, missing=  0 of 100, average=0.154299, stdev=1.069694, range=[-3.102138,2.584216], active=1
covariate 73:  name=covariate73, type=float, missing=  0 of 100, average=-0.095806, stdev=0.957436, range=[-2.818405,2.012457], active=1
covariate 74:  name=covariate74, type=float, missing=  0 of 100, average=-0.019819, stdev=0.978353, range=[-2.503347,2.207425], active=1
covariate 75:  name=covariate75, type=float, missing=  0 of 100, average=-0.129609, stdev=0.876173, range=[-2.138319,2.948258], active=1
covariate 76:  name=covariate76, type=float, missing=  0 of 100, average=-0.071388, stdev=1.061292, range=[-2.397945,3.650139], active=1
covariate 77:  name=covariate77, type=float, missing=  0 of 100, average=-0.063034, stdev=0.941252, range=[-2.509932,3.364969], active=1
covariate 78:  name=covariate78, type=float, missing=  0 of 100, average=-0.038007, stdev=1.038140, range=[-2.488527,2.044925], active=1
covariate 79:  name=covariate79, type=float, missing=  0 of 100, average=-0.030739, stdev=1.058273, range=[-2.750314,2.591166], active=1
covariate 80:  name=covariate80, type=float, missing=  0 of 100, average=-0.122094, stdev=1.008861, range=[-2.004387,2.517630], active=1
covariate 81:  name=covariate81, type=float, missing=  0 of 100, average=0.093757, stdev=1.145443, range=[-2.177185,2.489773], active=1
covariate 82:  name=covariate82, type=float, missing=  0 of 100, average=0.047890, stdev=0.960472, range=[-2.240453,2.607088], active=1
covariate 83:  name=covariate83, type=float, missing=  0 of 100, average=-0.310081, stdev=1.165784, range=[-2.676576,2.941153], active=1
covariate 84:  name=covariate84, type=float, missing=  0 of 100, average=0.164249, stdev=0.871969, range=[-2.668822,2.547621], active=1
covariate 85:  name=covariate85, type=float, missing=  0 of 100, average=0.080155, stdev=1.132747, range=[-2.579798,2.949300], active=1
covariate 86:  name=covariate86, type=float, missing=  0 of 100, average=-0.055262, stdev=0.956069, range=[-2.140958,2.889789], active=1
covariate 87:  name=covariate87, type=float, missing=  0 of 100, average=0.005172, stdev=1.016716, range=[-3.234464,2.176307], active=1
covariate 88:  name=covariate88, type=float, missing=  0 of 100, average=-0.213679, stdev=0.943360, range=[-2.249146,2.148376], active=1
covariate 89:  name=covariate89, type=float, missing=  0 of 100, average=0.035994, stdev=1.008887, range=[-3.394194,2.884110], active=1
