active=100: F_T=0.976667, F_V=0.573333
active=99: F_T=0.976146, F_V=0.573438
active=98: F_T=0.976354, F_V=0.584271
active=97: F_T=0.975625, F_V=0.585937
active=96: F_T=0.976042, F_V=0.578125
active=95: F_T=0.975625, F_V=0.589896
active=94: F_T=0.973750, F_V=0.589167
active=93: F_T=0.974375, F_V=0.587188
active=92: F_T=0.973542, F_V=0.586771
active=91: F_T=0.974167, F_V=0.599375
active=90: F_T=0.974583, F_V=0.600521
active=89: F_T=0.973542, F_V=0.596250
active=88: F_T=0.972708, F_V=0.608646
active=87: F_T=0.973021, F_V=0.612292
active=86: F_T=0.971979, F_V=0.619688
active=85: F_T=0.973229, F_V=0.620104
active=84: F_T=0.972708, F_V=0.618958
active=83: F_T=0.972083, F_V=0.613333
active=82: F_T=0.970521, F_V=0.618750
active=81: F_T=0.969896, F_V=0.624792
active=80: F_T=0.970625, F_V=0.617083
active=79: F_T=0.970000, F_V=0.629167
active=78: F_T=0.970312, F_V=0.636458
active=77: F_T=0.968854, F_V=0.632292
active=76: F_T=0.969271, F_V=0.646354
active=75: F_T=0.969896, F_V=0.643125
active=74: F_T=0.970417, F_V=0.636562
active=73: F_T=0.969271, F_V=0.644479
active=72: F_T=0.968125, F_V=0.645729
active=71: F_T=0.969479, F_V=0.653542
active=70: F_T=0.965521, F_V=0.658854
active=69: F_T=0.968854, F_V=0.652500
active=68: F_T=0.966875, F_V=0.649167
active=67: F_T=0.964375, F_V=0.662812
active=66: F_T=0.964687, F_V=0.658021
active=65: F_T=0.963229, F_V=0.669063
active=64: F_T=0.965521, F_V=0.662812
active=63: F_T=0.965521, F_V=0.672708
active=62: F_T=0.964271, F_V=0.676667
active=61: F_T=0.964375, F_V=0.673750
active=60: F_T=0.964271, F_V=0.686667
active=59: F_T=0.964375, F_V=0.687083
active=58: F_T=0.966458, F_V=0.690000
active=57: F_T=0.962813, F_V=0.690000
active=56: F_T=0.963646, F_V=0.701562
active=55: F_T=0.963646, F_V=0.693646
active=54: F_T=0.959375, F_V=0.703125
active=53: F_T=0.960208, F_V=0.700729
active=52: F_T=0.961979, F_V=0.702917
active=51: F_T=0.959375, F_V=0.704792
active=50: F_T=0.959688, F_V=0.726771
active=49: F_T=0.958229, F_V=0.723333
active=48: F_T=0.958958, F_V=0.727396
active=47: F_T=0.956250, F_V=0.731458
active=46: F_T=0.953125, F_V=0.737396
active=45: F_T=0.954062, F_V=0.733333
active=44: F_T=0.949583, F_V=0.733438
active=43: F_T=0.951562, F_V=0.729896
active=42: F_T=0.943958, F_V=0.736979
active=41: F_T=0.947083, F_V=0.740833
active=40: F_T=0.943646, F_V=0.747604
active=39: F_T=0.947188, F_V=0.751354
active=38: F_T=0.942708, F_V=0.746771
active=37: F_T=0.935417, F_V=0.746667
active=36: F_T=0.937708, F_V=0.754687
active=35: F_T=0.937500, F_V=0.765000
active=34: F_T=0.936146, F_V=0.757604
active=33: F_T=0.935625, F_V=0.765312
active=32: F_T=0.935625, F_V=0.768542
active=31: F_T=0.926667, F_V=0.765104
active=30: F_T=0.926667, F_V=0.776042
active=29: F_T=0.925521, F_V=0.780833
active=28: F_T=0.927500, F_V=0.775833
active=27: F_T=0.919375, F_V=0.778854
active=26: F_T=0.915000, F_V=0.787812
active=25: F_T=0.909167, F_V=0.781250
active=24: F_T=0.905833, F_V=0.779062
active=23: F_T=0.901042, F_V=0.782813
active=22: F_T=0.895938, F_V=0.777083
active=21: F_T=0.883958, F_V=0.786250
active=20: F_T=0.874583, F_V=0.776875
active=19: F_T=0.869271, F_V=0.764271
active=18: F_T=0.861875, F_V=0.771354
active=17: F_T=0.864062, F_V=0.770937
active=16: F_T=0.866875, F_V=0.779896
active=15: F_T=0.853438, F_V=0.780417
active=14: F_T=0.851354, F_V=0.782917
active=13: F_T=0.844271, F_V=0.776875
active=12: F_T=0.843125, F_V=0.774583
active=11: F_T=0.834583, F_V=0.775208
active=10: F_T=0.847187, F_V=0.784063
active=9: F_T=0.848646, F_V=0.792083
active=8: F_T=0.842812, F_V=0.803750
active=7: F_T=0.829271, F_V=0.783438
active=6: F_T=0.810833, F_V=0.769375
active=5: F_T=0.812083, F_V=0.767292
active=4: F_T=0.763229, F_V=0.738437
active=3: F_T=0.747396, F_V=0.725833
active=2: F_T=0.703333, F_V=0.693021
active=1: F_T=0.627396, F_V=0.626146
active=0: F_T=0.500000, F_V=0.500000
