active=100: F_T=1.000000, F_V=0.603800
active=99: F_T=1.000000, F_V=0.611600
active=98: F_T=1.000000, F_V=0.613200
active=97: F_T=1.000000, F_V=0.604600
active=96: F_T=1.000000, F_V=0.618800
active=95: F_T=1.000000, F_V=0.626800
active=94: F_T=1.000000, F_V=0.623800
active=93: F_T=1.000000, F_V=0.623800
active=92: F_T=1.000000, F_V=0.636000
active=91: F_T=1.000000, F_V=0.625200
active=90: F_T=1.000000, F_V=0.644000
active=89: F_T=1.000000, F_V=0.637800
active=88: F_T=1.000000, F_V=0.643200
active=87: F_T=1.000000, F_V=0.645200
active=86: F_T=1.000000, F_V=0.661200
active=85: F_T=1.000000, F_V=0.657200
active=84: F_T=1.000000, F_V=0.654200
active=83: F_T=1.000000, F_V=0.674800
active=82: F_T=1.000000, F_V=0.671600
active=81: F_T=1.000000, F_V=0.672600
active=80: F_T=1.000000, F_V=0.673400
active=79: F_T=1.000000, F_V=0.677000
active=78: F_T=1.000000, F_V=0.669400
active=77: F_T=1.000000, F_V=0.685200
active=76: F_T=1.000000, F_V=0.690200
active=75: F_T=1.000000, F_V=0.691000
active=74: F_T=1.000000, F_V=0.687200
active=73: F_T=1.000000, F_V=0.684200
active=72: F_T=1.000000, F_V=0.699200
active=71: F_T=1.000000, F_V=0.691800
active=70: F_T=1.000000, F_V=0.693000
active=69: F_T=1.000000, F_V=0.708600
active=68: F_T=1.000000, F_V=0.692000
active=67: F_T=1.000000, F_V=0.707400
active=66: F_T=1.000000, F_V=0.703400
active=65: F_T=1.000000, F_V=0.710200
active=64: F_T=0.999800, F_V=0.722000
active=63: F_T=1.000000, F_V=0.726200
active=62: F_T=1.000000, F_V=0.738200
active=61: F_T=1.000000, F_V=0.729400
active=60: F_T=0.999600, F_V=0.730000
active=59: F_T=0.999600, F_V=0.727200
active=58: F_T=0.999800, F_V=0.740800
active=57: F_T=0.998800, F_V=0.744800
active=56: F_T=0.999200, F_V=0.741200
active=55: F_T=0.998200, F_V=0.749000
active=54: F_T=0.998800, F_V=0.754600
active=53: F_T=0.998600, F_V=0.747400
active=52: F_T=0.997400, F_V=0.753400
active=51: F_T=0.996200, F_V=0.760400
active=50: F_T=0.995400, F_V=0.747400
active=49: F_T=0.993400, F_V=0.756800
active=48: F_T=0.994200, F_V=0.754800
active=47: F_T=0.993200, F_V=0.768600
active=46: F_T=0.989600, F_V=0.765400
active=45: F_T=0.991200, F_V=0.772000
active=44: F_T=0.990200, F_V=0.773000
active=43: F_T=0.989000, F_V=0.780600
active=42: F_T=0.989400, F_V=0.777000
active=41: F_T=0.992000, F_V=0.782200
active=40: F_T=0.991800, F_V=0.791600
active=39: F_T=0.990800, F_V=0.791800
active=38: F_T=0.989600, F_V=0.795800
active=37: F_T=0.986800, F_V=0.790800
active=36: F_T=0.985800, F_V=0.795600
active=35: F_T=0.985000, F_V=0.779000
active=34: F_T=0.985800, F_V=0.796400
active=33: F_T=0.982200, F_V=0.792800
active=32: F_T=0.983400, F_V=0.796400
active=31: F_T=0.983000, F_V=0.810600
active=30: F_T=0.980400, F_V=0.808400
active=29: F_T=0.984200, F_V=0.805600
active=28: F_T=0.979800, F_V=0.816800
active=27: F_T=0.984400, F_V=0.821800
active=26: F_T=0.981000, F_V=0.827600
active=25: F_T=0.981400, F_V=0.835600
active=24: F_T=0.981200, F_V=0.848400
active=23: F_T=0.982200, F_V=0.852400
active=22: F_T=0.982600, F_V=0.846000
active=21: F_T=0.981400, F_V=0.847400
active=20: F_T=0.976000, F_V=0.835800
active=19: F_T=0.972400, F_V=0.830400
active=18: F_T=0.969400, F_V=0.821400
active=17: F_T=0.965000, F_V=0.831600
active=16: F_T=0.969000, F_V=0.834600
active=15: F_T=0.958400, F_V=0.842600
active=14: F_T=0.960600, F_V=0.863000
active=13: F_T=0.963000, F_V=0.858600
active=12: F_T=0.950800, F_V=0.837400
active=11: F_T=0.940200, F_V=0.823600
active=10: F_T=0.913400, F_V=0.801400
active=9: F_T=0.894600, F_V=0.790200
active=8: F_T=0.880200, F_V=0.804800
active=7: F_T=0.878400, F_V=0.792000
active=6: F_T=0.856400, F_V=0.772000
active=5: F_T=0.824800, F_V=0.760400
active=4: F_T=0.729800, F_V=0.668400
active=3: F_T=0.692200, F_V=0.635200
active=2: F_T=0.640200, F_V=0.623000
active=1: F_T=0.585600, F_V=0.578400
active=0: F_T=0.520000, F_V=0.480000
