covariate 1:   name=covariate1, type=float, missing= 19 of 100, average=-0.131412, stdev=1.017273, range=[-2.778968,2.386837], active=1
covariate 2:   name=covariate2, type=float, missing=  9 of 100, average=-0.005494, stdev=1.008495, range=[-3.127696,2.736511], active=1
covariate 3:   name=covariate3, type=float, missing= 13 of 100, average=0.048050, stdev=1.008205, range=[-2.633557,2.908135], active=1
covariate 4:   name=covariate4, type=float, missing= 10 of 100, average=-0.191193, stdev=1.105596, range=[-2.561976,2.806509], active=1
covariate 5:   name=covariate5, type=float, missing= 16 of 100, average=0.041146, stdev=0.879405, range=[-2.051167,2.460949], active=1
covariate 6:   name=covariate6, type=float, missing=  9 of 100, average=-0.005528, stdev=0.885121, range=[-2.950260,2.236129], active=1
covariate 7:   name=covariate7, type=float, missing=  6 of 100, average=0.020513, stdev=0.937557, range=[-2.798223,2.460731], active=1
covariate 8:   name=covariate8, type=float, missing=  6 of 100, average=0.073703, stdev=0.837632, range=[-1.853726,2.235487], active=1
covariate 9:   name=covariate9, type=float, missing=  7 of 100, average=-0.153556, stdev=1.047871, range=[-2.793241,2.334222], active=1
covariate 10:  name=covariate10, type=float, missing= 13 of 100, average=-0.076600, stdev=1.000701, range=[-2.191160,2.496857], active=1
covariate 11:  name=covariate11, type=float, missing= 10 of 100, average=-0.053671, stdev=0.899487, range=[-2.508144,2.230508], active=1
covariate 12:  name=covariate12, type=float, missing= 11 of 100, average=0.110389, stdev=0.982048, range=[-1.924690,2.515487], active=1
covariate 13:  name=covariate13, type=float, missing= 10 of 100, average=-0.084888, stdev=1.055135, range=[-3.073629,2.653903], active=1
covariate 14:  name=covariate14, type=float, missing=  9 of 100, average=0.167649, stdev=1.167724, range=[-2.348030,3.172565], active=1
covariate 15:  name=covariate15, type=float, missing=  9 of 100, average=-0.143324, stdev=1.002579, range=[-3.161674,2.315319], active=1
covariate 16:  name=covariate16, type=float, missing= 13 of 100, average=-0.060607, stdev=0.983958, range=[-2.778149,2.700074], active=1
covariate 17:  name=covariate17, type=float, missing= 12 of 100, average=-0.058921, stdev=1.054665, range=[-2.470719,2.141030], active=1
covariate 18:  name=covariate18, type=float, missing= 13 of 100, average=0.039912, stdev=0.973592, range=[-2.702035,2.881692], active=1
covariate 19:  name=covariate19, type=float, missing= 10 of 100, average=0.047547, stdev=1.142417, range=[-2.600964,2.372029], active=1
covariate 20:  name=covariate20, type=float, missing= 14 of 100, average=0.134062, stdev=1.070389, range=[-2.324559,2.228080], active=1
covariate 21:  name=covariate21, type=float, missing= 15 of 100, average=0.019278, stdev=1.061876, range=[-3.115043,2.770606], active=1
covariate 22:  name=covariate22, type=float, missing=  4 of 100, average=0.039015, stdev=1.063468, range=[-3.013644,2.580637], active=1
covariate 23:  name=covariate23, type=float, missing=  6 of 100, average=0.078475, stdev=0.928303, range=[-1.640694,2.212544], active=1
covariate 24:  name=covariate24, type=float, missing= 10 of 100, average=-0.164912, stdev=1.114298, range=[-2.302133,2.238265], active=1
covariate 25:  name=covariate25, type=float, missing=  9 of 100, average=-0.005191, stdev=1.073249, range=[-2.356058,3.430416], active=1
covariate 26:  name=covariate26, type=float, missing= 16 of 100, average=0.176464, stdev=0.900039, range=[-2.394135,2.590138], active=1
covariate 27:  name=covariate27, type=float, missing=  9 of 100, average=0.194091, stdev=0.990577, range=[-2.198221,2.488493], active=1
