covariate 1:   name=covariate1, type=float, missing= 27 of 100, average=-0.087165, stdev=0.889623, range=[-1.830931,2.057159], active=1
covariate 2:   name=covariate2, type=float, missing= 17 of 100, average=-0.012834, stdev=0.781601, range=[-1.706776,1.892481], active=1
covariate 3:   name=covariate3, type=float, missing= 13 of 100, average=-0.070872, stdev=0.876388, range=[-2.012545,2.241628], active=1
covariate 4:   name=covariate4, type=float, missing= 22 of 100, average=0.002204, stdev=1.098533, range=[-2.330009,3.424550], active=1
covariate 5:   name=covariate5, type=float, missing= 25 of 100, average=-0.098728, stdev=1.107063, range=[-3.091517,2.309273], active=1
covariate 6:   name=covariate6, type=float, missing= 19 of 100, average=0.070830, stdev=0.956839, range=[-2.540343,2.072676], active=1
covariate 7:   name=covariate7, type=float, missing= 26 of 100, average=-0.008777, stdev=1.040278, range=[-3.164509,2.122157], active=1
covariate 8:   name=covariate8, type=float, missing= 16 of 100, average=-0.118058, stdev=0.825691, range=[-1.752633,1.700376], active=1
covariate 9:   name=covariate9, type=float, missing= 14 of 100, average=-0.006172, stdev=0.989300, range=[-3.038504,2.436430], active=1
covariate 10:  name=covariate10, type=float, missing= 18 of 100, average=0.107489, stdev=1.001368, range=[-2.490624,3.456816], active=1
covariate 11:  name=covariate11, type=float, missing= 19 of 100, average=0.064506, stdev=0.980108, range=[-2.068710,3.034319], active=1
covariate 12:  name=covariate12, type=float, missing= 19 of 100, average=0.004642, stdev=0.921293, range=[-1.623531,2.168073], active=1
covariate 13:  name=covariate13, type=float, missing= 21 of 100, average=0.117822, stdev=0.948545, range=[-2.714225,2.364350], active=1
covariate 14:  name=covariate14, type=float, missing= 21 of 100, average=0.132506, stdev=0.934371, range=[-2.233216,2.336751], active=1
covariate 15:  name=covariate15, type=float, missing= 21 of 100, average=-0.221071, stdev=0.983295, range=[-2.261175,1.891900], active=1
covariate 16:  name=covariate16, type=float, missing= 22 of 100, average=0.178106, stdev=0.939856, range=[-2.143182,3.046505], active=1
covariate 17:  name=covariate17, type=float, missing= 17 of 100, average=-0.053198, stdev=1.034817, range=[-2.855046,2.657987], active=1
covariate 18:  name=covariate18, type=float, missing= 17 of 100, average=0.000014, stdev=0.839558, range=[-1.469781,2.223924], active=1
covariate 19:  name=covariate19, type=float, missing= 26 of 100, average=0.115864, stdev=1.126236, range=[-2.252772,3.565742], active=1
covariate 20:  name=covariate20, type=float, missing= 15 of 100, average=0.058260, stdev=0.980390, range=[-2.368925,2.710562], active=1
covariate 21:  name=covariate21, type=float, missing= 25 of 100, average=-0.176617, stdev=0.928344, range=[-2.320214,1.803573], active=1
covariate 22:  name=covariate22, type=float, missing= 22 of 100, average=-0.001579, stdev=1.026332, range=[-2.428869,2.579795], active=1
covariate 23:  name=covariate23, type=float, missing= 24 of 100, average=-0.057957, stdev=1.055692, range=[-2.083943,3.153806], active=1
covariate 24:  name=covariate24, type=float, missing= 14 of 100, average=-0.074040, stdev=1.111483, range=[-2.554375,2.734812], active=1
covariate 25:  name=covariate25, type=float, missing= 28 of 100, average=0.032913, stdev=0.920534, range=[-2.122072,1.945485], active=1
covariate 26:  name=covariate26, type=float, missing= 11 of 100, average=-0.000920, stdev=0.985721, range=[-2.080977,2.286439], active=1
covariate 27:  name=covariate27, type=float, missing= 15 of 100, average=0.203661, stdev=0.947083, range=[-2.415499,2.535689], active=1
covariate 28:  name=covariate28, type=float, missing= 21 of 100, average=0.126857, stdev=0.989539, range=[-2.174943,2.467342], active=1
covariate 29:  name=covariate29, type=float, missing= 18 of 100, average=-0.043831, stdev=1.017873, range=[-2.139446,2.273312], active=1
covariate 30:  name=covariate30, type=float, missing= 18 of 100, average=-0.020798, stdev=0.889529, range=[-1.955757,2.460787], active=1
covariate 31:  name=covariate31, type=float, missing= 19 of 100, average=-0.045323, stdev=0.980342, range=[-2.889792,2.963013], active=1
covariate 32:  name=covariate32, type=float, missing= 19 of 100, average=0.020280, stdev=1.063903, range=[-2.499542,3.239195], active=1
covariate 33:  name=covariate33, type=float, missing= 17 of 100, average=0.102400, stdev=0.948659, range=[-2.325081,2.372843], active=1
covariate 34:  name=covariate34, type=float, missing= 22 of 100, average=0.072782, stdev=0.993369, range=[-2.949138,3.060441], active=1
covariate 35:  name=covariate35, type=float, missing= 16 of 100, average=0.079099, stdev=0.928072, range=[-2.518336,2.588125], active=1
covariate 36:  name=covariate36, type=float, missing= 24 of 100, average=0.059817, stdev=1.032147, range=[-2.164481,2.103434], active=1
covariate 37:  name=covariate37, type=float, missing= 27 of 100, average=-0.071230, stdev=0.884944, range=[-2.114409,2.277285], active=1
covariate 38:  name=covariate38, type=float, missing= 26 of 100, average=0.063568, stdev=0.923169, range=[-2.244087,2.177925], active=1
covariate 39:  name=covariate39, type=float, missing= 21 of 100, average=0.051212, stdev=0.909056, range=[-1.970117,2.459218], active=1
covariate 40:  name=covariate40, type=float, missing= 28 of 100, average=0.133832, stdev=1.072989, range=[-2.330900,2.615796], active=1
covariate 41:  name=covariate41, type=float, missing= 15 of 100, average=-0.073022, stdev=1.122676, range=[-2.867957,2.928151], active=1
covariate 42:  name=covariate42, type=float, missing= 10 of 100, average=0.014400, stdev=0.894388, range=[-2.720906,2.797421], active=1
covariate 43:  name=covariate43, type=float, missing= 19 of 100, average=-0.132495, stdev=1.004748, range=[-2.895616,1.978475], active=1
covariate 44:  name=covariate44, type=float, missing= 20 of 100, average=0.016677, stdev=1.138129, range=[-2.779311,2.991242], active=1
covariate 45:  name=covariate45, type=float, missing= 23 of 100, average=0.003675, stdev=1.126635, range=[-3.111530,2.193633], active=1
covariate 46:  name=covariate46, type=float, missing= 17 of 100, average=0.069134, stdev=0.989332, range=[-2.188984,2.435321], active=1
covariate 47:  name=covariate47, type=float, missing= 21 of 100, average=-0.162244, stdev=0.861183, range=[-2.726654,1.860900], active=1
