active=100: F_T=0.967100, F_V=0.560400
active=99: F_T=0.967100, F_V=0.567900
active=98: F_T=0.967200, F_V=0.572600
active=97: F_T=0.966600, F_V=0.570200
active=96: F_T=0.965300, F_V=0.576900
active=95: F_T=0.965400, F_V=0.575500
active=94: F_T=0.963100, F_V=0.576900
active=93: F_T=0.963900, F_V=0.581200
active=92: F_T=0.962800, F_V=0.590900
active=91: F_T=0.961900, F_V=0.582600
active=90: F_T=0.961400, F_V=0.584700
active=89: F_T=0.962200, F_V=0.596700
active=88: F_T=0.960200, F_V=0.587900
active=87: F_T=0.960900, F_V=0.591800
active=86: F_T=0.959300, F_V=0.581100
active=85: F_T=0.957200, F_V=0.599300
active=84: F_T=0.958000, F_V=0.602400
active=83: F_T=0.958500, F_V=0.607500
active=82: F_T=0.960200, F_V=0.596700
active=81: F_T=0.954800, F_V=0.604100
active=80: F_T=0.955000, F_V=0.611400
active=79: F_T=0.956800, F_V=0.609700
active=78: F_T=0.955800, F_V=0.609800
active=77: F_T=0.957600, F_V=0.619300
active=76: F_T=0.952400, F_V=0.620100
active=75: F_T=0.952800, F_V=0.622600
active=74: F_T=0.952500, F_V=0.624900
active=73: F_T=0.949900, F_V=0.618500
active=72: F_T=0.951300, F_V=0.624400
active=71: F_T=0.952900, F_V=0.632100
active=70: F_T=0.950400, F_V=0.634800
active=69: F_T=0.950100, F_V=0.643400
active=68: F_T=0.948200, F_V=0.640900
active=67: F_T=0.947500, F_V=0.648300
active=66: F_T=0.947500, F_V=0.645300
active=65: F_T=0.947800, F_V=0.651300
active=64: F_T=0.944700, F_V=0.653700
active=63: F_T=0.941400, F_V=0.658400
active=62: F_T=0.940500, F_V=0.652200
active=61: F_T=0.944300, F_V=0.661100
active=60: F_T=0.940800, F_V=0.666500
active=59: F_T=0.945900, F_V=0.671900
active=58: F_T=0.938200, F_V=0.664600
active=57: F_T=0.941600, F_V=0.666600
active=56: F_T=0.938600, F_V=0.676200
active=55: F_T=0.942400, F_V=0.672900
active=54: F_T=0.934600, F_V=0.678600
active=53: F_T=0.934700, F_V=0.681900
active=52: F_T=0.934300, F_V=0.685200
active=51: F_T=0.933100, F_V=0.681600
active=50: F_T=0.934800, F_V=0.682200
active=49: F_T=0.932300, F_V=0.685000
active=48: F_T=0.927300, F_V=0.688900
active=47: F_T=0.928000, F_V=0.688800
active=46: F_T=0.925500, F_V=0.689400
active=45: F_T=0.914700, F_V=0.697100
active=44: F_T=0.912600, F_V=0.695800
active=43: F_T=0.910800, F_V=0.693300
active=42: F_T=0.910400, F_V=0.696000
active=41: F_T=0.914400, F_V=0.689300
active=40: F_T=0.908700, F_V=0.708800
active=39: F_T=0.904000, F_V=0.710500
active=38: F_T=0.913600, F_V=0.719100
active=37: F_T=0.909700, F_V=0.717000
active=36: F_T=0.909500, F_V=0.716900
active=35: F_T=0.906000, F_V=0.719700
active=34: F_T=0.898300, F_V=0.718100
active=33: F_T=0.897600, F_V=0.724000
active=32: F_T=0.897400, F_V=0.724000
active=31: F_T=0.895200, F_V=0.726800
active=30: F_T=0.894500, F_V=0.729200
active=29: F_T=0.877400, F_V=0.732300
active=28: F_T=0.873200, F_V=0.734500
active=27: F_T=0.862800, F_V=0.717500
active=26: F_T=0.857900, F_V=0.722300
active=25: F_T=0.847500, F_V=0.727000
active=24: F_T=0.851100, F_V=0.734000
active=23: F_T=0.854600, F_V=0.735400
active=22: F_T=0.844000, F_V=0.737000
active=21: F_T=0.841500, F_V=0.739600
active=20: F_T=0.832900, F_V=0.743900
active=19: F_T=0.838200, F_V=0.744700
active=18: F_T=0.822700, F_V=0.742000
active=17: F_T=0.809100, F_V=0.725700
active=16: F_T=0.801400, F_V=0.719800
active=15: F_T=0.779100, F_V=0.699600
active=14: F_T=0.785900, F_V=0.715900
active=13: F_T=0.784600, F_V=0.711300
active=12: F_T=0.781500, F_V=0.717300
active=11: F_T=0.760400, F_V=0.703000
active=10: F_T=0.735800, F_V=0.670300
active=9: F_T=0.713600, F_V=0.654900
active=8: F_T=0.700500, F_V=0.660000
active=7: F_T=0.670200, F_V=0.635400
active=6: F_T=0.674300, F_V=0.643200
active=5: F_T=0.679300, F_V=0.654400
active=4: F_T=0.652300, F_V=0.628100
active=3: F_T=0.641000, F_V=0.628100
active=2: F_T=0.634100, F_V=0.623200
active=1: F_T=0.589600, F_V=0.584600
active=0: F_T=0.500000, F_V=0.500000
