covariate 1:   name=covariate1, type=float, missing=  7 of 100, average=-0.073266, stdev=0.946461, range=[-2.689630,2.925034], active=1
covariate 2:   name=covariate2, type=float, missing=  3 of 100, average=-0.052093, stdev=1.056641, range=[-3.274047,2.877474], active=1
covariate 3:   name=covariate3, type=float, missing=  7 of 100, average=-0.083911, stdev=0.861239, range=[-2.092743,2.544826], active=1
covariate 4:   name=covariate4, type=float, missing=  3 of 100, average=-0.000785, stdev=1.154534, range=[-2.335230,3.055403], active=1
covariate 5:   name=covariate5, type=float, missing=  2 of 100, average=-0.096471, stdev=1.084684, range=[-2.220706,3.189790], active=1
covariate 6:   name=covariate6, type=float, missing=  8 of 100, average=-0.177480, stdev=1.008767, range=[-2.804609,2.933245], active=1
covariate 7:   name=covariate7, type=float, missing=  6 of 100, average=-0.065331, stdev=1.091619, range=[-2.383920,2.512390], active=1
covariate 8:   name=covariate8, type=float, missing=  5 of 100, average=-0.072088, stdev=0.972978, range=[-2.696534,2.252509], active=1
covariate 9:   name=covariate9, type=float, missing=  8 of 100, average=0.077530, stdev=1.076621, range=[-2.465548,2.956060], active=1
covariate 10:  name=covariate10, type=float, missing=  3 of 100, average=-0.014783, stdev=0.928942, range=[-2.504659,3.069074], active=1
covariate 11:  name=covariate11, type=float, missing=  5 of 100, average=0.115274, stdev=0.839531, range=[-2.184532,2.710360], active=1
covariate 12:  name=covariate12, type=float, missing=  4 of 100, average=-0.097953, stdev=0.955624, range=[-2.573445,2.912244], active=1
covariate 13:  name=covariate13, type=float, missing=  5 of 100, average=0.040012, stdev=1.048288, range=[-2.302740,2.562656], active=1
covariate 14:  name=covariate14, type=float, missing=  4 of 100, average=-0.151734, stdev=0.870919, range=[-2.510550,2.190989], active=1
covariate 15:  name=covariate15, type=float, missing=  2 of 100, average=-0.082512, stdev=1.016502, range=[-2.504845,2.580774], active=1
covariate 16:  name=covariate16, type=float, missing=  3 of 100, average=0.036136, stdev=0.912405, range=[-2.253218,2.075537], active=1
covariate 17:  name=covariate17, type=float, missing=  6 of 100, average=0.030261, stdev=0.970102, range=[-2.383015,2.448181], active=1
covariate 18:  name=covariate18, type=float, missing=  6 of 100, average=-0.046796, stdev=0.974106, range=[-2.835467,2.765656], active=1
covariate 19:  name=covariate19, type=float, missing=  5 of 100, average=0.140953, stdev=1.102638, range=[-2.568475,3.364326], active=1
covariate 20:  name=covariate20, type=float, missing=  5 of 100, average=0.015432, stdev=1.189499, range=[-2.603928,2.576400], active=1
covariate 21:  name=covariate21, type=float, missing=  6 of 100, average=-0.045773, stdev=1.044295, range=[-2.530088,2.612086], active=1
covariate 22:  name=covariate22, type=float, missing=  5 of 100, average=-0.004747, stdev=0.981202, range=[-2.048769,2.299284], active=1
covariate 23:  name=covariate23, type=float, missing=  5 of 100, average=0.033555, stdev=0.813093, range=[-1.782943,2.212286], active=1
covariate 24:  name=covariate24, type=float, missing=  7 of 100, average=-0.016917, stdev=1.025159, range=[-2.772399,1.992131], active=1
covariate 25:  name=covariate25, type=float, missing=  3 of 100, average=-0.041948, stdev=1.119536, range=[-2.555482,3.206922], active=1
covariate 26:  name=covariate26, type=float, missing= 10 of 100, average=-0.107420, stdev=1.132742, range=[-2.751113,3.278619], active=1
covariate 27:  name=covariate27, type=float, missing=  5 of 100, average=0.001132, stdev=1.100190, range=[-2.555306,2.359281], active=1
covariate 28:  name=covariate28, type=float, missing=  6 of 100, average=-0.133870, stdev=0.984731, range=[-2.925150,2.210902], active=1
covariate 29:  name=covariate29, type=float, missing=  4 of 100, average=0.130755, stdev=0.994060, range=[-3.091305,2.648098], active=1
covariate 30:  name=covariate30, type=float, missing=  6 of 100, average=-0.010845, stdev=1.006058, range=[-2.176766,2.516030], active=1
covariate 31:  name=covariate31, type=float, missing=  5 of 100, average=-0.078763, stdev=1.049146, range=[-2.688238,2.315290], active=1
covariate 32:  name=covariate32, type=float, missing=  4 of 100, average=-0.052460, stdev=0.855000, range=[-2.203502,2.836771], active=1
covariate 33:  name=covariate33, type=float, missing=  6 of 100, average=-0.003571, stdev=0.956304, range=[-2.444440,2.332616], active=1
covariate 34:  name=covariate34, type=float, missing=  5 of 100, average=-0.042123, stdev=1.045643, range=[-2.003232,2.244993], active=1
covariate 35:  name=covariate35, type=float, missing=  6 of 100, average=0.154158, stdev=1.066266, range=[-2.053964,2.877200], active=1
covariate 36:  name=covariate36, type=float, missing=  5 of 100, average=-0.018203, stdev=0.970561, range=[-2.082782,2.202182], active=1
covariate 37:  name=covariate37, type=float, missing=  3 of 100, average=-0.169009, stdev=1.108596, range=[-2.836933,2.802025], active=1
covariate 38:  name=covariate38, type=float, missing=  3 of 100, average=0.142262, stdev=0.966950, range=[-3.076348,2.838535], active=1
covariate 39:  name=covariate39, type=float, missing=  3 of 100, average=0.154826, stdev=1.003826, range=[-2.465167,2.464046], active=1
covariate 40:  name=covariate40, type=float, missing=  5 of 100, average=-0.004306, stdev=0.998836, range=[-2.484406,2.005046], active=1
covariate 41:  name=covariate41, type=float, missing=  5 of 100, average=-0.112878, stdev=1.013272, range=[-2.272456,2.432817], active=1
covariate 42:  name=covariate42, type=float, missing=  7 of 100, average=-0.165727, stdev=1.045200, range=[-2.366021,2.045466], active=1
covariate 43:  name=covariate43, type=float, missing=  4 of 100, average=-0.008202, stdev=0.904915, range=[-3.010374,3.093659], active=1
covariate 44:  name=covariate44, type=float, missing=  3 of 100, average=-0.062493, stdev=0.982669, range=[-2.283489,2.636772], active=1
covariate 45:  name=covariate45, type=float, missing=  9 of 100, average=-0.026646, stdev=1.053125, range=[-2.402262,2.520859], active=1
covariate 46:  name=covariate46, type=float, missing=  7 of 100, average=0.102132, stdev=1.037046, range=[-2.603167,3.128275], active=1
covariate 47:  name=covariate47, type=float, missing=  4 of 100, average=0.033341, stdev=1.096927, range=[-2.604386,3.131946], active=1
covariate 48:  name=covariate48, type=float, missing=  2 of 100, average=-0.080789, stdev=1.066296, range=[-2.455064,2.979130], active=1
covariate 49:  name=covariate49, type=float, missing=  2 of 100, average=0.067404, stdev=1.084210, range=[-2.547108,2.988979], active=1
covariate 50:  name=covariate50, type=float, missing=  6 of 100, average=0.147860, stdev=1.146898, range=[-2.903468,2.493125], active=1
covariate 51:  name=covariate51, type=float, missing=  2 of 100, average=-0.009715, stdev=1.045823, range=[-2.394067,2.402024], active=1
covariate 52:  name=covariate52, type=float, missing=  4 of 100, average=0.028930, stdev=1.039910, range=[-2.849648,2.521284], active=1
covariate 53:  name=covariate53, type=float, missing=  2 of 100, average=-0.098669, stdev=0.905637, range=[-2.081483,2.203709], active=1
covariate 54:  name=covariate54, type=float, missing=  5 of 100, average=0.016480, stdev=0.969707, range=[-2.095578,2.639398], active=1
covariate 55:  name=covariate55, type=float, missing=  4 of 100, average=-0.085224, stdev=1.029211, range=[-2.932178,2.869280], active=1
covariate 56:  name=covariate56, type=float, missing=  3 of 100, average=-0.120262, stdev=0.982566, range=[-3.202701,1.800680], active=1
covariate 57:  name=covariate57, type=float, missing=  4 of 100, average=-0.000284, stdev=0.951942, range=[-1.823910,2.886948], active=1
covariate 58:  name=covariate58, type=float, missing=  6 of 100, average=0.043657, stdev=1.014136, range=[-2.025635,2.195713], active=1
covariate 59:  name=covariate59, type=float, missing=  5 of 100, average=0.019658, stdev=0.944125, range=[-2.845057,1.971021], active=1
