    vars  set          vimp positive
1     A4 VIMP  8.307584e-03     TRUE
2    A92 VIMP  8.206967e-03     TRUE
3    A40 VIMP  4.554849e-03     TRUE
4     A6 VIMP  4.277784e-03     TRUE
5    A68 VIMP  2.202399e-03     TRUE
6     A5 VIMP  1.998020e-03     TRUE
7    A24 VIMP  1.648666e-03     TRUE
8    A58 VIMP  1.457652e-03     TRUE
9    A12 VIMP  1.405219e-03     TRUE
10   A77 VIMP  1.294296e-03     TRUE
11   A82 VIMP  1.208241e-03     TRUE
12   A67 VIMP  8.713309e-04     TRUE
13   A44 VIMP  7.238994e-04     TRUE
14   A98 VIMP  6.909475e-04     TRUE
15   A23 VIMP  6.114305e-04     TRUE
16    A2 VIMP  5.833947e-04     TRUE
17   A74 VIMP  4.521405e-04     TRUE
18   A86 VIMP  3.569315e-04     TRUE
19    A1 VIMP  3.384004e-04     TRUE
20   A91 VIMP  3.072616e-04     TRUE
21   A15 VIMP  2.580706e-04     TRUE
22   A66 VIMP  2.529902e-04     TRUE
23   A54 VIMP  2.278068e-04     TRUE
24   A10 VIMP  1.850641e-04     TRUE
25   A25 VIMP  1.615050e-04     TRUE
26   A30 VIMP  1.599632e-04     TRUE
27   A93 VIMP  6.485319e-05     TRUE
28   A90 VIMP  4.548727e-05     TRUE
29   A46 VIMP  3.689116e-05     TRUE
30   A97 VIMP  3.160112e-05     TRUE
31   A38 VIMP  2.734610e-05     TRUE
32   A35 VIMP  1.462136e-05     TRUE
33   A22 VIMP -3.383583e-05    FALSE
34   A37 VIMP -3.854689e-05    FALSE
35   A21 VIMP -7.059568e-05    FALSE
36   A57 VIMP -7.505223e-05    FALSE
37   A83 VIMP -1.138595e-04    FALSE
38    A8 VIMP -1.174116e-04    FALSE
39   A56 VIMP -1.258854e-04    FALSE
40   A20 VIMP -1.369055e-04    FALSE
41   A99 VIMP -1.536084e-04    FALSE
42   A42 VIMP -1.822074e-04    FALSE
43   A18 VIMP -1.936534e-04    FALSE
44   A51 VIMP -2.105453e-04    FALSE
45   A78 VIMP -2.158724e-04    FALSE
46   A61 VIMP -2.183419e-04    FALSE
47   A32 VIMP -2.280006e-04    FALSE
48   A70 VIMP -2.491989e-04    FALSE
49    A9 VIMP -2.542823e-04    FALSE
50   A80 VIMP -2.567019e-04    FALSE
51   A48 VIMP -2.674217e-04    FALSE
52    A7 VIMP -2.930687e-04    FALSE
53   A34 VIMP -3.325639e-04    FALSE
54   A59 VIMP -3.363466e-04    FALSE
55   A84 VIMP -3.462328e-04    FALSE
56   A55 VIMP -3.623003e-04    FALSE
57   A96 VIMP -3.762148e-04    FALSE
58   A71 VIMP -3.822223e-04    FALSE
59   A52 VIMP -4.226552e-04    FALSE
60   A31 VIMP -4.508274e-04    FALSE
61   A49 VIMP -4.597341e-04    FALSE
62   A29 VIMP -4.826250e-04    FALSE
63   A62 VIMP -4.830201e-04    FALSE
64   A89 VIMP -5.200108e-04    FALSE
65   A94 VIMP -5.332865e-04    FALSE
66   A39 VIMP -5.670396e-04    FALSE
67   A63 VIMP -6.200869e-04    FALSE
68   A87 VIMP -6.245522e-04    FALSE
69    A3 VIMP -6.325163e-04    FALSE
70   A27 VIMP -6.958798e-04    FALSE
71   A26 VIMP -7.056229e-04    FALSE
72   A11 VIMP -7.296735e-04    FALSE
73   A73 VIMP -7.304175e-04    FALSE
74   A88 VIMP -7.418147e-04    FALSE
75   A79 VIMP -7.861233e-04    FALSE
76   A95 VIMP -7.977172e-04    FALSE
77   A19 VIMP -7.991642e-04    FALSE
78  A100 VIMP -8.038397e-04    FALSE
79   A13 VIMP -8.382284e-04    FALSE
80   A33 VIMP -8.525922e-04    FALSE
81   A17 VIMP -8.548760e-04    FALSE
82   A65 VIMP -8.782756e-04    FALSE
83   A64 VIMP -8.840689e-04    FALSE
84   A50 VIMP -9.496214e-04    FALSE
85   A36 VIMP -9.525707e-04    FALSE
86   A47 VIMP -9.790819e-04    FALSE
87   A43 VIMP -1.032367e-03    FALSE
88   A16 VIMP -1.139511e-03    FALSE
89   A69 VIMP -1.210825e-03    FALSE
90   A81 VIMP -1.275938e-03    FALSE
91   A41 VIMP -1.320095e-03    FALSE
92   A14 VIMP -1.378371e-03    FALSE
93   A53 VIMP -1.425643e-03    FALSE
94   A60 VIMP -1.460848e-03    FALSE
95   A76 VIMP -1.594645e-03    FALSE
96   A45 VIMP -1.713007e-03    FALSE
97   A75 VIMP -1.766496e-03    FALSE
98   A28 VIMP -1.865519e-03    FALSE
99   A72 VIMP -1.956476e-03    FALSE
100  A85 VIMP -2.379826e-03    FALSE
