active=60: F_T=0.920200, F_V=0.487700
active=59: F_T=0.920000, F_V=0.496700
active=58: F_T=0.914200, F_V=0.498200
active=57: F_T=0.915100, F_V=0.497600
active=56: F_T=0.916400, F_V=0.499300
active=55: F_T=0.915300, F_V=0.512200
active=54: F_T=0.908300, F_V=0.513300
active=53: F_T=0.903400, F_V=0.508900
active=52: F_T=0.903700, F_V=0.512700
active=51: F_T=0.895500, F_V=0.521200
active=50: F_T=0.900200, F_V=0.524400
active=49: F_T=0.891800, F_V=0.527700
active=48: F_T=0.887800, F_V=0.534500
active=47: F_T=0.876000, F_V=0.529300
active=46: F_T=0.879500, F_V=0.535900
active=45: F_T=0.883900, F_V=0.546900
active=44: F_T=0.877100, F_V=0.538700
active=43: F_T=0.869300, F_V=0.545700
active=42: F_T=0.863500, F_V=0.552600
active=41: F_T=0.864400, F_V=0.554700
active=40: F_T=0.868300, F_V=0.557300
active=39: F_T=0.859700, F_V=0.563200
active=38: F_T=0.857500, F_V=0.556300
active=37: F_T=0.849100, F_V=0.563800
active=36: F_T=0.844400, F_V=0.565900
active=35: F_T=0.840500, F_V=0.563600
active=34: F_T=0.837800, F_V=0.568700
active=33: F_T=0.833100, F_V=0.584200
active=32: F_T=0.838100, F_V=0.577500
active=31: F_T=0.831200, F_V=0.580300
active=30: F_T=0.821000, F_V=0.589000
active=29: F_T=0.821300, F_V=0.579500
active=28: F_T=0.821300, F_V=0.590900
active=27: F_T=0.811300, F_V=0.584200
active=26: F_T=0.808200, F_V=0.600500
active=25: F_T=0.793500, F_V=0.593200
active=24: F_T=0.791300, F_V=0.602200
active=23: F_T=0.787500, F_V=0.595400
active=22: F_T=0.785900, F_V=0.604600
active=21: F_T=0.770200, F_V=0.591100
active=20: F_T=0.762900, F_V=0.594200
active=19: F_T=0.754600, F_V=0.597700
active=18: F_T=0.752600, F_V=0.598100
active=17: F_T=0.751800, F_V=0.608500
active=16: F_T=0.735000, F_V=0.602000
active=15: F_T=0.744300, F_V=0.607500
active=14: F_T=0.741200, F_V=0.626600
active=13: F_T=0.718100, F_V=0.613800
active=12: F_T=0.722900, F_V=0.618200
active=11: F_T=0.709700, F_V=0.611200
active=10: F_T=0.697200, F_V=0.607100
active=9: F_T=0.702400, F_V=0.627300
active=8: F_T=0.697700, F_V=0.624000
active=7: F_T=0.681300, F_V=0.617700
active=6: F_T=0.673200, F_V=0.621100
active=5: F_T=0.670000, F_V=0.615100
active=4: F_T=0.647900, F_V=0.615400
active=3: F_T=0.641400, F_V=0.616100
active=2: F_T=0.624300, F_V=0.613300
active=1: F_T=0.592100, F_V=0.583500
active=0: F_T=0.500000, F_V=0.500000
