covariate 1:   name=covariate1, type=float, missing=  0 of 100, average=0.175034, stdev=0.920353, range=[-2.115623,2.241259], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 100, average=-0.016082, stdev=1.045692, range=[-2.660158,2.515993], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 100, average=-0.002606, stdev=0.932397, range=[-2.052580,2.348843], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 100, average=0.043251, stdev=1.075824, range=[-2.117899,2.581260], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 100, average=-0.068846, stdev=0.932379, range=[-2.637090,2.753270], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 100, average=0.034213, stdev=0.960776, range=[-2.265037,1.929683], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 100, average=0.041957, stdev=1.034031, range=[-2.172211,2.340157], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 100, average=0.108250, stdev=1.028367, range=[-2.080565,2.777978], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 100, average=0.105554, stdev=1.042721, range=[-2.665917,2.845122], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=0.108341, stdev=1.043485, range=[-2.055264,3.099365], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 100, average=0.007854, stdev=0.884275, range=[-2.008132,2.466765], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 100, average=-0.091188, stdev=0.999205, range=[-3.417790,2.263760], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 100, average=-0.040941, stdev=0.877178, range=[-2.004302,2.674687], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 100, average=-0.109051, stdev=1.022201, range=[-2.733534,2.263423], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=-0.122710, stdev=0.956832, range=[-2.702194,2.395893], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 100, average=0.258167, stdev=1.043081, range=[-2.398532,3.222811], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 100, average=-0.074423, stdev=0.880243, range=[-2.561925,1.809669], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 100, average=0.053537, stdev=1.201910, range=[-2.808712,3.210233], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 100, average=0.105518, stdev=0.922156, range=[-2.007778,2.567863], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 100, average=0.132593, stdev=0.962294, range=[-2.243019,2.330137], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 100, average=0.119565, stdev=0.944863, range=[-3.002151,2.292254], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 100, average=0.084460, stdev=1.005821, range=[-2.440771,3.225736], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 100, average=-0.040800, stdev=0.934914, range=[-1.978299,2.602124], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 100, average=-0.058793, stdev=1.003476, range=[-2.358634,3.389450], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 100, average=0.072292, stdev=0.942319, range=[-2.239882,2.500926], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 100, average=-0.152715, stdev=0.964073, range=[-2.136889,2.725686], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 100, average=0.194890, stdev=1.113974, range=[-1.929406,3.260644], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 100, average=0.039311, stdev=0.864557, range=[-2.042672,1.823502], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 100, average=-0.018314, stdev=1.025553, range=[-2.237873,2.621392], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 100, average=0.071985, stdev=0.983671, range=[-2.156302,2.084982], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 100, average=-0.013531, stdev=0.893904, range=[-1.794086,1.803876], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 100, average=-0.099662, stdev=0.975008, range=[-2.693818,2.762112], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 100, average=0.039539, stdev=0.954765, range=[-2.292603,2.962446], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 100, average=0.024685, stdev=0.998450, range=[-2.995360,2.378901], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 100, average=-0.079116, stdev=1.069915, range=[-2.860317,2.760073], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 100, average=0.126799, stdev=0.974206, range=[-2.380923,2.761267], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 100, average=-0.195118, stdev=0.987514, range=[-2.668630,1.844249], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 100, average=0.169688, stdev=0.966472, range=[-3.049234,2.464898], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 100, average=-0.020297, stdev=1.013133, range=[-2.561850,2.274281], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 100, average=0.053746, stdev=0.894475, range=[-2.342556,3.346520], active=1
covariate 41:  name=covariate41, type=float, missing=  0 of 100, average=-0.015374, stdev=0.965534, range=[-1.986091,3.032002], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of 100, average=0.128796, stdev=1.031339, range=[-2.376260,2.864371], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of 100, average=-0.048010, stdev=0.926891, range=[-2.841801,2.111166], active=1
covariate 44:  name=covariate44, type=float, missing=  0 of 100, average=0.088232, stdev=1.092376, range=[-2.692072,3.846412], active=1
covariate 45:  name=covariate45, type=float, missing=  0 of 100, average=0.084606, stdev=0.907094, range=[-1.900164,1.899251], active=1
covariate 46:  name=covariate46, type=float, missing=  0 of 100, average=0.091554, stdev=0.973575, range=[-2.179268,3.678821], active=1
covariate 47:  name=covariate47, type=float, missing=  0 of 100, average=-0.004644, stdev=0.910165, range=[-2.053465,1.771014], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of 100, average=0.033262, stdev=0.976813, range=[-3.516151,2.086999], active=1
covariate 49:  name=covariate49, type=float, missing=  0 of 100, average=0.065955, stdev=0.902042, range=[-2.260484,1.970587], active=1
covariate 50:  name=covariate50, type=float, missing=  0 of 100, average=0.068981, stdev=0.996012, range=[-2.479705,3.521133], active=1
covariate 51:  name=covariate51, type=float, missing=  0 of 100, average=0.121437, stdev=1.019676, range=[-2.206019,2.302896], active=1
covariate 52:  name=covariate52, type=float, missing=  0 of 100, average=-0.070402, stdev=1.062674, range=[-3.604968,2.688051], active=1
covariate 53:  name=covariate53, type=float, missing=  0 of 100, average=-0.025824, stdev=1.016753, range=[-2.394667,2.571305], active=1
covariate 54:  name=covariate54, type=float, missing=  0 of 100, average=-0.209787, stdev=0.955443, range=[-2.596866,2.436735], active=1
covariate 55:  name=covariate55, type=float, missing=  0 of 100, average=-0.064508, stdev=0.889342, range=[-2.280257,2.085227], active=1
covariate 56:  name=covariate56, type=float, missing=  0 of 100, average=0.005914, stdev=1.073051, range=[-2.783767,3.419186], active=1
covariate 57:  name=covariate57, type=float, missing=  0 of 100, average=0.101306, stdev=0.963452, range=[-1.994441,2.180589], active=1
covariate 58:  name=covariate58, type=float, missing=  0 of 100, average=-0.040580, stdev=1.062227, range=[-2.996621,2.368923], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of 100, average=0.052068, stdev=0.964712, range=[-2.399018,2.239716], active=1
covariate 60:  name=covariate60, type=float, missing=  0 of 100, average=-0.034056, stdev=1.017757, range=[-2.025796,3.601143], active=1
