covariate 1:   name=covariate1, type=float, missing=  5 of 100, average=0.014188, stdev=1.042423, range=[-3.039989,2.280683], active=1
covariate 2:   name=covariate2, type=float, missing=  5 of 100, average=-0.120487, stdev=0.974770, range=[-2.911290,2.843286], active=1
covariate 3:   name=covariate3, type=float, missing=  8 of 100, average=0.071653, stdev=1.246679, range=[-2.979907,2.786997], active=1
covariate 4:   name=covariate4, type=float, missing=  5 of 100, average=0.026575, stdev=1.080711, range=[-2.394314,2.725581], active=1
covariate 5:   name=covariate5, type=float, missing=  6 of 100, average=-0.068600, stdev=0.861214, range=[-2.025763,1.657505], active=1
covariate 6:   name=covariate6, type=float, missing=  3 of 100, average=0.080624, stdev=0.972030, range=[-2.557589,3.237460], active=1
covariate 7:   name=covariate7, type=float, missing=  7 of 100, average=0.058121, stdev=0.960761, range=[-2.147264,2.054209], active=1
covariate 8:   name=covariate8, type=float, missing=  6 of 100, average=-0.092388, stdev=1.006531, range=[-2.268423,2.439764], active=1
covariate 9:   name=covariate9, type=float, missing=  3 of 100, average=-0.032117, stdev=0.759434, range=[-1.870280,2.428494], active=1
covariate 10:  name=covariate10, type=float, missing=  6 of 100, average=-0.004178, stdev=0.970286, range=[-2.826409,2.478590], active=1
covariate 11:  name=covariate11, type=float, missing=  4 of 100, average=0.060243, stdev=1.042909, range=[-3.110040,2.797328], active=1
covariate 12:  name=covariate12, type=float, missing=  7 of 100, average=-0.004436, stdev=0.981654, range=[-2.264898,2.021362], active=1
covariate 13:  name=covariate13, type=float, missing=  5 of 100, average=-0.022677, stdev=0.930348, range=[-2.457590,1.944034], active=1
covariate 14:  name=covariate14, type=float, missing=  3 of 100, average=0.184417, stdev=1.014107, range=[-2.748496,2.811054], active=1
covariate 15:  name=covariate15, type=float, missing=  6 of 100, average=-0.060115, stdev=1.032443, range=[-3.799977,2.031044], active=1
covariate 16:  name=covariate16, type=float, missing=  6 of 100, average=0.006781, stdev=0.973222, range=[-2.421197,3.314506], active=1
covariate 17:  name=covariate17, type=float, missing=  8 of 100, average=0.077882, stdev=0.988582, range=[-2.790760,2.576822], active=1
covariate 18:  name=covariate18, type=float, missing=  5 of 100, average=0.125409, stdev=1.019084, range=[-2.660767,2.609355], active=1
covariate 19:  name=covariate19, type=float, missing=  6 of 100, average=0.068608, stdev=1.095630, range=[-2.363740,3.144657], active=1
covariate 20:  name=covariate20, type=float, missing=  4 of 100, average=-0.092425, stdev=0.894605, range=[-2.150651,2.531730], active=1
covariate 21:  name=covariate21, type=float, missing=  4 of 100, average=0.220436, stdev=0.863518, range=[-2.873712,2.411267], active=1
covariate 22:  name=covariate22, type=float, missing=  4 of 100, average=-0.118164, stdev=1.089303, range=[-3.487198,2.890161], active=1
covariate 23:  name=covariate23, type=float, missing=  3 of 100, average=-0.020602, stdev=1.108717, range=[-2.693022,3.264565], active=1
covariate 24:  name=covariate24, type=float, missing=  7 of 100, average=0.065020, stdev=0.891551, range=[-2.167472,2.294878], active=1
covariate 25:  name=covariate25, type=float, missing=  7 of 100, average=-0.172929, stdev=0.927966, range=[-3.028285,2.371188], active=1
covariate 26:  name=covariate26, type=float, missing=  7 of 100, average=0.051969, stdev=1.034113, range=[-2.046397,2.486854], active=1
covariate 27:  name=covariate27, type=float, missing=  4 of 100, average=-0.116781, stdev=0.992728, range=[-2.937849,2.123317], active=1
covariate 28:  name=covariate28, type=float, missing=  7 of 100, average=0.059932, stdev=0.900117, range=[-2.300328,2.038122], active=1
covariate 29:  name=covariate29, type=float, missing=  8 of 100, average=0.122672, stdev=0.872724, range=[-1.727694,2.123787], active=1
covariate 30:  name=covariate30, type=float, missing=  5 of 100, average=0.058459, stdev=0.920099, range=[-2.880097,2.178636], active=1
covariate 31:  name=covariate31, type=float, missing=  3 of 100, average=-0.036254, stdev=0.902990, range=[-2.641345,1.760546], active=1
covariate 32:  name=covariate32, type=float, missing=  5 of 100, average=0.049738, stdev=0.937516, range=[-2.177136,2.605704], active=1
covariate 33:  name=covariate33, type=float, missing=  5 of 100, average=0.054755, stdev=1.043565, range=[-3.329076,2.334306], active=1
covariate 34:  name=covariate34, type=float, missing=  5 of 100, average=-0.127181, stdev=1.106064, range=[-2.280864,2.521060], active=1
covariate 35:  name=covariate35, type=float, missing=  4 of 100, average=-0.076030, stdev=1.152153, range=[-2.711087,2.870242], active=1
covariate 36:  name=covariate36, type=float, missing=  3 of 100, average=0.093111, stdev=0.852772, range=[-1.894182,2.247816], active=1
covariate 37:  name=covariate37, type=float, missing=  6 of 100, average=0.074742, stdev=1.056420, range=[-2.477419,3.817546], active=1
covariate 38:  name=covariate38, type=float, missing=  7 of 100, average=-0.021360, stdev=0.944910, range=[-3.097700,1.822728], active=1
covariate 39:  name=covariate39, type=float, missing=  3 of 100, average=0.025221, stdev=1.155314, range=[-2.878374,2.457818], active=1
covariate 40:  name=covariate40, type=float, missing=  3 of 100, average=-0.160761, stdev=1.074260, range=[-4.285723,1.903122], active=1
