covariate 1:   type=float, missing=  4 of 100, average=-0.100717, stdev=1.016040, range=[-2.471977,2.727259], active=1
covariate 2:   type=float, missing=  3 of 100, average=-0.013415, stdev=0.936763, range=[-2.916426,1.978819], active=1
covariate 3:   type=float, missing=  8 of 100, average=0.017995, stdev=0.967137, range=[-2.347820,2.128041], active=1
covariate 4:   type=float, missing=  8 of 100, average=-0.040159, stdev=0.936692, range=[-2.252770,2.629926], active=1
covariate 5:   type=float, missing=  8 of 100, average=-0.143830, stdev=0.966253, range=[-2.140464,2.225021], active=1
covariate 6:   type=float, missing=  3 of 100, average=0.027694, stdev=1.068726, range=[-3.344378,2.384732], active=1
covariate 7:   type=float, missing=  4 of 100, average=-0.167077, stdev=0.999473, range=[-2.732108,2.457114], active=1
covariate 8:   type=float, missing=  5 of 100, average=0.044381, stdev=1.045283, range=[-2.270422,2.769950], active=1
covariate 9:   type=float, missing=  8 of 100, average=-0.010350, stdev=1.082701, range=[-2.284837,2.660682], active=1
covariate 10:  type=float, missing=  3 of 100, average=0.048288, stdev=0.888419, range=[-1.642936,2.045669], active=1
covariate 11:  type=float, missing=  3 of 100, average=0.032722, stdev=1.013667, range=[-2.270198,2.421978], active=1
covariate 12:  type=float, missing=  6 of 100, average=-0.083247, stdev=0.930865, range=[-2.789807,1.672761], active=1
covariate 13:  type=float, missing=  6 of 100, average=0.060353, stdev=1.037027, range=[-3.259051,2.616473], active=1
covariate 14:  type=float, missing=  2 of 100, average=0.015005, stdev=1.007414, range=[-3.242415,2.701744], active=1
covariate 15:  type=float, missing=  5 of 100, average=0.089835, stdev=0.947912, range=[-2.267918,2.204144], active=1
covariate 16:  type=float, missing= 10 of 100, average=0.161761, stdev=0.963232, range=[-2.721962,3.263886], active=1
covariate 17:  type=float, missing=  4 of 100, average=-0.093821, stdev=1.050573, range=[-2.497276,2.719789], active=1
covariate 18:  type=float, missing=  4 of 100, average=-0.053100, stdev=1.046775, range=[-2.595171,2.441934], active=1
covariate 19:  type=float, missing=  7 of 100, average=0.181290, stdev=0.879960, range=[-1.617417,2.860089], active=1
covariate 20:  type=float, missing=  6 of 100, average=-0.166323, stdev=0.990600, range=[-2.940651,1.892668], active=1
covariate 21:  type=float, missing=  3 of 100, average=-0.024867, stdev=1.028097, range=[-3.009924,2.849567], active=1
covariate 22:  type=float, missing=  6 of 100, average=0.093109, stdev=1.006960, range=[-3.009719,2.790820], active=1
covariate 23:  type=float, missing=  4 of 100, average=-0.015334, stdev=1.024759, range=[-3.184980,2.651150], active=1
covariate 24:  type=float, missing=  3 of 100, average=-0.029029, stdev=0.989106, range=[-2.786114,2.790573], active=1
covariate 25:  type=float, missing=  4 of 100, average=-0.033568, stdev=0.957758, range=[-2.664428,2.076522], active=1
covariate 26:  type=float, missing=  4 of 100, average=0.037586, stdev=0.999277, range=[-2.941141,2.267381], active=1
covariate 27:  type=float, missing=  7 of 100, average=0.005975, stdev=0.995374, range=[-2.257751,2.475587], active=1
covariate 28:  type=float, missing=  7 of 100, average=0.007973, stdev=1.013670, range=[-2.899945,2.232288], active=1
covariate 29:  type=float, missing=  3 of 100, average=-0.065713, stdev=1.050345, range=[-2.802972,2.438929], active=1
covariate 30:  type=float, missing=  3 of 100, average=-0.104270, stdev=0.921124, range=[-2.364578,2.149507], active=1
covariate 31:  type=float, missing=  1 of 100, average=-0.001137, stdev=1.051865, range=[-2.413404,2.557158], active=1
covariate 32:  type=float, missing=  5 of 100, average=-0.165553, stdev=0.973375, range=[-2.504171,2.183805], active=1
covariate 33:  type=float, missing=  7 of 100, average=-0.277250, stdev=1.010864, range=[-2.906010,1.865156], active=1
covariate 34:  type=float, missing=  2 of 100, average=-0.046184, stdev=0.872615, range=[-1.990418,2.501696], active=1
covariate 35:  type=float, missing=  6 of 100, average=-0.015227, stdev=1.017628, range=[-2.121986,2.288475], active=1
covariate 36:  type=float, missing=  2 of 100, average=0.031378, stdev=0.935807, range=[-2.011880,3.361439], active=1
covariate 37:  type=float, missing=  5 of 100, average=-0.155633, stdev=0.943619, range=[-2.694493,2.466914], active=1
covariate 38:  type=float, missing= 10 of 100, average=0.143250, stdev=1.100510, range=[-3.437212,2.171811], active=1
covariate 39:  type=float, missing=  5 of 100, average=0.136259, stdev=1.152565, range=[-2.568166,2.939468], active=1
covariate 40:  type=float, missing=  6 of 100, average=0.037724, stdev=1.010440, range=[-2.244349,2.971870], active=1
covariate 41:  type=float, missing=  6 of 100, average=-0.009110, stdev=1.076119, range=[-2.326932,3.048506], active=1
covariate 42:  type=float, missing=  0 of 100, average=0.139318, stdev=0.959118, range=[-2.285505,2.453112], active=1
covariate 43:  type=float, missing=  3 of 100, average=-0.065801, stdev=0.938355, range=[-1.963104,2.631096], active=1
