active=40: F_T=1.000000, F_V=0.323333
active=39: F_T=1.000000, F_V=0.311667
active=38: F_T=1.000000, F_V=0.310000
active=37: F_T=1.000000, F_V=0.323333
active=36: F_T=1.000000, F_V=0.316667
active=35: F_T=1.000000, F_V=0.315000
active=34: F_T=1.000000, F_V=0.345000
active=33: F_T=1.000000, F_V=0.383333
active=32: F_T=1.000000, F_V=0.420000
active=31: F_T=1.000000, F_V=0.393333
active=30: F_T=1.000000, F_V=0.386667
active=29: F_T=1.000000, F_V=0.425000
active=28: F_T=1.000000, F_V=0.491667
active=27: F_T=1.000000, F_V=0.465000
active=26: F_T=1.000000, F_V=0.453333
active=25: F_T=1.000000, F_V=0.518333
active=24: F_T=1.000000, F_V=0.486667
active=23: F_T=1.000000, F_V=0.485000
active=22: F_T=1.000000, F_V=0.618333
active=21: F_T=1.000000, F_V=0.576667
active=20: F_T=1.000000, F_V=0.646667
active=19: F_T=1.000000, F_V=0.660000
active=18: F_T=1.000000, F_V=0.673333
active=17: F_T=1.000000, F_V=0.670000
active=16: F_T=1.000000, F_V=0.670000
active=15: F_T=1.000000, F_V=0.606667
active=14: F_T=1.000000, F_V=0.653333
active=13: F_T=1.000000, F_V=0.756667
active=12: F_T=1.000000, F_V=0.748333
active=11: F_T=1.000000, F_V=0.750000
active=10: F_T=1.000000, F_V=0.760000
active=9: F_T=1.000000, F_V=0.733333
active=8: F_T=1.000000, F_V=0.690000
active=7: F_T=1.000000, F_V=0.743333
active=6: F_T=1.000000, F_V=0.750000
active=5: F_T=1.000000, F_V=0.715000
active=4: F_T=1.000000, F_V=0.778333
active=3: F_T=1.000000, F_V=0.786667
active=2: F_T=1.000000, F_V=0.686667
active=1: F_T=1.000000, F_V=0.770000
active=0: F_T=0.666667, F_V=0.333333
