active=40: F_T=1.000000, F_V=0.478000
active=39: F_T=1.000000, F_V=0.474000
active=38: F_T=1.000000, F_V=0.479000
active=37: F_T=1.000000, F_V=0.507000
active=36: F_T=1.000000, F_V=0.505000
active=35: F_T=1.000000, F_V=0.536000
active=34: F_T=1.000000, F_V=0.529000
active=33: F_T=1.000000, F_V=0.548000
active=32: F_T=1.000000, F_V=0.543000
active=31: F_T=1.000000, F_V=0.550000
active=30: F_T=1.000000, F_V=0.570000
active=29: F_T=1.000000, F_V=0.591000
active=28: F_T=1.000000, F_V=0.569000
active=27: F_T=1.000000, F_V=0.606000
active=26: F_T=1.000000, F_V=0.624000
active=25: F_T=1.000000, F_V=0.637000
active=24: F_T=1.000000, F_V=0.637000
active=23: F_T=1.000000, F_V=0.614000
active=22: F_T=1.000000, F_V=0.653000
active=21: F_T=1.000000, F_V=0.677000
active=20: F_T=1.000000, F_V=0.678000
active=19: F_T=1.000000, F_V=0.674000
active=18: F_T=1.000000, F_V=0.697000
active=17: F_T=1.000000, F_V=0.703000
active=16: F_T=1.000000, F_V=0.713000
active=15: F_T=1.000000, F_V=0.744000
active=14: F_T=1.000000, F_V=0.743000
active=13: F_T=1.000000, F_V=0.726000
active=12: F_T=1.000000, F_V=0.752000
active=11: F_T=1.000000, F_V=0.743000
active=10: F_T=1.000000, F_V=0.760000
active=9: F_T=1.000000, F_V=0.760000
active=8: F_T=1.000000, F_V=0.743000
active=7: F_T=1.000000, F_V=0.786000
active=6: F_T=1.000000, F_V=0.807000
active=5: F_T=0.994000, F_V=0.764000
active=4: F_T=0.983000, F_V=0.700000
active=3: F_T=0.960000, F_V=0.735000
active=2: F_T=0.950000, F_V=0.815000
active=1: F_T=0.852000, F_V=0.751000
active=0: F_T=0.600000, F_V=0.400000
