covariate 1:   name=covariate1, type=float, missing=  2 of  10, average=0.579031, stdev=0.535487, range=[-0.424454,1.390642], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of  10, average=-0.644096, stdev=0.575158, range=[-1.458292,0.356619], active=1
covariate 3:   name=covariate3, type=float, missing=  1 of  10, average=-0.516516, stdev=0.753925, range=[-1.822704,0.788026], active=1
covariate 4:   name=covariate4, type=float, missing=  1 of  10, average=0.648589, stdev=0.528998, range=[-0.216752,1.610802], active=1
covariate 5:   name=covariate5, type=float, missing=  1 of  10, average=0.136758, stdev=0.768260, range=[-0.930775,1.375601], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of  10, average=-0.081238, stdev=1.226143, range=[-1.760910,1.992710], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  10, average=0.399444, stdev=1.067189, range=[-1.882317,1.818231], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of  10, average=0.586266, stdev=1.054621, range=[-0.919232,2.579115], active=1
covariate 9:   name=covariate9, type=float, missing=  1 of  10, average=-0.196884, stdev=0.932771, range=[-1.548595,1.643356], active=1
covariate 10:  name=covariate10, type=float, missing=  1 of  10, average=0.120061, stdev=0.758468, range=[-1.019922,1.300080], active=1
covariate 11:  name=covariate11, type=float, missing=  1 of  10, average=0.541364, stdev=0.977070, range=[-0.756563,2.674327], active=1
covariate 12:  name=covariate12, type=float, missing=  2 of  10, average=0.167720, stdev=0.680517, range=[-0.610143,1.345109], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of  10, average=-0.121926, stdev=0.977558, range=[-1.570436,1.477328], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of  10, average=0.275291, stdev=1.176693, range=[-1.449246,2.222854], active=1
covariate 15:  name=covariate15, type=float, missing=  1 of  10, average=-0.089507, stdev=0.909874, range=[-1.249708,2.175869], active=1
covariate 16:  name=covariate16, type=float, missing=  1 of  10, average=-0.390204, stdev=0.840292, range=[-2.495676,0.513141], active=1
covariate 17:  name=covariate17, type=float, missing=  2 of  10, average=-0.157617, stdev=0.908224, range=[-1.526978,1.422929], active=1
covariate 18:  name=covariate18, type=float, missing=  1 of  10, average=-0.010464, stdev=0.587604, range=[-1.040914,0.723051], active=1
covariate 19:  name=covariate19, type=float, missing=  1 of  10, average=0.379048, stdev=0.883478, range=[-1.508612,1.778062], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of  10, average=0.666845, stdev=0.648982, range=[-0.423837,1.674812], active=1
covariate 21:  name=covariate21, type=float, missing=  1 of  10, average=0.459659, stdev=0.697639, range=[-0.864882,1.525673], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of  10, average=0.457454, stdev=0.743408, range=[-0.984698,1.387730], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of  10, average=-0.082949, stdev=1.445068, range=[-2.766206,2.157446], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of  10, average=0.180012, stdev=1.066571, range=[-1.905214,1.993045], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of  10, average=0.266315, stdev=1.286717, range=[-1.848912,1.751853], active=1
covariate 26:  name=covariate26, type=float, missing=  1 of  10, average=-0.406011, stdev=1.009624, range=[-2.398811,1.287687], active=1
covariate 27:  name=covariate27, type=float, missing=  1 of  10, average=0.181635, stdev=0.995552, range=[-2.152948,1.505121], active=1
covariate 28:  name=covariate28, type=float, missing=  2 of  10, average=-0.281835, stdev=0.874681, range=[-1.903837,1.118661], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of  10, average=-0.055894, stdev=0.776819, range=[-1.373773,1.085212], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of  10, average=0.137937, stdev=1.206200, range=[-2.427475,1.764908], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of  10, average=-0.062996, stdev=0.981556, range=[-1.107383,1.422953], active=1
covariate 32:  name=covariate32, type=float, missing=  2 of  10, average=-0.294885, stdev=0.523344, range=[-1.236968,0.424623], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of  10, average=-0.038392, stdev=0.894466, range=[-1.295129,1.704872], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of  10, average=0.092501, stdev=0.629831, range=[-0.991084,1.059977], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of  10, average=0.641728, stdev=0.948734, range=[-1.064821,1.887550], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of  10, average=-0.429728, stdev=1.143772, range=[-2.126061,2.139796], active=1
covariate 37:  name=covariate37, type=float, missing=  1 of  10, average=-0.159322, stdev=0.674312, range=[-1.118271,1.108352], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of  10, average=0.844570, stdev=0.645097, range=[-0.714717,1.735318], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of  10, average=0.683644, stdev=1.083998, range=[-1.149748,2.802932], active=1
covariate 40:  name=covariate40, type=float, missing=  1 of  10, average=0.631416, stdev=1.461526, range=[-2.314881,2.544883], active=1
covariate 41:  name=covariate41, type=float, missing=  1 of  10, average=0.134081, stdev=1.056300, range=[-1.370172,2.447166], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of  10, average=-0.235597, stdev=1.025408, range=[-1.492663,1.724901], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of  10, average=0.014990, stdev=0.784890, range=[-1.293382,1.438583], active=1
covariate 44:  name=covariate44, type=float, missing=  0 of  10, average=0.258199, stdev=0.841543, range=[-1.132489,1.707667], active=1
covariate 45:  name=covariate45, type=float, missing=  1 of  10, average=0.108654, stdev=0.848655, range=[-1.478263,1.175214], active=1
covariate 46:  name=covariate46, type=float, missing=  1 of  10, average=0.211950, stdev=0.820974, range=[-0.934518,1.459678], active=1
covariate 47:  name=covariate47, type=float, missing=  0 of  10, average=0.206217, stdev=0.681200, range=[-0.689691,1.716294], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of  10, average=-0.047543, stdev=1.204367, range=[-1.494498,2.753835], active=1
covariate 49:  name=covariate49, type=float, missing=  1 of  10, average=0.476150, stdev=0.967310, range=[-1.004916,2.342724], active=1
covariate 50:  name=covariate50, type=float, missing=  0 of  10, average=0.046127, stdev=0.868371, range=[-1.640812,1.138479], active=1
covariate 51:  name=covariate51, type=float, missing=  0 of  10, average=-0.299445, stdev=1.117762, range=[-2.128376,1.544292], active=1
covariate 52:  name=covariate52, type=float, missing=  2 of  10, average=0.028748, stdev=0.923293, range=[-1.434706,1.229067], active=1
covariate 53:  name=covariate53, type=float, missing=  0 of  10, average=0.171205, stdev=1.405035, range=[-1.929066,2.569592], active=1
covariate 54:  name=covariate54, type=float, missing=  0 of  10, average=-0.231888, stdev=0.687293, range=[-1.309414,0.605907], active=1
covariate 55:  name=covariate55, type=float, missing=  1 of  10, average=-0.219916, stdev=0.937646, range=[-1.493398,1.268635], active=1
covariate 56:  name=covariate56, type=float, missing=  2 of  10, average=-0.062495, stdev=0.821183, range=[-1.465708,1.585547], active=1
covariate 57:  name=covariate57, type=float, missing=  0 of  10, average=-0.190760, stdev=0.872075, range=[-1.141964,1.752127], active=1
covariate 58:  name=covariate58, type=float, missing=  0 of  10, average=-0.172192, stdev=0.845122, range=[-1.455801,1.140580], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of  10, average=0.057288, stdev=0.793058, range=[-0.972816,1.257942], active=1
covariate 60:  name=covariate60, type=float, missing=  0 of  10, average=-0.116697, stdev=0.523192, range=[-0.877751,0.688340], active=1
covariate 61:  name=covariate61, type=float, missing=  0 of  10, average=-0.088872, stdev=1.058736, range=[-1.811691,1.060424], active=1
covariate 62:  name=covariate62, type=float, missing=  2 of  10, average=-0.915510, stdev=1.063037, range=[-2.584703,0.745727], active=1
covariate 63:  name=covariate63, type=float, missing=  1 of  10, average=-0.115839, stdev=0.938293, range=[-1.777940,1.218854], active=1
covariate 64:  name=covariate64, type=float, missing=  1 of  10, average=-0.938530, stdev=0.501182, range=[-1.750507,-0.074556], active=1
covariate 65:  name=covariate65, type=float, missing=  0 of  10, average=0.179756, stdev=1.428185, range=[-1.951107,2.773034], active=1
covariate 66:  name=covariate66, type=float, missing=  1 of  10, average=0.180096, stdev=0.805136, range=[-1.603505,1.037432], active=1
covariate 67:  name=covariate67, type=float, missing=  0 of  10, average=-0.394938, stdev=1.273740, range=[-2.735680,1.572146], active=1
covariate 68:  name=covariate68, type=float, missing=  0 of  10, average=-0.401177, stdev=0.577671, range=[-1.289260,0.686013], active=1
covariate 69:  name=covariate69, type=float, missing=  0 of  10, average=-0.818331, stdev=0.860599, range=[-2.260500,0.675358], active=1
covariate 70:  name=covariate70, type=float, missing=  0 of  10, average=0.014924, stdev=1.255423, range=[-1.945796,1.838091], active=1
covariate 71:  name=covariate71, type=float, missing=  1 of  10, average=-0.451875, stdev=1.161001, range=[-2.602688,0.944336], active=1
covariate 72:  name=covariate72, type=float, missing=  0 of  10, average=0.246672, stdev=0.662336, range=[-1.092147,1.243583], active=1
covariate 73:  name=covariate73, type=float, missing=  0 of  10, average=0.063186, stdev=0.860646, range=[-1.405896,1.272064], active=1
covariate 74:  name=covariate74, type=float, missing=  1 of  10, average=0.006714, stdev=0.940954, range=[-1.050098,2.016985], active=1
covariate 75:  name=covariate75, type=float, missing=  2 of  10, average=-0.046611, stdev=0.922963, range=[-1.715357,1.211238], active=1
covariate 76:  name=covariate76, type=float, missing=  0 of  10, average=0.324668, stdev=0.898105, range=[-1.775342,1.501404], active=1
covariate 77:  name=covariate77, type=float, missing=  0 of  10, average=-0.180562, stdev=0.814488, range=[-2.080324,0.950377], active=1
covariate 78:  name=covariate78, type=float, missing=  2 of  10, average=0.360553, stdev=0.618391, range=[-0.711155,1.082136], active=1
covariate 79:  name=covariate79, type=float, missing=  2 of  10, average=0.138252, stdev=0.848738, range=[-1.173530,1.743806], active=1
covariate 80:  name=covariate80, type=float, missing=  0 of  10, average=0.004436, stdev=0.850696, range=[-1.593877,1.176125], active=1
