N=10
P=40
R=2
1 0.735616 -0.062394 1.262686 -0.003006 0.679161 0.408151 -1.805229 -0.618475 0.266540 0.929813 -0.821558 -0.606182 1.370648 -0.293259 -0.262008 -0.832559 -2.624670 -0.281156 0.598517 -0.018079 NA 0.749340 -0.740009 -0.001609 -1.705463 1.198104 -1.507839 0.817158 0.603380 1.011281 0.796037 0.976414 1.990748 1.340345 -0.415636 0.933785 0.899611 -0.912838 0.821920 1.280072 0.350899 1.000000
2 -0.909334 -0.053114 0.613430 -0.037992 1.846617 -0.706606 -0.918561 -1.068943 -0.994887 0.551066 0.051293 1.151230 0.436008 -0.183325 0.301832 NA 0.119048 -1.444514 1.095534 -0.814188 0.219837 0.123818 0.384844 0.932355 1.130154 -0.452255 -0.455584 NA 0.400080 0.579202 1.428151 0.292690 -0.244011 0.187118 -0.811325 0.022001 -2.752678 -0.621372 0.135634 1.468225 5.032672 1.000000
3 0.081128 1.171269 -0.387545 0.974118 1.976745 -0.728802 -0.068050 -0.319087 1.849740 -0.655160 NA 0.428095 0.746070 -0.004941 0.353283 0.756179 -0.196645 -0.860815 1.096013 0.687622 0.349115 0.227463 -0.826425 0.029026 -0.781183 0.237469 -0.763472 1.599637 NA -0.029659 0.861311 -0.699317 0.131760 1.028359 -0.245308 1.170879 -0.235433 0.820002 0.564947 -1.274852 3.979326 0.000000
4 -1.148771 -0.758097 0.793390 2.245390 -1.299833 0.434154 -0.348862 -1.072742 -0.981430 -1.408384 1.415190 -0.696286 -0.233983 -0.866417 -0.307343 -0.196345 -1.962126 -1.637470 0.542600 -0.560327 -1.303086 1.352173 -0.066998 1.054403 NA -1.154390 -1.632607 -0.556205 -1.215435 0.951592 0.071005 -0.412035 1.399523 0.392117 0.699503 -0.848187 0.486963 1.497100 1.411742 -0.055219 0.918500 1.000000
5 0.428234 0.803944 1.215899 0.509683 NA 1.709988 -1.233815 -1.362050 -0.038422 0.075908 -1.387455 0.038541 1.179067 -0.435443 -0.605030 -0.858476 -0.706077 -0.532602 0.211448 0.735776 -1.577641 1.080125 -1.290930 -0.441991 -0.129740 2.862059 -0.484601 -1.836422 1.238143 2.517010 -0.706624 -1.783125 -0.738854 0.936106 -0.125352 0.343393 -0.040006 1.722353 2.263595 -0.346509 6.243230 1.000000
6 0.068109 NA 1.661305 -0.449261 0.532490 -0.570495 0.018866 0.403591 -0.468711 0.276543 -0.003702 -0.450115 0.667199 0.612532 -1.014460 0.766776 NA 0.756503 0.983344 -0.461108 -0.414680 0.829425 0.849846 -0.930786 1.006716 -0.157557 1.295230 1.305298 -0.934538 0.079519 -0.741779 -0.393367 1.124998 -1.217266 -0.149834 -0.796817 0.323868 -0.080376 1.322373 -1.463533 11.054160 0.000000
7 -0.194682 0.549201 0.537669 -0.020979 -0.835499 -0.394555 0.007158 -0.007163 -2.257961 0.234672 NA 1.425408 -0.236847 NA 1.530215 -2.006056 -0.715600 1.244571 -2.560981 -0.191824 -0.594861 0.817669 -0.156552 -0.602591 -2.698070 -1.436551 -0.434610 -1.589536 0.258093 1.444024 2.522316 0.978858 0.544344 -0.219130 -0.968647 -1.437652 -0.799461 0.061288 -0.964971 NA 0.062556 1.000000
8 0.355413 1.282357 -0.257785 -0.694582 0.166247 0.112286 0.780411 0.471238 -0.071740 0.971182 -1.476752 -0.270561 -0.117235 0.596861 1.030801 0.108068 -0.563880 -0.385274 -0.067342 0.220594 -1.483794 -1.105717 NA 1.660803 -0.580280 0.780147 0.137334 -1.404323 -0.099672 1.463332 -0.045753 -0.270877 -0.209940 2.374568 0.173823 -1.023852 -0.039375 -0.373882 -0.989326 -0.074535 5.906480 1.000000
9 -0.986346 0.951927 0.005836 -0.970145 0.063488 -0.175198 2.240668 0.953607 1.169965 -2.317506 -0.903102 0.967459 -1.562866 0.379437 -0.846294 0.227219 1.888867 NA 1.675285 -1.390843 0.988062 -0.656325 2.480611 1.020864 -0.880611 0.729084 -0.091736 NA 0.100864 -2.847407 -0.732270 -1.578777 -1.653294 -1.440825 0.251666 0.532796 1.226711 -0.568572 -0.960229 0.842993 0.413563 1.000000
10 1.080850 0.658868 0.050643 0.835867 0.489453 -0.414817 -1.362764 0.263240 -0.887751 0.201834 0.349726 -0.000748 0.222578 -1.001213 0.780924 -0.377921 NA -1.267873 0.462206 -0.006885 -0.363719 1.389828 1.727559 0.796617 1.835334 1.181722 -2.120250 0.415088 -0.184353 0.111227 0.926405 0.779950 0.856129 0.113402 NA -1.135187 0.245164 -2.114899 -0.847315 2.100403 4.528129 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.000000
   risk 1: beta[2]=0.000000
   risk 1: beta[3]=0.000000
   risk 1: beta[4]=0.000000
   risk 1: beta[5]=0.000000
   risk 1: beta[6]=0.000000
   risk 1: beta[7]=0.000000
   risk 1: beta[8]=0.000000
   risk 1: beta[9]=0.000000
   risk 1: beta[10]=0.000000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
   risk 1: beta[21]=0.000000
   risk 1: beta[22]=0.000000
   risk 1: beta[23]=0.000000
   risk 1: beta[24]=0.000000
   risk 1: beta[25]=0.000000
   risk 1: beta[26]=0.000000
   risk 1: beta[27]=0.000000
   risk 1: beta[28]=0.000000
   risk 1: beta[29]=0.000000
   risk 1: beta[30]=0.000000
   risk 1: beta[31]=0.000000
   risk 1: beta[32]=0.000000
   risk 1: beta[33]=0.000000
   risk 1: beta[34]=0.000000
   risk 1: beta[35]=0.000000
   risk 1: beta[36]=0.000000
   risk 1: beta[37]=0.000000
   risk 1: beta[38]=0.000000
   risk 1: beta[39]=0.000000
   risk 1: beta[40]=0.000000
uniform censoring on time interval [1.000000,12.000000]
