N=10
P=60
R=2
1 1.435524 -0.229622 -0.259839 1.247747 0.513938 0.796979 -1.228883 -0.714969 1.459314 -1.532963 0.090617 -0.848263 -0.781630 0.655295 0.518170 -0.213732 -1.028890 0.494453 -0.525833 1.773581 0.706883 -2.028497 -1.344245 0.355691 2.239302 -1.181029 2.856328 -0.123251 0.730067 0.542815 -0.884189 0.322403 -0.779312 -0.121590 0.630717 -1.282084 0.347781 -0.533235 -1.526364 1.080075 0.114115 -0.760386 NA -1.596854 -1.727089 1.015257 0.550246 -1.498026 -0.005735 -0.041813 -0.439557 -1.254261 -0.204889 2.370865 0.872846 -0.788921 -0.384528 1.032394 0.105208 1.965022 1.038686 1.000000
2 0.653414 0.272364 -0.459163 1.973770 -1.255206 -0.366978 -0.211471 -0.777249 0.308295 0.949732 1.116479 0.669093 0.814182 0.068444 NA -1.265185 NA -0.637945 -0.218685 0.643363 0.722550 0.287256 -1.555456 -2.035103 0.159484 1.212687 1.118301 0.766698 -1.936962 -2.742547 1.001785 2.199937 0.197754 -0.513736 -0.058868 0.649812 -0.585643 NA 1.835094 1.194553 -0.079118 -0.738049 -0.701901 1.630575 0.658527 -0.203803 0.760792 -0.156583 0.542996 -0.357194 -0.333134 -1.618521 -0.886466 -0.713306 0.378739 0.545202 -0.139242 1.283338 -0.121837 -0.171142 3.269113 1.000000
3 0.015050 -0.637033 -0.303236 -0.739044 0.168803 -0.343277 -0.754393 NA -1.554753 0.348884 -1.010878 0.270570 -0.713720 0.834395 0.077122 -0.576919 0.099731 0.273534 0.325379 -0.045156 1.593489 -0.229154 0.769494 0.273751 0.339684 -0.395598 1.329064 -0.458337 -1.094226 0.968028 0.437743 0.176252 -0.509575 -0.535773 -1.515610 2.637028 0.365555 -0.035926 -0.463684 -1.042546 1.869581 0.106801 -0.845902 -1.090642 1.176733 1.673890 -0.109339 0.482059 0.441556 -0.505238 -1.658811 1.392753 1.085174 -0.793082 0.209914 0.421616 -0.025886 -0.080359 NA -1.615703 0.309908 1.000000
4 2.568210 0.631414 1.372835 -0.482325 -0.619527 -1.810365 -0.088080 -0.470638 1.518972 -0.431473 -1.837674 1.187058 -1.183436 0.017590 -0.433812 -0.223569 -0.409485 -0.323627 0.815772 -1.197711 -0.691304 -2.043848 0.313745 0.394977 NA 0.412929 -0.159096 -0.734753 1.523645 -0.607434 0.936327 0.427625 0.609015 0.067258 2.794159 -1.434108 2.065913 -0.292652 -0.353745 0.602217 1.366227 0.460415 -0.110799 0.567574 -0.053236 1.191415 1.079135 0.577322 1.294801 0.284491 -0.432942 -0.340964 0.634418 NA 0.155859 -1.512869 0.435954 -0.747094 0.596333 0.038169 0.450503 1.000000
5 -0.803489 -1.417540 0.926923 0.548982 -0.442022 -0.143672 0.613451 0.028123 -0.031702 -0.736841 -0.377579 -1.692696 -1.658620 0.457199 NA 0.112280 -0.620783 0.982147 -0.865964 0.043042 0.155242 -0.801369 -2.179062 -2.085235 -0.684276 -0.167453 1.495569 NA 0.983010 -0.438421 0.935969 -0.958707 -1.169271 0.382561 -0.405031 0.235860 1.453349 0.315076 2.146453 0.114185 0.406746 -0.899554 -0.011439 -2.224533 -0.412353 0.884450 -0.309161 -0.594482 0.777509 -0.974558 -0.774640 -0.408750 -0.720936 NA -1.197196 0.277047 0.596583 0.149020 0.796835 0.212299 1.688937 0.000000
6 1.496211 -0.123284 -0.148242 -1.264937 -0.016382 1.631761 -0.511528 -1.742892 -0.055981 -0.055559 -0.969301 -0.580816 -0.333383 -0.917353 -0.611565 -2.373196 -0.412734 -1.203903 0.317718 -0.160927 -2.889350 -0.223020 1.435903 0.485842 1.293118 0.641066 -0.105729 -0.834288 0.741098 -0.809679 -1.325995 2.562833 0.277177 0.776358 -1.135945 1.198192 -1.036873 -0.060685 -0.944120 0.862643 -1.111612 0.681204 0.948122 0.966957 0.301741 0.245374 -0.053638 0.642685 -0.587185 0.264465 -1.086745 -0.389504 0.517357 -0.138464 -0.536980 -1.326719 -0.107201 0.558173 0.116816 1.330439 4.266747 1.000000
7 -0.101568 1.022642 0.886355 0.927408 -0.793900 0.033383 -1.747164 1.720879 0.676030 -1.357730 -0.533582 0.771680 -1.534378 -2.185342 0.230570 -1.476382 -0.780511 0.025652 2.243344 -0.673023 -0.061829 NA -0.475319 -2.645953 1.760113 -1.006200 NA 0.564279 -1.211595 -0.706300 0.675899 -1.814556 -1.231030 -0.109450 0.518294 0.114851 1.413771 0.208455 0.415376 2.359823 -0.200216 -1.124133 1.760339 -0.191090 0.481911 -0.437832 -0.385609 -0.557929 -0.019946 -1.556604 0.670276 -0.075488 -0.281379 0.800471 -0.001515 -1.012491 -0.076168 0.061039 0.668692 -0.916954 2.381019 1.000000
8 -1.066643 1.438574 -0.395057 -1.713720 0.327237 -0.873424 2.528167 NA 0.722588 -0.680560 -0.176171 1.238553 2.153803 -0.924531 0.045369 0.382677 -0.599480 NA -0.108300 -1.004261 -0.026793 -0.191144 -0.350209 0.271687 1.075163 -0.550743 -3.082945 -1.179853 -0.949964 -0.248929 -0.227546 0.348600 -0.005245 -0.071777 -1.254984 -1.069591 0.182880 -0.740810 -0.480387 0.467461 0.342608 1.379739 0.180461 0.369296 0.503494 -0.660735 -1.523999 -0.480183 NA -0.985415 -1.638888 1.013059 -0.378338 -0.512846 0.175356 1.535716 -0.368568 0.827140 0.113796 -0.370167 0.897352 1.000000
9 1.497207 0.252265 -1.711284 1.390160 1.325136 -0.563939 -0.235582 -0.069695 0.213617 NA 0.120016 -0.724769 NA 1.228437 -0.569625 -0.366974 0.511825 0.185595 -0.707443 NA -0.777976 0.930431 0.883162 0.205030 -1.276717 -0.751542 0.750701 -0.879240 0.585675 0.512502 0.926749 -1.246686 -0.238132 0.730142 -1.033716 -0.928900 -0.459854 -1.100702 0.253024 -0.321937 NA -0.163336 0.603738 NA -0.735398 1.287327 -0.419705 0.369479 -0.422751 -0.832098 -1.272015 0.509635 NA 0.153363 -0.314664 0.097618 -0.671503 -1.136049 -0.289044 -2.782534 3.750566 1.000000
10 -0.185131 -0.528760 0.245364 -0.080490 -0.580964 -1.237778 0.213926 NA -0.243006 -0.557596 1.814524 -0.667068 -0.398800 NA 1.085667 NA 0.754894 -1.753259 -0.422487 -1.457633 1.405400 0.959298 0.974339 NA 0.234447 1.151440 -0.497427 -0.596551 0.152555 -1.697075 0.420182 0.593434 0.305689 1.004329 0.586894 -1.704708 -1.740756 -0.717385 -0.002307 1.111961 -0.200166 -1.169489 -0.023826 -0.732431 0.573918 0.933370 0.165192 1.273163 0.086447 0.254006 0.083401 0.753118 -1.091528 -0.168439 -0.081950 0.753214 -1.687843 NA -0.422495 -0.243064 9.883930 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.000000
   risk 1: beta[2]=0.000000
   risk 1: beta[3]=0.000000
   risk 1: beta[4]=0.000000
   risk 1: beta[5]=0.000000
   risk 1: beta[6]=0.000000
   risk 1: beta[7]=0.000000
   risk 1: beta[8]=0.000000
   risk 1: beta[9]=0.000000
   risk 1: beta[10]=0.000000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
   risk 1: beta[21]=0.000000
   risk 1: beta[22]=0.000000
   risk 1: beta[23]=0.000000
   risk 1: beta[24]=0.000000
   risk 1: beta[25]=0.000000
   risk 1: beta[26]=0.000000
   risk 1: beta[27]=0.000000
   risk 1: beta[28]=0.000000
   risk 1: beta[29]=0.000000
   risk 1: beta[30]=0.000000
   risk 1: beta[31]=0.000000
   risk 1: beta[32]=0.000000
   risk 1: beta[33]=0.000000
   risk 1: beta[34]=0.000000
   risk 1: beta[35]=0.000000
   risk 1: beta[36]=0.000000
   risk 1: beta[37]=0.000000
   risk 1: beta[38]=0.000000
   risk 1: beta[39]=0.000000
   risk 1: beta[40]=0.000000
   risk 1: beta[41]=0.000000
   risk 1: beta[42]=0.000000
   risk 1: beta[43]=0.000000
   risk 1: beta[44]=0.000000
   risk 1: beta[45]=0.000000
   risk 1: beta[46]=0.000000
   risk 1: beta[47]=0.000000
   risk 1: beta[48]=0.000000
   risk 1: beta[49]=0.000000
   risk 1: beta[50]=0.000000
   risk 1: beta[51]=0.000000
   risk 1: beta[52]=0.000000
   risk 1: beta[53]=0.000000
   risk 1: beta[54]=0.000000
   risk 1: beta[55]=0.000000
   risk 1: beta[56]=0.000000
   risk 1: beta[57]=0.000000
   risk 1: beta[58]=0.000000
   risk 1: beta[59]=0.000000
   risk 1: beta[60]=0.000000
uniform censoring on time interval [1.000000,12.000000]
