covariate 1:   type=float, missing=  1 of  50, average=-0.083263, stdev=0.903383, range=[-2.834941,1.569441], active=1
covariate 2:   type=float, missing=  3 of  50, average=-0.036848, stdev=0.839191, range=[-1.762152,2.117138], active=1
covariate 3:   type=float, missing=  3 of  50, average=-0.058850, stdev=1.203423, range=[-2.417938,2.488396], active=1
covariate 4:   type=float, missing=  1 of  50, average=-0.029461, stdev=1.098616, range=[-2.794062,2.519081], active=1
covariate 5:   type=float, missing=  5 of  50, average=0.061139, stdev=0.963841, range=[-2.196927,2.511425], active=1
covariate 6:   type=float, missing=  2 of  50, average=0.064037, stdev=0.862247, range=[-1.425581,2.765953], active=1
covariate 7:   type=float, missing=  2 of  50, average=-0.103763, stdev=0.930184, range=[-2.039847,2.008741], active=1
covariate 8:   type=float, missing=  7 of  50, average=0.107387, stdev=1.089616, range=[-2.358491,3.306367], active=1
covariate 9:   type=float, missing=  3 of  50, average=-0.116919, stdev=1.053729, range=[-2.439027,2.416466], active=1
covariate 10:  type=float, missing=  1 of  50, average=-0.161323, stdev=1.044950, range=[-2.250322,2.891145], active=1
covariate 11:  type=float, missing=  6 of  50, average=0.133442, stdev=0.777348, range=[-1.768478,1.617648], active=1
covariate 12:  type=float, missing=  2 of  50, average=0.153370, stdev=0.857461, range=[-1.495758,2.201931], active=1
covariate 13:  type=float, missing=  2 of  50, average=-0.057131, stdev=1.072005, range=[-2.611556,2.533254], active=1
covariate 14:  type=float, missing=  1 of  50, average=-0.046780, stdev=1.060441, range=[-2.399278,1.949971], active=1
covariate 15:  type=float, missing=  2 of  50, average=-0.126141, stdev=0.972239, range=[-2.406045,1.538881], active=1
covariate 16:  type=float, missing=  0 of  50, average=-0.115566, stdev=0.981065, range=[-1.709644,2.006546], active=1
covariate 17:  type=float, missing=  2 of  50, average=-0.036111, stdev=0.948752, range=[-2.558465,1.975044], active=1
covariate 18:  type=float, missing=  3 of  50, average=0.122586, stdev=0.896554, range=[-1.846800,2.081463], active=1
covariate 19:  type=float, missing=  1 of  50, average=-0.055476, stdev=0.797054, range=[-1.448300,1.734908], active=1
covariate 20:  type=float, missing=  2 of  50, average=-0.066241, stdev=0.896653, range=[-1.920561,2.048623], active=1
covariate 21:  type=float, missing=  3 of  50, average=-0.098047, stdev=1.158157, range=[-2.432316,1.922035], active=1
covariate 22:  type=float, missing=  1 of  50, average=0.054623, stdev=1.145926, range=[-2.174928,2.279580], active=1
covariate 23:  type=float, missing=  1 of  50, average=-0.051676, stdev=1.034753, range=[-2.638722,2.125906], active=1
covariate 24:  type=float, missing=  3 of  50, average=0.074313, stdev=1.289797, range=[-2.481821,3.053856], active=1
covariate 25:  type=float, missing=  4 of  50, average=0.200526, stdev=1.014219, range=[-1.989694,1.795590], active=1
covariate 26:  type=float, missing=  2 of  50, average=0.037647, stdev=1.189665, range=[-1.913192,2.506472], active=1
covariate 27:  type=float, missing=  2 of  50, average=-0.105266, stdev=0.904535, range=[-2.177178,2.403663], active=1
covariate 28:  type=float, missing=  2 of  50, average=-0.110589, stdev=0.943980, range=[-1.889014,2.349634], active=1
covariate 29:  type=float, missing=  1 of  50, average=0.247975, stdev=1.111463, range=[-1.840404,2.219930], active=1
covariate 30:  type=float, missing=  1 of  50, average=0.009010, stdev=1.044286, range=[-1.770139,2.143653], active=1
covariate 31:  type=float, missing=  3 of  50, average=-0.008151, stdev=0.962855, range=[-3.217727,1.779044], active=1
covariate 32:  type=float, missing=  4 of  50, average=-0.348335, stdev=1.139575, range=[-3.186393,1.422411], active=1
covariate 33:  type=float, missing=  2 of  50, average=-0.159982, stdev=0.900300, range=[-2.866049,1.139722], active=1
covariate 34:  type=float, missing=  3 of  50, average=-0.001443, stdev=1.074411, range=[-2.744214,2.208044], active=1
covariate 35:  type=float, missing=  3 of  50, average=-0.137457, stdev=0.877725, range=[-1.924689,1.781738], active=1
covariate 36:  type=float, missing=  4 of  50, average=0.190851, stdev=1.161319, range=[-1.760994,4.015783], active=1
covariate 37:  type=float, missing=  2 of  50, average=0.114039, stdev=0.857617, range=[-1.955968,1.852907], active=1
covariate 38:  type=float, missing=  4 of  50, average=0.128890, stdev=1.031357, range=[-2.362555,3.071787], active=1
covariate 39:  type=float, missing=  1 of  50, average=-0.000640, stdev=1.048674, range=[-2.209678,2.299124], active=1
covariate 40:  type=float, missing=  2 of  50, average=-0.227590, stdev=0.991574, range=[-1.968243,2.693317], active=1
covariate 41:  type=float, missing=  1 of  50, average=-0.234385, stdev=1.167201, range=[-2.334641,2.672755], active=1
covariate 42:  type=float, missing=  0 of  50, average=0.090289, stdev=0.944083, range=[-1.736294,2.826304], active=1
covariate 43:  type=float, missing=  1 of  50, average=-0.096804, stdev=1.066799, range=[-2.454501,2.924562], active=1
covariate 44:  type=float, missing=  1 of  50, average=0.170267, stdev=0.916051, range=[-1.620181,1.849653], active=1
covariate 45:  type=float, missing=  3 of  50, average=-0.091633, stdev=0.786151, range=[-1.691901,1.873938], active=1
covariate 46:  type=float, missing=  3 of  50, average=0.016049, stdev=0.989583, range=[-2.229148,2.180082], active=1
covariate 47:  type=float, missing=  2 of  50, average=-0.071561, stdev=1.196161, range=[-3.319692,2.376155], active=1
covariate 48:  type=float, missing=  1 of  50, average=0.001872, stdev=0.906059, range=[-2.090407,1.585212], active=1
covariate 49:  type=float, missing=  3 of  50, average=-0.208577, stdev=0.902489, range=[-2.034335,1.562546], active=1
covariate 50:  type=float, missing=  2 of  50, average=0.074702, stdev=0.863524, range=[-2.442483,1.967602], active=1
covariate 51:  type=float, missing=  4 of  50, average=-0.016416, stdev=0.960120, range=[-2.594082,2.502578], active=1
covariate 52:  type=float, missing=  2 of  50, average=0.016601, stdev=0.988738, range=[-2.288097,2.114629], active=1
covariate 53:  type=float, missing=  2 of  50, average=0.153439, stdev=0.984067, range=[-2.101785,2.858473], active=1
covariate 54:  type=float, missing=  2 of  50, average=-0.090765, stdev=0.961783, range=[-2.559112,1.899906], active=1
covariate 55:  type=float, missing=  3 of  50, average=0.047261, stdev=1.116409, range=[-3.069496,2.426093], active=1
covariate 56:  type=float, missing=  4 of  50, average=-0.190438, stdev=1.025729, range=[-3.044250,1.782075], active=1
covariate 57:  type=float, missing=  7 of  50, average=-0.037640, stdev=0.918310, range=[-1.936534,1.785911], active=1
covariate 58:  type=float, missing=  3 of  50, average=-0.096962, stdev=0.904258, range=[-2.809520,2.090426], active=1
covariate 59:  type=float, missing=  4 of  50, average=0.024787, stdev=1.014853, range=[-2.697383,1.985940], active=1
covariate 60:  type=float, missing=  0 of  50, average=-0.122441, stdev=1.066031, range=[-2.461313,2.068335], active=1
covariate 61:  type=float, missing=  1 of  50, average=-0.008574, stdev=1.261127, range=[-2.669738,2.547145], active=1
covariate 62:  type=float, missing=  2 of  50, average=-0.079747, stdev=0.943388, range=[-2.569952,1.965569], active=1
covariate 63:  type=float, missing=  3 of  50, average=0.114178, stdev=0.984122, range=[-2.240912,1.784268], active=1
covariate 64:  type=float, missing=  2 of  50, average=0.067478, stdev=1.172919, range=[-3.755815,3.185659], active=1
covariate 65:  type=float, missing=  3 of  50, average=-0.090559, stdev=0.974405, range=[-1.871078,1.943766], active=1
covariate 66:  type=float, missing=  2 of  50, average=0.226592, stdev=0.908815, range=[-2.150682,2.004794], active=1
covariate 67:  type=float, missing=  5 of  50, average=-0.128711, stdev=0.931919, range=[-1.822296,2.208994], active=1
covariate 68:  type=float, missing=  3 of  50, average=0.062982, stdev=0.949427, range=[-1.807850,1.804998], active=1
covariate 69:  type=float, missing=  5 of  50, average=-0.037778, stdev=0.918541, range=[-1.701038,2.190550], active=1
covariate 70:  type=float, missing=  3 of  50, average=-0.138590, stdev=0.942705, range=[-2.159795,1.574524], active=1
covariate 71:  type=float, missing=  4 of  50, average=-0.257352, stdev=0.831996, range=[-1.895697,1.486426], active=1
covariate 72:  type=float, missing=  2 of  50, average=0.064726, stdev=0.828292, range=[-1.808383,1.552074], active=1
covariate 73:  type=float, missing=  3 of  50, average=0.007534, stdev=1.071744, range=[-2.591086,3.430662], active=1
covariate 74:  type=float, missing=  4 of  50, average=0.058421, stdev=0.892812, range=[-1.541646,2.120125], active=1
covariate 75:  type=float, missing=  3 of  50, average=0.024416, stdev=1.018074, range=[-2.343107,2.605403], active=1
covariate 76:  type=float, missing=  1 of  50, average=-0.256916, stdev=1.056830, range=[-2.644917,2.335746], active=1
covariate 77:  type=float, missing=  3 of  50, average=-0.255939, stdev=0.953007, range=[-2.025069,1.729995], active=1
covariate 78:  type=float, missing=  2 of  50, average=0.002205, stdev=0.967513, range=[-1.731025,1.887849], active=1
covariate 79:  type=float, missing=  1 of  50, average=-0.032900, stdev=0.905735, range=[-1.703975,1.650427], active=1
covariate 80:  type=float, missing=  2 of  50, average=0.099763, stdev=0.865098, range=[-1.823967,1.724951], active=1
