covariate 1:   type=float, missing=  6 of 100, average=0.046005, stdev=0.980995, range=[-2.064067,3.220006], active=1
covariate 2:   type=float, missing=  6 of 100, average=0.000920, stdev=1.039556, range=[-3.159467,2.207619], active=1
covariate 3:   type=float, missing=  7 of 100, average=-0.005499, stdev=0.962286, range=[-2.166701,2.578835], active=1
covariate 4:   type=float, missing=  3 of 100, average=0.056660, stdev=0.987619, range=[-1.837443,2.662961], active=1
covariate 5:   type=float, missing=  7 of 100, average=-0.017758, stdev=1.005588, range=[-2.025495,2.728319], active=1
covariate 6:   type=float, missing=  5 of 100, average=-0.126035, stdev=0.979712, range=[-2.538404,2.315537], active=1
covariate 7:   type=float, missing=  7 of 100, average=0.095420, stdev=0.899472, range=[-1.695106,2.562184], active=1
covariate 8:   type=float, missing=  6 of 100, average=0.008717, stdev=1.024713, range=[-1.905698,2.771827], active=1
covariate 9:   type=float, missing=  9 of 100, average=0.035554, stdev=1.105183, range=[-3.413108,2.888597], active=1
covariate 10:  type=float, missing=  5 of 100, average=-0.077052, stdev=0.984783, range=[-2.918542,2.220072], active=1
covariate 11:  type=float, missing=  3 of 100, average=0.159494, stdev=0.977005, range=[-2.354744,2.504302], active=1
covariate 12:  type=float, missing=  5 of 100, average=0.068709, stdev=1.137951, range=[-2.486811,2.615932], active=1
covariate 13:  type=float, missing=  3 of 100, average=0.029119, stdev=0.999184, range=[-1.858168,2.514097], active=1
covariate 14:  type=float, missing=  5 of 100, average=0.028325, stdev=1.067709, range=[-2.337550,3.273286], active=1
covariate 15:  type=float, missing=  5 of 100, average=0.012723, stdev=0.975163, range=[-2.974137,2.880901], active=1
covariate 16:  type=float, missing=  2 of 100, average=-0.102270, stdev=0.891612, range=[-1.858486,2.058948], active=1
covariate 17:  type=float, missing=  2 of 100, average=0.029442, stdev=0.970777, range=[-2.292514,2.531740], active=1
covariate 18:  type=float, missing=  6 of 100, average=-0.073628, stdev=1.059050, range=[-2.910970,2.072397], active=1
covariate 19:  type=float, missing=  8 of 100, average=0.020571, stdev=0.900692, range=[-2.306383,2.159417], active=1
covariate 20:  type=float, missing=  6 of 100, average=0.042885, stdev=1.044213, range=[-2.650946,2.571369], active=1
covariate 21:  type=float, missing=  5 of 100, average=0.065135, stdev=0.964126, range=[-1.838284,3.050882], active=1
covariate 22:  type=float, missing=  6 of 100, average=-0.064940, stdev=0.927146, range=[-2.520873,2.078016], active=1
covariate 23:  type=float, missing=  3 of 100, average=-0.019484, stdev=0.956666, range=[-2.104359,2.696768], active=1
covariate 24:  type=float, missing=  1 of 100, average=-0.034412, stdev=0.969310, range=[-2.457985,3.444177], active=1
covariate 25:  type=float, missing=  5 of 100, average=-0.058769, stdev=1.028480, range=[-2.512264,1.881961], active=1
covariate 26:  type=float, missing=  4 of 100, average=0.020024, stdev=0.930819, range=[-1.825274,2.265415], active=1
covariate 27:  type=float, missing=  3 of 100, average=0.155175, stdev=0.994746, range=[-2.269754,2.365126], active=1
covariate 28:  type=float, missing=  5 of 100, average=-0.020097, stdev=1.095209, range=[-2.349491,2.631942], active=1
covariate 29:  type=float, missing=  9 of 100, average=-0.098422, stdev=1.000810, range=[-2.550892,1.773204], active=1
covariate 30:  type=float, missing=  5 of 100, average=0.123595, stdev=0.979167, range=[-2.471835,2.587909], active=1
covariate 31:  type=float, missing=  4 of 100, average=0.082293, stdev=1.077821, range=[-2.856061,2.614877], active=1
covariate 32:  type=float, missing=  4 of 100, average=0.157071, stdev=0.947362, range=[-2.623111,1.837414], active=1
covariate 33:  type=float, missing=  5 of 100, average=-0.238717, stdev=1.042508, range=[-2.675118,2.068607], active=1
covariate 34:  type=float, missing=  4 of 100, average=-0.112690, stdev=1.070683, range=[-3.355601,1.955107], active=1
covariate 35:  type=float, missing=  8 of 100, average=-0.000966, stdev=0.905260, range=[-2.421954,1.813581], active=1
covariate 36:  type=float, missing=  6 of 100, average=-0.272936, stdev=0.929295, range=[-2.315537,1.956250], active=1
covariate 37:  type=float, missing=  4 of 100, average=0.165890, stdev=1.037231, range=[-2.605744,3.482254], active=1
covariate 38:  type=float, missing=  3 of 100, average=0.174329, stdev=0.959746, range=[-2.111060,2.007339], active=1
covariate 39:  type=float, missing=  6 of 100, average=0.147209, stdev=1.034001, range=[-2.988792,2.475220], active=1
covariate 40:  type=float, missing=  9 of 100, average=-0.063651, stdev=0.956788, range=[-2.133406,3.031898], active=1
covariate 41:  type=float, missing=  6 of 100, average=0.125936, stdev=0.970161, range=[-1.839763,2.773119], active=1
covariate 42:  type=float, missing=  6 of 100, average=0.085611, stdev=0.885982, range=[-1.984669,2.822317], active=1
covariate 43:  type=float, missing=  3 of 100, average=-0.015986, stdev=0.932302, range=[-2.733471,1.553839], active=1
covariate 44:  type=float, missing=  2 of 100, average=0.117064, stdev=1.111507, range=[-2.930277,3.083180], active=1
covariate 45:  type=float, missing=  8 of 100, average=-0.003295, stdev=1.135763, range=[-3.352648,2.683660], active=1
covariate 46:  type=float, missing=  4 of 100, average=0.066508, stdev=1.064934, range=[-2.966822,2.708785], active=1
covariate 47:  type=float, missing=  6 of 100, average=0.014192, stdev=1.063288, range=[-1.854468,3.290689], active=1
covariate 48:  type=float, missing=  9 of 100, average=0.014129, stdev=0.917555, range=[-2.154355,2.347918], active=1
covariate 49:  type=float, missing=  9 of 100, average=-0.028037, stdev=0.960744, range=[-2.542835,2.586757], active=1
covariate 50:  type=float, missing=  4 of 100, average=0.032083, stdev=1.093310, range=[-2.167612,2.731510], active=1
covariate 51:  type=float, missing=  2 of 100, average=0.064414, stdev=0.886037, range=[-2.051579,2.790385], active=1
covariate 52:  type=float, missing=  4 of 100, average=-0.073963, stdev=0.961176, range=[-1.993628,1.883371], active=1
covariate 53:  type=float, missing=  5 of 100, average=-0.078569, stdev=0.971413, range=[-2.549261,1.776692], active=1
covariate 54:  type=float, missing=  5 of 100, average=-0.112879, stdev=1.227474, range=[-2.567274,3.469487], active=1
covariate 55:  type=float, missing=  4 of 100, average=-0.067629, stdev=1.003745, range=[-2.150612,3.051237], active=1
covariate 56:  type=float, missing=  6 of 100, average=0.238625, stdev=1.015638, range=[-2.374782,2.617358], active=1
covariate 57:  type=float, missing=  2 of 100, average=0.136119, stdev=1.036827, range=[-2.471469,2.613617], active=1
covariate 58:  type=float, missing=  3 of 100, average=0.166668, stdev=0.947390, range=[-1.462652,2.730971], active=1
covariate 59:  type=float, missing=  7 of 100, average=0.024365, stdev=1.118487, range=[-2.255595,2.732411], active=1
covariate 60:  type=float, missing=  5 of 100, average=-0.018152, stdev=0.961775, range=[-2.443542,2.430158], active=1
covariate 61:  type=float, missing=  3 of 100, average=-0.099592, stdev=0.878660, range=[-2.376809,2.087044], active=1
covariate 62:  type=float, missing=  3 of 100, average=-0.187723, stdev=1.042535, range=[-3.514316,2.219786], active=1
covariate 63:  type=float, missing=  8 of 100, average=-0.092776, stdev=0.866729, range=[-1.823622,1.802157], active=1
covariate 64:  type=float, missing=  8 of 100, average=-0.003166, stdev=0.950260, range=[-2.157704,2.753592], active=1
covariate 65:  type=float, missing=  4 of 100, average=0.027003, stdev=1.003791, range=[-1.898580,2.841028], active=1
covariate 66:  type=float, missing=  6 of 100, average=0.160834, stdev=1.000169, range=[-2.324860,2.493472], active=1
covariate 67:  type=float, missing=  7 of 100, average=0.013065, stdev=1.050838, range=[-2.188585,2.607491], active=1
covariate 68:  type=float, missing=  1 of 100, average=0.035595, stdev=0.926865, range=[-2.191916,2.295055], active=1
covariate 69:  type=float, missing=  4 of 100, average=0.020033, stdev=1.000276, range=[-3.006041,2.014763], active=1
covariate 70:  type=float, missing=  4 of 100, average=-0.017315, stdev=0.941780, range=[-2.284974,2.625049], active=1
covariate 71:  type=float, missing=  1 of 100, average=0.074746, stdev=0.918889, range=[-2.369283,2.117210], active=1
covariate 72:  type=float, missing=  7 of 100, average=0.019475, stdev=0.950512, range=[-1.838334,2.276341], active=1
covariate 73:  type=float, missing=  3 of 100, average=0.067791, stdev=1.141411, range=[-2.497437,2.579593], active=1
covariate 74:  type=float, missing=  3 of 100, average=0.121894, stdev=0.946966, range=[-1.935421,2.661805], active=1
