active=40: F_T=0.893864, F_V=0.540909
active=39: F_T=0.892955, F_V=0.543750
active=38: F_T=0.888068, F_V=0.551250
active=37: F_T=0.883636, F_V=0.555909
active=36: F_T=0.881477, F_V=0.556818
active=35: F_T=0.876705, F_V=0.565795
active=34: F_T=0.880114, F_V=0.566818
active=33: F_T=0.866364, F_V=0.577727
active=32: F_T=0.867727, F_V=0.579773
active=31: F_T=0.860227, F_V=0.579545
active=30: F_T=0.859205, F_V=0.585682
active=29: F_T=0.855909, F_V=0.596250
active=28: F_T=0.851932, F_V=0.596818
active=27: F_T=0.843409, F_V=0.606477
active=26: F_T=0.837386, F_V=0.604091
active=25: F_T=0.835114, F_V=0.604773
active=24: F_T=0.834659, F_V=0.614432
active=23: F_T=0.822159, F_V=0.611364
active=22: F_T=0.820341, F_V=0.619659
active=21: F_T=0.814091, F_V=0.628182
active=20: F_T=0.804091, F_V=0.626705
active=19: F_T=0.810682, F_V=0.618636
active=18: F_T=0.805227, F_V=0.631023
active=17: F_T=0.790000, F_V=0.634773
active=16: F_T=0.780455, F_V=0.626364
active=15: F_T=0.757727, F_V=0.631250
active=14: F_T=0.752955, F_V=0.616136
active=13: F_T=0.746477, F_V=0.617614
active=12: F_T=0.733295, F_V=0.634432
active=11: F_T=0.734432, F_V=0.629545
active=10: F_T=0.714091, F_V=0.634318
active=9: F_T=0.720795, F_V=0.646364
active=8: F_T=0.725227, F_V=0.652841
active=7: F_T=0.699886, F_V=0.622273
active=6: F_T=0.691364, F_V=0.640114
active=5: F_T=0.716705, F_V=0.660795
active=4: F_T=0.698409, F_V=0.639886
active=3: F_T=0.677727, F_V=0.634545
active=2: F_T=0.645000, F_V=0.617500
active=1: F_T=0.625114, F_V=0.629659
active=0: F_T=0.500000, F_V=0.500000
