covariate 1:   type=float, missing=  7 of 100, average=-0.005508, stdev=1.019346, range=[-2.146636,3.123276], active=1
covariate 2:   type=float, missing=  1 of 100, average=-0.011821, stdev=1.073671, range=[-2.396184,2.717266], active=1
covariate 3:   type=float, missing=  7 of 100, average=0.083879, stdev=1.116856, range=[-3.580883,2.843533], active=1
covariate 4:   type=float, missing=  1 of 100, average=0.014305, stdev=1.082432, range=[-2.162055,3.030029], active=1
covariate 5:   type=float, missing=  3 of 100, average=0.015484, stdev=1.093893, range=[-2.319724,2.345488], active=1
covariate 6:   type=float, missing= 11 of 100, average=-0.067566, stdev=0.950058, range=[-2.133982,2.168694], active=1
covariate 7:   type=float, missing=  6 of 100, average=0.111784, stdev=0.794605, range=[-1.850122,1.934670], active=1
covariate 8:   type=float, missing=  9 of 100, average=-0.192652, stdev=1.057892, range=[-2.836830,2.409627], active=1
covariate 9:   type=float, missing=  7 of 100, average=-0.108845, stdev=0.904931, range=[-2.365289,2.270476], active=1
covariate 10:  type=float, missing=  2 of 100, average=0.046331, stdev=0.994505, range=[-2.899087,2.457778], active=1
covariate 11:  type=float, missing=  8 of 100, average=0.005552, stdev=1.032277, range=[-2.111115,3.713478], active=1
covariate 12:  type=float, missing=  5 of 100, average=0.105554, stdev=1.035710, range=[-2.202065,3.203959], active=1
covariate 13:  type=float, missing=  8 of 100, average=0.187333, stdev=0.914179, range=[-2.746427,2.124172], active=1
covariate 14:  type=float, missing= 10 of 100, average=0.000640, stdev=1.042163, range=[-2.183478,2.475221], active=1
covariate 15:  type=float, missing=  5 of 100, average=-0.084745, stdev=0.922393, range=[-3.169832,2.146726], active=1
covariate 16:  type=float, missing=  4 of 100, average=0.048674, stdev=0.913987, range=[-1.777107,2.373385], active=1
covariate 17:  type=float, missing=  9 of 100, average=-0.049463, stdev=0.930733, range=[-2.809450,2.535662], active=1
covariate 18:  type=float, missing=  7 of 100, average=-0.018591, stdev=0.958083, range=[-2.047094,2.613701], active=1
covariate 19:  type=float, missing=  5 of 100, average=0.039515, stdev=0.992196, range=[-3.876520,2.074824], active=1
covariate 20:  type=float, missing=  3 of 100, average=-0.194814, stdev=0.966029, range=[-2.314429,2.822355], active=1
covariate 21:  type=float, missing=  8 of 100, average=-0.126138, stdev=1.078777, range=[-3.235645,3.319886], active=1
covariate 22:  type=float, missing=  4 of 100, average=-0.024683, stdev=0.884608, range=[-2.398288,1.764550], active=1
covariate 23:  type=float, missing=  7 of 100, average=0.051542, stdev=0.941814, range=[-2.562428,2.487458], active=1
covariate 24:  type=float, missing=  8 of 100, average=0.135669, stdev=1.022943, range=[-3.475951,2.959209], active=1
covariate 25:  type=float, missing=  5 of 100, average=0.023372, stdev=1.062858, range=[-3.143682,2.448856], active=1
