active=30: F_T=0.900851, F_V=0.673804
active=29: F_T=0.895957, F_V=0.682174
active=28: F_T=0.897660, F_V=0.686957
active=27: F_T=0.889681, F_V=0.685435
active=26: F_T=0.884681, F_V=0.698804
active=25: F_T=0.886277, F_V=0.707500
active=24: F_T=0.887979, F_V=0.702500
active=23: F_T=0.877766, F_V=0.722609
active=22: F_T=0.882766, F_V=0.718370
active=21: F_T=0.877553, F_V=0.725109
active=20: F_T=0.878404, F_V=0.738043
active=19: F_T=0.875426, F_V=0.745000
active=18: F_T=0.876702, F_V=0.751848
active=17: F_T=0.870745, F_V=0.755217
active=16: F_T=0.860638, F_V=0.755870
active=15: F_T=0.859362, F_V=0.752717
active=14: F_T=0.856809, F_V=0.760326
active=13: F_T=0.856277, F_V=0.772500
active=12: F_T=0.852234, F_V=0.773261
active=11: F_T=0.845106, F_V=0.777500
active=10: F_T=0.829468, F_V=0.768478
active=9: F_T=0.814787, F_V=0.752717
active=8: F_T=0.815213, F_V=0.757717
active=7: F_T=0.810213, F_V=0.755326
active=6: F_T=0.807660, F_V=0.763478
active=5: F_T=0.781170, F_V=0.730435
active=4: F_T=0.751383, F_V=0.715761
active=3: F_T=0.731064, F_V=0.698478
active=2: F_T=0.694043, F_V=0.672935
active=1: F_T=0.599574, F_V=0.588261
active=0: F_T=0.510638, F_V=0.489891
