covariate 1:   name=covariate1, type=float, missing=  5 of 100, average=-0.109198, stdev=0.994302, range=[-2.471977,2.727259], active=1
covariate 2:   name=covariate2, type=float, missing=  7 of 100, average=-0.010771, stdev=0.952403, range=[-2.916426,1.978819], active=1
covariate 3:   name=covariate3, type=float, missing=  2 of 100, average=0.023720, stdev=0.959969, range=[-2.347820,2.128041], active=1
covariate 4:   name=covariate4, type=float, missing=  4 of 100, average=-0.075211, stdev=0.979236, range=[-2.598908,2.629926], active=1
covariate 5:   name=covariate5, type=float, missing=  6 of 100, average=-0.078086, stdev=0.989671, range=[-2.140464,2.225021], active=1
covariate 6:   name=covariate6, type=float, missing=  4 of 100, average=0.001505, stdev=1.060329, range=[-3.344378,2.384732], active=1
covariate 7:   name=covariate7, type=float, missing=  4 of 100, average=-0.126915, stdev=0.946858, range=[-2.564042,2.457114], active=1
covariate 8:   name=covariate8, type=float, missing=  5 of 100, average=0.016337, stdev=1.073171, range=[-2.427750,2.769950], active=1
covariate 9:   name=covariate9, type=float, missing=  6 of 100, average=-0.007623, stdev=1.055878, range=[-2.284837,2.660682], active=1
covariate 10:  name=covariate10, type=float, missing=  5 of 100, average=0.014396, stdev=0.881006, range=[-1.642936,2.045669], active=1
covariate 11:  name=covariate11, type=float, missing=  4 of 100, average=0.040881, stdev=1.018280, range=[-2.270198,2.421978], active=1
covariate 12:  name=covariate12, type=float, missing=  6 of 100, average=-0.116857, stdev=0.910929, range=[-2.789807,1.672761], active=1
covariate 13:  name=covariate13, type=float, missing=  4 of 100, average=0.065700, stdev=1.027459, range=[-3.259051,2.616473], active=1
covariate 14:  name=covariate14, type=float, missing=  2 of 100, average=-0.000023, stdev=1.009690, range=[-3.242415,2.701744], active=1
covariate 15:  name=covariate15, type=float, missing=  3 of 100, average=0.081945, stdev=0.934728, range=[-2.267918,2.204144], active=1
covariate 16:  name=covariate16, type=float, missing=  6 of 100, average=0.162401, stdev=0.943445, range=[-2.721962,3.263886], active=1
covariate 17:  name=covariate17, type=float, missing=  6 of 100, average=-0.136676, stdev=1.052783, range=[-2.497276,2.719789], active=1
covariate 18:  name=covariate18, type=float, missing=  6 of 100, average=-0.078939, stdev=1.077415, range=[-2.595171,2.441934], active=1
covariate 19:  name=covariate19, type=float, missing=  5 of 100, average=0.166593, stdev=0.864811, range=[-1.617417,2.860089], active=1
covariate 20:  name=covariate20, type=float, missing=  7 of 100, average=-0.199056, stdev=0.986070, range=[-2.940651,1.892668], active=1
covariate 21:  name=covariate21, type=float, missing=  9 of 100, average=-0.018598, stdev=1.047648, range=[-3.009924,2.849567], active=1
covariate 22:  name=covariate22, type=float, missing=  7 of 100, average=0.032550, stdev=1.005211, range=[-3.009719,2.790820], active=1
covariate 23:  name=covariate23, type=float, missing=  3 of 100, average=-0.003031, stdev=1.026211, range=[-3.184980,2.651150], active=1
covariate 24:  name=covariate24, type=float, missing=  4 of 100, average=-0.014462, stdev=1.003867, range=[-2.786114,2.790573], active=1
covariate 25:  name=covariate25, type=float, missing=  6 of 100, average=0.035103, stdev=0.977118, range=[-2.664428,2.555751], active=1
covariate 26:  name=covariate26, type=float, missing=  6 of 100, average=0.042447, stdev=1.010961, range=[-2.941141,2.267381], active=1
covariate 27:  name=covariate27, type=float, missing=  5 of 100, average=0.018184, stdev=0.976157, range=[-2.257751,2.475587], active=1
covariate 28:  name=covariate28, type=float, missing=  5 of 100, average=-0.036221, stdev=1.011595, range=[-2.899945,2.232288], active=1
covariate 29:  name=covariate29, type=float, missing=  4 of 100, average=-0.075191, stdev=1.035730, range=[-2.802972,2.438929], active=1
covariate 30:  name=covariate30, type=float, missing=  4 of 100, average=-0.112980, stdev=0.898841, range=[-2.364578,2.126576], active=1
covariate 31:  name=covariate31, type=float, missing=  4 of 100, average=0.001639, stdev=1.049817, range=[-2.413404,2.557158], active=1
covariate 32:  name=covariate32, type=float, missing=  5 of 100, average=-0.141498, stdev=0.980240, range=[-2.504171,2.183805], active=1
covariate 33:  name=covariate33, type=float, missing=  6 of 100, average=-0.294632, stdev=1.021503, range=[-2.906010,1.865156], active=1
covariate 34:  name=covariate34, type=float, missing=  3 of 100, average=-0.082938, stdev=0.882800, range=[-1.990418,2.501696], active=1
covariate 35:  name=covariate35, type=float, missing=  8 of 100, average=-0.021875, stdev=0.992064, range=[-2.121986,2.288475], active=1
covariate 36:  name=covariate36, type=float, missing=  6 of 100, average=0.040010, stdev=0.919682, range=[-2.011880,3.361439], active=1
covariate 37:  name=covariate37, type=float, missing=  8 of 100, average=-0.132079, stdev=0.927824, range=[-2.694493,2.466914], active=1
covariate 38:  name=covariate38, type=float, missing=  5 of 100, average=0.157490, stdev=1.095631, range=[-3.437212,2.171811], active=1
covariate 39:  name=covariate39, type=float, missing=  5 of 100, average=0.156877, stdev=1.119509, range=[-2.568166,2.939468], active=1
covariate 40:  name=covariate40, type=float, missing=  8 of 100, average=-0.030504, stdev=1.003005, range=[-2.244349,2.971870], active=1
