covariate 1:   name=covariate1, type=float, missing=  6 of 100, average=0.121571, stdev=1.027003, range=[-1.919410,2.940229], active=1
covariate 2:   name=covariate2, type=float, missing=  4 of 100, average=-0.119040, stdev=1.075109, range=[-2.187740,2.815599], active=1
covariate 3:   name=covariate3, type=float, missing=  8 of 100, average=0.163302, stdev=1.012504, range=[-2.049543,3.045380], active=1
covariate 4:   name=covariate4, type=float, missing=  3 of 100, average=-0.122771, stdev=0.940126, range=[-2.419768,2.752028], active=1
covariate 5:   name=covariate5, type=float, missing=  7 of 100, average=0.023319, stdev=1.045348, range=[-2.546540,3.057711], active=1
covariate 6:   name=covariate6, type=float, missing=  7 of 100, average=0.063705, stdev=1.065453, range=[-2.176347,3.220785], active=1
covariate 7:   name=covariate7, type=float, missing=  3 of 100, average=-0.082943, stdev=1.021191, range=[-2.639682,2.483121], active=1
covariate 8:   name=covariate8, type=float, missing=  3 of 100, average=-0.044493, stdev=1.012422, range=[-2.531140,2.601623], active=1
covariate 9:   name=covariate9, type=float, missing=  7 of 100, average=0.150354, stdev=0.832983, range=[-1.854515,2.483046], active=1
covariate 10:  name=covariate10, type=float, missing=  6 of 100, average=-0.039502, stdev=0.932709, range=[-2.556627,2.062168], active=1
covariate 11:  name=covariate11, type=float, missing=  3 of 100, average=0.153173, stdev=1.032234, range=[-2.439543,2.234088], active=1
covariate 12:  name=covariate12, type=float, missing=  8 of 100, average=-0.023510, stdev=0.934851, range=[-2.110632,1.968753], active=1
covariate 13:  name=covariate13, type=float, missing=  6 of 100, average=0.002902, stdev=1.098621, range=[-3.273226,2.676033], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of 100, average=0.022959, stdev=1.092879, range=[-2.007348,2.496961], active=1
covariate 15:  name=covariate15, type=float, missing=  3 of 100, average=0.129725, stdev=1.005432, range=[-2.292639,2.457386], active=1
covariate 16:  name=covariate16, type=float, missing=  5 of 100, average=0.090720, stdev=1.032033, range=[-2.316906,2.404920], active=1
covariate 17:  name=covariate17, type=float, missing=  4 of 100, average=-0.027411, stdev=0.961955, range=[-2.216539,1.983557], active=1
covariate 18:  name=covariate18, type=float, missing=  7 of 100, average=0.050402, stdev=0.904351, range=[-1.848918,2.205438], active=1
covariate 19:  name=covariate19, type=float, missing=  5 of 100, average=-0.055589, stdev=0.990113, range=[-2.277085,2.181871], active=1
covariate 20:  name=covariate20, type=float, missing=  3 of 100, average=-0.084184, stdev=1.078827, range=[-2.618571,3.368328], active=1
covariate 21:  name=covariate21, type=float, missing=  5 of 100, average=-0.070243, stdev=1.016550, range=[-2.258917,3.217603], active=1
covariate 22:  name=covariate22, type=float, missing=  6 of 100, average=0.070770, stdev=1.008011, range=[-2.338228,2.484559], active=1
covariate 23:  name=covariate23, type=float, missing=  5 of 100, average=-0.185299, stdev=0.858563, range=[-2.236117,2.374318], active=1
covariate 24:  name=covariate24, type=float, missing=  4 of 100, average=-0.033213, stdev=0.992518, range=[-1.992331,3.093697], active=1
covariate 25:  name=covariate25, type=float, missing=  7 of 100, average=-0.120801, stdev=0.971094, range=[-2.362006,2.724539], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of 100, average=0.112856, stdev=0.996014, range=[-2.634118,2.216867], active=1
covariate 27:  name=covariate27, type=float, missing=  4 of 100, average=-0.074861, stdev=1.059705, range=[-2.431560,2.762423], active=1
covariate 28:  name=covariate28, type=float, missing=  1 of 100, average=0.018989, stdev=0.959580, range=[-2.262105,2.350397], active=1
covariate 29:  name=covariate29, type=float, missing=  6 of 100, average=-0.136978, stdev=0.953348, range=[-2.086969,1.968985], active=1
covariate 30:  name=covariate30, type=float, missing=  4 of 100, average=0.065077, stdev=1.207091, range=[-3.777505,3.275650], active=1
covariate 31:  name=covariate31, type=float, missing=  5 of 100, average=0.049274, stdev=1.024179, range=[-2.111509,2.305425], active=1
covariate 32:  name=covariate32, type=float, missing=  3 of 100, average=0.036191, stdev=1.079894, range=[-3.654186,2.783685], active=1
covariate 33:  name=covariate33, type=float, missing=  3 of 100, average=0.157554, stdev=0.847741, range=[-2.085357,2.211381], active=1
covariate 34:  name=covariate34, type=float, missing=  5 of 100, average=-0.035254, stdev=0.887359, range=[-2.749821,1.783416], active=1
covariate 35:  name=covariate35, type=float, missing=  2 of 100, average=-0.062012, stdev=1.064550, range=[-2.356067,2.530966], active=1
covariate 36:  name=covariate36, type=float, missing=  8 of 100, average=-0.129703, stdev=1.032431, range=[-3.571013,2.512744], active=1
covariate 37:  name=covariate37, type=float, missing=  6 of 100, average=0.067662, stdev=0.980910, range=[-1.498834,2.414237], active=1
covariate 38:  name=covariate38, type=float, missing=  3 of 100, average=0.155102, stdev=1.036997, range=[-2.314273,3.378820], active=1
covariate 39:  name=covariate39, type=float, missing=  3 of 100, average=-0.033963, stdev=1.177090, range=[-3.618954,1.906662], active=1
covariate 40:  name=covariate40, type=float, missing=  9 of 100, average=-0.050336, stdev=0.970454, range=[-2.516866,2.306518], active=1
covariate 41:  name=covariate41, type=float, missing=  6 of 100, average=0.232164, stdev=0.952217, range=[-1.885296,3.658418], active=1
covariate 42:  name=covariate42, type=float, missing=  4 of 100, average=0.030932, stdev=1.030690, range=[-2.213218,3.339783], active=1
covariate 43:  name=covariate43, type=float, missing=  2 of 100, average=0.058333, stdev=0.913364, range=[-2.225493,2.446366], active=1
covariate 44:  name=covariate44, type=float, missing=  5 of 100, average=0.089782, stdev=1.146166, range=[-3.023643,2.666182], active=1
covariate 45:  name=covariate45, type=float, missing=  4 of 100, average=0.008757, stdev=0.973621, range=[-2.708303,2.985759], active=1
covariate 46:  name=covariate46, type=float, missing=  3 of 100, average=-0.101266, stdev=0.968741, range=[-2.292359,1.926019], active=1
covariate 47:  name=covariate47, type=float, missing=  3 of 100, average=-0.067106, stdev=0.984957, range=[-2.434338,2.344109], active=1
covariate 48:  name=covariate48, type=float, missing=  9 of 100, average=0.064515, stdev=1.018955, range=[-2.081250,2.743745], active=1
covariate 49:  name=covariate49, type=float, missing=  2 of 100, average=0.146398, stdev=0.992497, range=[-2.417700,2.838888], active=1
covariate 50:  name=covariate50, type=float, missing=  5 of 100, average=0.072267, stdev=1.056197, range=[-2.951478,2.789575], active=1
covariate 51:  name=covariate51, type=float, missing=  8 of 100, average=-0.086061, stdev=0.931983, range=[-2.025931,2.159793], active=1
covariate 52:  name=covariate52, type=float, missing=  2 of 100, average=-0.107778, stdev=1.068393, range=[-2.129495,2.353185], active=1
covariate 53:  name=covariate53, type=float, missing= 11 of 100, average=0.127996, stdev=0.856000, range=[-2.149382,2.019411], active=1
covariate 54:  name=covariate54, type=float, missing=  1 of 100, average=-0.005445, stdev=0.998718, range=[-2.578656,2.551498], active=1
covariate 55:  name=covariate55, type=float, missing=  5 of 100, average=0.071120, stdev=0.953809, range=[-2.246175,2.750111], active=1
covariate 56:  name=covariate56, type=float, missing=  7 of 100, average=-0.211112, stdev=1.036487, range=[-3.122797,2.305028], active=1
covariate 57:  name=covariate57, type=float, missing=  4 of 100, average=0.133026, stdev=0.954821, range=[-2.455835,2.544312], active=1
covariate 58:  name=covariate58, type=float, missing=  3 of 100, average=-0.183868, stdev=0.965857, range=[-2.457136,2.365141], active=1
covariate 59:  name=covariate59, type=float, missing=  5 of 100, average=0.041754, stdev=0.921321, range=[-1.963604,2.504078], active=1
covariate 60:  name=covariate60, type=float, missing=  9 of 100, average=0.011833, stdev=0.983532, range=[-2.466744,2.193059], active=1
covariate 61:  name=covariate61, type=float, missing=  8 of 100, average=0.014302, stdev=0.912696, range=[-2.283275,2.397187], active=1
covariate 62:  name=covariate62, type=float, missing=  6 of 100, average=0.196618, stdev=1.064021, range=[-2.300402,2.984404], active=1
covariate 63:  name=covariate63, type=float, missing= 10 of 100, average=-0.001808, stdev=1.110960, range=[-2.100660,2.884672], active=1
covariate 64:  name=covariate64, type=float, missing=  6 of 100, average=0.078778, stdev=1.102307, range=[-2.818630,2.118905], active=1
covariate 65:  name=covariate65, type=float, missing=  5 of 100, average=-0.087645, stdev=1.096315, range=[-3.120449,2.158162], active=1
covariate 66:  name=covariate66, type=float, missing=  2 of 100, average=-0.123123, stdev=0.959200, range=[-3.357703,1.910900], active=1
covariate 67:  name=covariate67, type=float, missing=  4 of 100, average=0.121916, stdev=1.092396, range=[-2.128609,3.477528], active=1
covariate 68:  name=covariate68, type=float, missing=  9 of 100, average=-0.107170, stdev=0.899023, range=[-2.031656,1.957628], active=1
covariate 69:  name=covariate69, type=float, missing=  4 of 100, average=0.112703, stdev=0.979606, range=[-2.442304,2.363212], active=1
covariate 70:  name=covariate70, type=float, missing=  4 of 100, average=0.234781, stdev=0.948555, range=[-2.121566,3.194538], active=1
covariate 71:  name=covariate71, type=float, missing=  4 of 100, average=-0.147369, stdev=0.985729, range=[-2.977675,2.512780], active=1
covariate 72:  name=covariate72, type=float, missing=  4 of 100, average=0.165366, stdev=1.017180, range=[-2.224799,2.861134], active=1
covariate 73:  name=covariate73, type=float, missing=  7 of 100, average=-0.099974, stdev=0.941678, range=[-2.420288,3.072422], active=1
covariate 74:  name=covariate74, type=float, missing=  4 of 100, average=0.017578, stdev=0.983917, range=[-2.188963,3.006127], active=1
covariate 75:  name=covariate75, type=float, missing=  3 of 100, average=-0.003990, stdev=0.964689, range=[-2.119247,2.700231], active=1
covariate 76:  name=covariate76, type=float, missing=  8 of 100, average=-0.056361, stdev=1.024770, range=[-2.514699,2.766462], active=1
covariate 77:  name=covariate77, type=float, missing=  6 of 100, average=-0.151167, stdev=0.939762, range=[-3.016105,2.571779], active=1
covariate 78:  name=covariate78, type=float, missing=  6 of 100, average=-0.006999, stdev=0.987114, range=[-1.674910,2.787314], active=1
covariate 79:  name=covariate79, type=float, missing=  8 of 100, average=0.053559, stdev=0.849986, range=[-2.313838,2.078763], active=1
covariate 80:  name=covariate80, type=float, missing=  5 of 100, average=0.015272, stdev=1.002411, range=[-3.468330,2.235706], active=1
