covariate 1:   name=covariate1, type=float, missing= 12 of 200, average=-0.095239, stdev=1.003854, range=[-2.443697,2.657448], active=1
covariate 2:   name=covariate2, type=float, missing= 11 of 200, average=-0.011346, stdev=1.014304, range=[-2.250920,2.439522], active=1
covariate 3:   name=covariate3, type=float, missing=  5 of 200, average=0.080230, stdev=0.952409, range=[-2.586696,3.306127], active=1
covariate 4:   name=covariate4, type=float, missing= 13 of 200, average=0.082397, stdev=0.967986, range=[-2.701006,2.282093], active=1
covariate 5:   name=covariate5, type=float, missing= 13 of 200, average=0.031458, stdev=0.968089, range=[-2.613812,2.651258], active=1
covariate 6:   name=covariate6, type=float, missing= 11 of 200, average=0.108663, stdev=0.987189, range=[-2.101029,2.568433], active=1
covariate 7:   name=covariate7, type=float, missing= 11 of 200, average=-0.021398, stdev=0.960726, range=[-2.568388,2.853059], active=1
covariate 8:   name=covariate8, type=float, missing=  7 of 200, average=0.028999, stdev=0.950108, range=[-2.640315,2.855351], active=1
covariate 9:   name=covariate9, type=float, missing=  9 of 200, average=-0.001077, stdev=1.051550, range=[-3.123645,2.752592], active=1
covariate 10:  name=covariate10, type=float, missing=  9 of 200, average=-0.011374, stdev=1.039453, range=[-2.745247,2.831241], active=1
covariate 11:  name=covariate11, type=float, missing= 12 of 200, average=-0.018698, stdev=1.124119, range=[-3.329512,2.302599], active=1
covariate 12:  name=covariate12, type=float, missing=  8 of 200, average=0.045220, stdev=0.996692, range=[-2.561636,2.741670], active=1
covariate 13:  name=covariate13, type=float, missing=  7 of 200, average=-0.018548, stdev=0.976974, range=[-2.443087,2.953876], active=1
covariate 14:  name=covariate14, type=float, missing=  6 of 200, average=0.001572, stdev=0.945178, range=[-2.633047,2.679773], active=1
covariate 15:  name=covariate15, type=float, missing=  8 of 200, average=0.000739, stdev=0.981730, range=[-2.486051,2.832104], active=1
covariate 16:  name=covariate16, type=float, missing= 11 of 200, average=0.006868, stdev=0.969116, range=[-2.387450,2.712742], active=1
covariate 17:  name=covariate17, type=float, missing= 11 of 200, average=0.007504, stdev=1.083142, range=[-3.644806,3.386106], active=1
covariate 18:  name=covariate18, type=float, missing=  6 of 200, average=0.067979, stdev=1.000271, range=[-2.640254,3.060770], active=1
covariate 19:  name=covariate19, type=float, missing= 10 of 200, average=-0.000351, stdev=0.959974, range=[-2.337070,2.389712], active=1
covariate 20:  name=covariate20, type=float, missing= 12 of 200, average=-0.012478, stdev=1.009267, range=[-2.829103,3.350279], active=1
covariate 21:  name=covariate21, type=float, missing=  9 of 200, average=0.102318, stdev=1.044876, range=[-2.712500,2.808339], active=1
covariate 22:  name=covariate22, type=float, missing= 15 of 200, average=0.000091, stdev=1.150751, range=[-3.339249,2.920949], active=1
covariate 23:  name=covariate23, type=float, missing= 14 of 200, average=-0.017616, stdev=1.007102, range=[-3.462526,3.013400], active=1
covariate 24:  name=covariate24, type=float, missing= 13 of 200, average=-0.049689, stdev=1.000944, range=[-3.419806,2.388382], active=1
covariate 25:  name=covariate25, type=float, missing= 10 of 200, average=0.009670, stdev=0.981490, range=[-2.717299,2.511842], active=1
covariate 26:  name=covariate26, type=float, missing=  8 of 200, average=0.091334, stdev=1.072433, range=[-2.232860,3.349025], active=1
covariate 27:  name=covariate27, type=float, missing= 10 of 200, average=0.050022, stdev=0.941317, range=[-2.212203,3.195771], active=1
covariate 28:  name=covariate28, type=float, missing=  7 of 200, average=0.037552, stdev=0.999822, range=[-2.384358,2.732390], active=1
covariate 29:  name=covariate29, type=float, missing=  6 of 200, average=0.074139, stdev=1.034894, range=[-3.223599,3.022560], active=1
