active=50: F_T=0.998864, F_V=0.642045
active=49: F_T=0.998864, F_V=0.655682
active=48: F_T=0.997500, F_V=0.648409
active=47: F_T=0.996364, F_V=0.651364
active=46: F_T=0.993636, F_V=0.660455
active=45: F_T=0.995227, F_V=0.672727
active=44: F_T=0.995227, F_V=0.670909
active=43: F_T=0.995000, F_V=0.676136
active=42: F_T=0.993409, F_V=0.697955
active=41: F_T=0.992727, F_V=0.680909
active=40: F_T=0.992727, F_V=0.685682
active=39: F_T=0.990682, F_V=0.708864
active=38: F_T=0.989545, F_V=0.714773
active=37: F_T=0.988409, F_V=0.714318
active=36: F_T=0.987727, F_V=0.724773
active=35: F_T=0.989773, F_V=0.728182
active=34: F_T=0.984773, F_V=0.717955
active=33: F_T=0.987727, F_V=0.742500
active=32: F_T=0.985455, F_V=0.751591
active=31: F_T=0.988636, F_V=0.735682
active=30: F_T=0.987955, F_V=0.737273
active=29: F_T=0.987273, F_V=0.752500
active=28: F_T=0.987045, F_V=0.764545
active=27: F_T=0.986591, F_V=0.767500
active=26: F_T=0.982955, F_V=0.763182
active=25: F_T=0.982500, F_V=0.767273
active=24: F_T=0.984773, F_V=0.780000
active=23: F_T=0.985000, F_V=0.785455
active=22: F_T=0.983182, F_V=0.786364
active=21: F_T=0.979091, F_V=0.784318
active=20: F_T=0.981364, F_V=0.807727
active=19: F_T=0.982045, F_V=0.819545
active=18: F_T=0.972955, F_V=0.819091
active=17: F_T=0.966136, F_V=0.806364
active=16: F_T=0.966364, F_V=0.819773
active=15: F_T=0.950682, F_V=0.798636
active=14: F_T=0.942045, F_V=0.784091
active=13: F_T=0.927727, F_V=0.777273
active=12: F_T=0.917045, F_V=0.781136
active=11: F_T=0.903864, F_V=0.781136
active=10: F_T=0.900909, F_V=0.781364
active=9: F_T=0.905000, F_V=0.790455
active=8: F_T=0.894318, F_V=0.780682
active=7: F_T=0.877045, F_V=0.768182
active=6: F_T=0.858864, F_V=0.754773
active=5: F_T=0.822045, F_V=0.728864
active=4: F_T=0.790227, F_V=0.721364
active=3: F_T=0.780455, F_V=0.733636
active=2: F_T=0.733182, F_V=0.685682
active=1: F_T=0.637727, F_V=0.630227
active=0: F_T=0.500000, F_V=0.500000
