covariate 1:   name=covariate1, type=float, missing=  6 of  50, average=-0.129426, stdev=0.814773, range=[-1.600923,1.873543], active=1
covariate 2:   name=covariate2, type=float, missing=  5 of  50, average=-0.170567, stdev=0.954192, range=[-2.689630,2.285965], active=1
covariate 3:   name=covariate3, type=float, missing=  2 of  50, average=-0.029354, stdev=1.051940, range=[-2.025469,2.877474], active=1
covariate 4:   name=covariate4, type=float, missing=  4 of  50, average=-0.048442, stdev=1.039083, range=[-3.274047,2.066320], active=1
covariate 5:   name=covariate5, type=float, missing=  1 of  50, average=-0.140494, stdev=1.101846, range=[-3.150051,2.544826], active=1
covariate 6:   name=covariate6, type=float, missing=  1 of  50, average=-0.074536, stdev=0.681016, range=[-1.347336,1.541107], active=1
covariate 7:   name=covariate7, type=float, missing=  3 of  50, average=-0.004436, stdev=1.040031, range=[-2.055929,2.193473], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of  50, average=-0.099521, stdev=1.238940, range=[-2.335230,3.055403], active=1
covariate 9:   name=covariate9, type=float, missing=  2 of  50, average=0.006327, stdev=1.119051, range=[-2.185615,3.189790], active=1
covariate 10:  name=covariate10, type=float, missing=  2 of  50, average=-0.158284, stdev=1.010928, range=[-2.220706,2.343421], active=1
covariate 11:  name=covariate11, type=float, missing=  3 of  50, average=0.066707, stdev=0.972650, range=[-2.545697,2.933245], active=1
covariate 12:  name=covariate12, type=float, missing=  4 of  50, average=-0.266319, stdev=1.031891, range=[-2.804609,2.169597], active=1
covariate 13:  name=covariate13, type=float, missing=  2 of  50, average=-0.211131, stdev=1.065575, range=[-2.266225,1.931065], active=1
covariate 14:  name=covariate14, type=float, missing=  4 of  50, average=-0.043362, stdev=1.139235, range=[-2.383920,2.512390], active=1
covariate 15:  name=covariate15, type=float, missing=  3 of  50, average=-0.163680, stdev=1.061277, range=[-2.696534,2.252509], active=1
covariate 16:  name=covariate16, type=float, missing=  4 of  50, average=-0.090148, stdev=0.824227, range=[-1.836097,1.654356], active=1
covariate 17:  name=covariate17, type=float, missing=  2 of  50, average=0.292441, stdev=0.972928, range=[-1.852588,2.956060], active=1
covariate 18:  name=covariate18, type=float, missing=  3 of  50, average=-0.193549, stdev=1.137152, range=[-2.465548,1.993726], active=1
covariate 19:  name=covariate19, type=float, missing=  3 of  50, average=0.047569, stdev=0.953924, range=[-1.679637,3.069074], active=1
covariate 20:  name=covariate20, type=float, missing=  2 of  50, average=-0.097962, stdev=0.942857, range=[-2.504659,1.943774], active=1
covariate 21:  name=covariate21, type=float, missing=  4 of  50, average=0.025153, stdev=0.931557, range=[-2.184532,2.098614], active=1
covariate 22:  name=covariate22, type=float, missing=  5 of  50, average=0.039564, stdev=0.716273, range=[-1.723735,1.368545], active=1
covariate 23:  name=covariate23, type=float, missing=  1 of  50, average=0.011894, stdev=0.865938, range=[-1.665699,2.046218], active=1
covariate 24:  name=covariate24, type=float, missing=  3 of  50, average=-0.199410, stdev=1.073567, range=[-2.573445,2.912244], active=1
covariate 25:  name=covariate25, type=float, missing=  2 of  50, average=0.005562, stdev=1.100571, range=[-2.302740,2.562656], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of  50, average=-0.024855, stdev=0.957180, range=[-1.880366,2.095188], active=1
covariate 27:  name=covariate27, type=float, missing=  2 of  50, average=-0.264799, stdev=0.948374, range=[-2.510550,2.143805], active=1
covariate 28:  name=covariate28, type=float, missing=  2 of  50, average=0.059289, stdev=0.804661, range=[-1.534831,2.190989], active=1
covariate 29:  name=covariate29, type=float, missing=  1 of  50, average=-0.238728, stdev=0.895048, range=[-2.504845,1.727621], active=1
covariate 30:  name=covariate30, type=float, missing=  1 of  50, average=0.072505, stdev=1.092171, range=[-2.331866,2.580774], active=1
covariate 31:  name=covariate31, type=float, missing=  2 of  50, average=0.062973, stdev=1.026467, range=[-2.253218,2.075537], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of  50, average=0.021413, stdev=0.787782, range=[-1.442313,1.507052], active=1
covariate 33:  name=covariate33, type=float, missing=  1 of  50, average=-0.004270, stdev=0.961615, range=[-1.957077,2.448181], active=1
covariate 34:  name=covariate34, type=float, missing=  1 of  50, average=0.075002, stdev=1.052338, range=[-2.383015,2.293405], active=1
covariate 35:  name=covariate35, type=float, missing=  5 of  50, average=-0.093971, stdev=1.000429, range=[-2.835467,1.849311], active=1
covariate 36:  name=covariate36, type=float, missing=  7 of  50, average=0.066957, stdev=0.874250, range=[-1.740639,2.765656], active=1
covariate 37:  name=covariate37, type=float, missing=  3 of  50, average=0.209923, stdev=0.870057, range=[-2.129777,2.239303], active=1
covariate 38:  name=covariate38, type=float, missing=  6 of  50, average=0.100816, stdev=1.247822, range=[-2.568475,3.364326], active=1
covariate 39:  name=covariate39, type=float, missing=  3 of  50, average=0.052399, stdev=1.185618, range=[-2.603928,2.576400], active=1
covariate 40:  name=covariate40, type=float, missing=  3 of  50, average=0.013234, stdev=1.179322, range=[-2.321195,2.192992], active=1
covariate 41:  name=covariate41, type=float, missing=  2 of  50, average=-0.121494, stdev=0.913704, range=[-2.530088,2.160018], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of  50, average=0.051779, stdev=1.142077, range=[-2.345612,2.612086], active=1
covariate 43:  name=covariate43, type=float, missing=  3 of  50, average=0.098343, stdev=1.054613, range=[-1.851290,2.299284], active=1
covariate 44:  name=covariate44, type=float, missing=  1 of  50, average=-0.027745, stdev=0.945478, range=[-1.786415,2.529936], active=1
covariate 45:  name=covariate45, type=float, missing=  2 of  50, average=0.027083, stdev=0.840053, range=[-1.597005,2.212286], active=1
covariate 46:  name=covariate46, type=float, missing=  2 of  50, average=0.005190, stdev=0.841375, range=[-1.782943,1.511728], active=1
covariate 47:  name=covariate47, type=float, missing=  2 of  50, average=0.124364, stdev=0.901299, range=[-1.590591,1.941882], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of  50, average=-0.073862, stdev=1.138507, range=[-2.772399,2.343414], active=1
covariate 49:  name=covariate49, type=float, missing=  2 of  50, average=-0.047174, stdev=1.100398, range=[-2.555482,3.206922], active=1
covariate 50:  name=covariate50, type=float, missing=  1 of  50, average=-0.117566, stdev=1.106876, range=[-1.762982,2.261214], active=1
