active=40: F_T=0.945758, F_V=0.596406
active=39: F_T=0.945758, F_V=0.613906
active=38: F_T=0.942273, F_V=0.607656
active=37: F_T=0.943636, F_V=0.614531
active=36: F_T=0.940000, F_V=0.616563
active=35: F_T=0.937121, F_V=0.613594
active=34: F_T=0.938485, F_V=0.641250
active=33: F_T=0.931515, F_V=0.639219
active=32: F_T=0.930758, F_V=0.643594
active=31: F_T=0.935152, F_V=0.645781
active=30: F_T=0.929848, F_V=0.643437
active=29: F_T=0.926667, F_V=0.651563
active=28: F_T=0.920909, F_V=0.663594
active=27: F_T=0.914091, F_V=0.681406
active=26: F_T=0.914091, F_V=0.676562
active=25: F_T=0.910909, F_V=0.680312
active=24: F_T=0.911667, F_V=0.676406
active=23: F_T=0.895152, F_V=0.684844
active=22: F_T=0.891364, F_V=0.681406
active=21: F_T=0.892727, F_V=0.685937
active=20: F_T=0.884394, F_V=0.691875
active=19: F_T=0.879545, F_V=0.691250
active=18: F_T=0.867273, F_V=0.691562
active=17: F_T=0.867121, F_V=0.695000
active=16: F_T=0.858636, F_V=0.701094
active=15: F_T=0.867576, F_V=0.712656
active=14: F_T=0.848485, F_V=0.698438
active=13: F_T=0.823333, F_V=0.692344
active=12: F_T=0.809848, F_V=0.680625
active=11: F_T=0.799091, F_V=0.678438
active=10: F_T=0.812273, F_V=0.692187
active=9: F_T=0.787576, F_V=0.673438
active=8: F_T=0.751970, F_V=0.639062
active=7: F_T=0.747424, F_V=0.656250
active=6: F_T=0.736970, F_V=0.667656
active=5: F_T=0.699545, F_V=0.645469
active=4: F_T=0.699545, F_V=0.648594
active=3: F_T=0.694242, F_V=0.644687
active=2: F_T=0.657121, F_V=0.621875
active=1: F_T=0.618788, F_V=0.597969
active=0: F_T=0.515152, F_V=0.484844
