covariate 1:   name=covariate1, type=float, missing=  6 of 100, average=-0.153672, stdev=0.865464, range=[-2.503580,1.922456], active=1
covariate 2:   name=covariate2, type=float, missing=  4 of 100, average=-0.173713, stdev=0.880928, range=[-2.295743,2.311380], active=1
covariate 3:   name=covariate3, type=float, missing=  2 of 100, average=0.016620, stdev=1.056181, range=[-2.121793,3.344217], active=1
covariate 4:   name=covariate4, type=float, missing=  3 of 100, average=0.038214, stdev=1.036556, range=[-2.950388,2.926996], active=1
covariate 5:   name=covariate5, type=float, missing=  3 of 100, average=0.021144, stdev=0.973995, range=[-1.733826,3.722501], active=1
covariate 6:   name=covariate6, type=float, missing=  6 of 100, average=0.107405, stdev=0.964982, range=[-2.163718,2.847565], active=1
covariate 7:   name=covariate7, type=float, missing=  4 of 100, average=0.104741, stdev=1.063461, range=[-2.655537,3.053935], active=1
covariate 8:   name=covariate8, type=float, missing=  5 of 100, average=0.020326, stdev=1.026724, range=[-2.664447,2.186114], active=1
covariate 9:   name=covariate9, type=float, missing=  4 of 100, average=-0.066642, stdev=0.972802, range=[-2.444218,1.958470], active=1
covariate 10:  name=covariate10, type=float, missing=  5 of 100, average=0.094897, stdev=1.006568, range=[-2.035524,2.418923], active=1
covariate 11:  name=covariate11, type=float, missing=  4 of 100, average=0.050467, stdev=0.886715, range=[-2.501755,1.829130], active=1
covariate 12:  name=covariate12, type=float, missing=  6 of 100, average=0.057953, stdev=1.079982, range=[-2.915664,2.487892], active=1
covariate 13:  name=covariate13, type=float, missing=  7 of 100, average=0.062541, stdev=0.848147, range=[-2.143320,1.844989], active=1
covariate 14:  name=covariate14, type=float, missing=  8 of 100, average=-0.281640, stdev=0.950881, range=[-3.854815,1.965998], active=1
covariate 15:  name=covariate15, type=float, missing=  5 of 100, average=0.073659, stdev=1.045563, range=[-2.842893,2.045488], active=1
covariate 16:  name=covariate16, type=float, missing=  5 of 100, average=0.100632, stdev=0.887397, range=[-2.459787,2.080624], active=1
covariate 17:  name=covariate17, type=float, missing=  3 of 100, average=-0.013944, stdev=1.040505, range=[-2.354408,2.384956], active=1
covariate 18:  name=covariate18, type=float, missing=  6 of 100, average=-0.072870, stdev=0.823717, range=[-2.210716,2.320153], active=1
covariate 19:  name=covariate19, type=float, missing=  6 of 100, average=0.029370, stdev=1.009696, range=[-2.997884,2.430619], active=1
covariate 20:  name=covariate20, type=float, missing= 10 of 100, average=0.047812, stdev=0.899796, range=[-2.285455,2.699105], active=1
covariate 21:  name=covariate21, type=float, missing=  4 of 100, average=-0.086428, stdev=1.136720, range=[-2.714469,2.310357], active=1
covariate 22:  name=covariate22, type=float, missing=  4 of 100, average=0.056814, stdev=1.073413, range=[-2.350632,3.422423], active=1
covariate 23:  name=covariate23, type=float, missing=  5 of 100, average=0.190736, stdev=0.986686, range=[-1.862685,2.485945], active=1
covariate 24:  name=covariate24, type=float, missing=  3 of 100, average=-0.031477, stdev=0.963271, range=[-2.411782,3.069017], active=1
