covariate 1:   name=covariate1, type=float, missing=  1 of 100, average=0.107399, stdev=0.952844, range=[-1.882317,2.579115], active=1
covariate 2:   name=covariate2, type=float, missing=  6 of 100, average=0.132487, stdev=0.985146, range=[-2.495676,2.674327], active=1
covariate 3:   name=covariate3, type=float, missing=  5 of 100, average=0.171583, stdev=1.100318, range=[-2.766206,2.157446], active=1
covariate 4:   name=covariate4, type=float, missing=  4 of 100, average=0.232432, stdev=1.031716, range=[-2.314881,2.802932], active=1
covariate 5:   name=covariate5, type=float, missing=  2 of 100, average=0.162735, stdev=0.946852, range=[-1.640812,2.753835], active=1
covariate 6:   name=covariate6, type=float, missing=  5 of 100, average=-0.121801, stdev=0.924152, range=[-2.128376,2.569592], active=1
covariate 7:   name=covariate7, type=float, missing=  4 of 100, average=-0.345357, stdev=1.135792, range=[-3.400948,2.773034], active=1
covariate 8:   name=covariate8, type=float, missing=  6 of 100, average=0.018485, stdev=0.938804, range=[-2.602688,2.016985], active=1
covariate 9:   name=covariate9, type=float, missing=  4 of 100, average=-0.075786, stdev=1.100133, range=[-3.074939,2.802995], active=1
covariate 10:  name=covariate10, type=float, missing=  5 of 100, average=0.102536, stdev=1.007183, range=[-2.271392,2.623474], active=1
covariate 11:  name=covariate11, type=float, missing=  5 of 100, average=0.018021, stdev=0.982021, range=[-2.741484,2.640531], active=1
covariate 12:  name=covariate12, type=float, missing= 10 of 100, average=0.022380, stdev=1.052711, range=[-2.552862,2.079848], active=1
covariate 13:  name=covariate13, type=float, missing=  1 of 100, average=0.000062, stdev=1.021603, range=[-2.464330,2.538495], active=1
covariate 14:  name=covariate14, type=float, missing=  3 of 100, average=-0.123625, stdev=1.012117, range=[-2.712975,1.641277], active=1
covariate 15:  name=covariate15, type=float, missing=  3 of 100, average=-0.135548, stdev=1.065048, range=[-3.127158,2.463858], active=1
covariate 16:  name=covariate16, type=float, missing=  6 of 100, average=-0.155343, stdev=0.975698, range=[-2.885877,3.500590], active=1
covariate 17:  name=covariate17, type=float, missing=  4 of 100, average=-0.099954, stdev=0.892586, range=[-2.045858,2.003153], active=1
covariate 18:  name=covariate18, type=float, missing=  4 of 100, average=0.047324, stdev=1.018019, range=[-2.439821,3.430141], active=1
covariate 19:  name=covariate19, type=float, missing=  8 of 100, average=0.017644, stdev=1.104409, range=[-2.606012,1.974273], active=1
covariate 20:  name=covariate20, type=float, missing=  5 of 100, average=0.056566, stdev=1.042563, range=[-3.179247,2.158917], active=1
covariate 21:  name=covariate21, type=float, missing=  8 of 100, average=0.074230, stdev=0.920751, range=[-1.826152,2.343407], active=1
