covariate 1:   name=covariate1, type=float, missing= 11 of 100, average=-0.058817, stdev=0.925947, range=[-2.239351,2.519213], active=1
covariate 2:   name=covariate2, type=float, missing=  2 of 100, average=0.012257, stdev=0.938935, range=[-2.586590,2.006057], active=1
covariate 3:   name=covariate3, type=float, missing=  4 of 100, average=0.029815, stdev=0.963980, range=[-2.569519,1.917562], active=1
covariate 4:   name=covariate4, type=float, missing=  7 of 100, average=0.106100, stdev=1.011200, range=[-1.996213,2.475585], active=1
covariate 5:   name=covariate5, type=float, missing=  4 of 100, average=-0.030457, stdev=0.893150, range=[-2.239820,2.765934], active=1
covariate 6:   name=covariate6, type=float, missing= 10 of 100, average=0.154766, stdev=0.889532, range=[-1.905472,1.934897], active=1
covariate 7:   name=covariate7, type=float, missing=  3 of 100, average=0.129448, stdev=1.001955, range=[-3.039797,2.573013], active=1
covariate 8:   name=covariate8, type=float, missing=  3 of 100, average=-0.116977, stdev=1.051929, range=[-2.478299,3.151568], active=1
covariate 9:   name=covariate9, type=float, missing=  7 of 100, average=-0.068155, stdev=1.005384, range=[-2.541886,2.941149], active=1
covariate 10:  name=covariate10, type=float, missing=  6 of 100, average=-0.083939, stdev=0.916826, range=[-1.913056,2.069309], active=1
covariate 11:  name=covariate11, type=float, missing=  7 of 100, average=0.108407, stdev=0.954547, range=[-2.173122,2.373965], active=1
covariate 12:  name=covariate12, type=float, missing=  8 of 100, average=0.182167, stdev=0.966046, range=[-1.925137,2.823949], active=1
covariate 13:  name=covariate13, type=float, missing=  3 of 100, average=-0.066823, stdev=0.924797, range=[-1.892429,2.409397], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of 100, average=-0.045165, stdev=0.931674, range=[-2.055909,2.805267], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=0.068065, stdev=0.987638, range=[-2.383298,2.651226], active=1
covariate 16:  name=covariate16, type=float, missing=  5 of 100, average=-0.030248, stdev=1.067434, range=[-2.879930,2.389798], active=1
covariate 17:  name=covariate17, type=float, missing=  3 of 100, average=-0.213165, stdev=0.867211, range=[-2.159321,2.670045], active=1
covariate 18:  name=covariate18, type=float, missing=  9 of 100, average=0.024537, stdev=0.986362, range=[-3.123629,2.402648], active=1
covariate 19:  name=covariate19, type=float, missing=  3 of 100, average=0.135193, stdev=0.936499, range=[-3.429001,1.902595], active=1
covariate 20:  name=covariate20, type=float, missing= 11 of 100, average=-0.054695, stdev=0.832360, range=[-2.085710,1.848118], active=1
covariate 21:  name=covariate21, type=float, missing=  4 of 100, average=-0.057859, stdev=1.103042, range=[-2.431526,3.768059], active=1
covariate 22:  name=covariate22, type=float, missing=  6 of 100, average=0.159093, stdev=0.890388, range=[-1.815311,2.323881], active=1
covariate 23:  name=covariate23, type=float, missing=  7 of 100, average=-0.141177, stdev=0.799173, range=[-2.293469,2.133165], active=1
covariate 24:  name=covariate24, type=float, missing=  7 of 100, average=-0.055875, stdev=0.915836, range=[-2.622705,2.066164], active=1
covariate 25:  name=covariate25, type=float, missing=  5 of 100, average=-0.065476, stdev=0.896289, range=[-2.199020,2.717596], active=1
covariate 26:  name=covariate26, type=float, missing=  5 of 100, average=0.060805, stdev=0.972522, range=[-2.300397,2.648765], active=1
covariate 27:  name=covariate27, type=float, missing=  6 of 100, average=0.061515, stdev=1.062567, range=[-2.191236,2.622772], active=1
