active=80: F_T=0.967340, F_V=0.577553
active=79: F_T=0.968936, F_V=0.574149
active=78: F_T=0.966915, F_V=0.589043
active=77: F_T=0.965851, F_V=0.585851
active=76: F_T=0.965000, F_V=0.579894
active=75: F_T=0.964043, F_V=0.592872
active=74: F_T=0.965319, F_V=0.594894
active=73: F_T=0.963511, F_V=0.599787
active=72: F_T=0.964787, F_V=0.597447
active=71: F_T=0.965106, F_V=0.613511
active=70: F_T=0.964681, F_V=0.610638
active=69: F_T=0.963298, F_V=0.617553
active=68: F_T=0.963085, F_V=0.622553
active=67: F_T=0.962234, F_V=0.620000
active=66: F_T=0.961064, F_V=0.631489
active=65: F_T=0.961915, F_V=0.628085
active=64: F_T=0.963404, F_V=0.632979
active=63: F_T=0.960213, F_V=0.636596
active=62: F_T=0.959362, F_V=0.644574
active=61: F_T=0.962553, F_V=0.652340
active=60: F_T=0.961170, F_V=0.646702
active=59: F_T=0.959681, F_V=0.647234
active=58: F_T=0.960213, F_V=0.661809
active=57: F_T=0.960000, F_V=0.660213
active=56: F_T=0.958936, F_V=0.656170
active=55: F_T=0.957660, F_V=0.669787
active=54: F_T=0.957447, F_V=0.677872
active=53: F_T=0.956596, F_V=0.684787
active=52: F_T=0.957021, F_V=0.686809
active=51: F_T=0.955106, F_V=0.688298
active=50: F_T=0.952234, F_V=0.691383
active=49: F_T=0.951702, F_V=0.694894
active=48: F_T=0.954574, F_V=0.697447
active=47: F_T=0.950213, F_V=0.700745
active=46: F_T=0.945213, F_V=0.698617
active=45: F_T=0.945213, F_V=0.698936
active=44: F_T=0.942234, F_V=0.707553
active=43: F_T=0.942872, F_V=0.706809
active=42: F_T=0.943191, F_V=0.716064
active=41: F_T=0.936702, F_V=0.718511
active=40: F_T=0.938404, F_V=0.722766
active=39: F_T=0.939468, F_V=0.722234
active=38: F_T=0.929149, F_V=0.733404
active=37: F_T=0.936702, F_V=0.730000
active=36: F_T=0.930957, F_V=0.734468
active=35: F_T=0.930426, F_V=0.734681
active=34: F_T=0.929362, F_V=0.750213
active=33: F_T=0.934362, F_V=0.750532
active=32: F_T=0.924468, F_V=0.745000
active=31: F_T=0.921064, F_V=0.748191
active=30: F_T=0.920957, F_V=0.759787
active=29: F_T=0.912340, F_V=0.742766
active=28: F_T=0.901596, F_V=0.754255
active=27: F_T=0.889894, F_V=0.733723
active=26: F_T=0.890638, F_V=0.736489
active=25: F_T=0.878723, F_V=0.726489
active=24: F_T=0.879681, F_V=0.732234
active=23: F_T=0.884787, F_V=0.741064
active=22: F_T=0.881277, F_V=0.745532
active=21: F_T=0.873936, F_V=0.738936
active=20: F_T=0.864787, F_V=0.747872
active=19: F_T=0.867447, F_V=0.752553
active=18: F_T=0.855745, F_V=0.749255
active=17: F_T=0.850426, F_V=0.747234
active=16: F_T=0.837234, F_V=0.743936
active=15: F_T=0.840426, F_V=0.748298
active=14: F_T=0.833404, F_V=0.753936
active=13: F_T=0.820000, F_V=0.756064
active=12: F_T=0.810638, F_V=0.734149
active=11: F_T=0.793723, F_V=0.718723
active=10: F_T=0.787553, F_V=0.720426
active=9: F_T=0.792340, F_V=0.727340
active=8: F_T=0.775426, F_V=0.712979
active=7: F_T=0.759574, F_V=0.718191
active=6: F_T=0.747553, F_V=0.722553
active=5: F_T=0.754468, F_V=0.738298
active=4: F_T=0.747979, F_V=0.722128
active=3: F_T=0.701489, F_V=0.673298
active=2: F_T=0.685000, F_V=0.663723
active=1: F_T=0.650000, F_V=0.634468
active=0: F_T=0.510638, F_V=0.489362
