N=10
P=20
R=2
1 0.175504 -0.607321 -1.067616 -0.769889 3.330812 -1.414585 0.531160 1.321355 0.393600 NA -0.776601 0.267420 0.135003 -0.618059 0.103916 -0.690925 0.998191 NA -1.075265 1.183178 3.268077 1.000000
2 0.396357 1.284595 0.156950 0.757336 1.039154 0.564524 0.285125 -0.522285 0.213692 0.441820 -0.108033 1.609337 0.285008 1.999369 -1.747764 0.855319 1.945640 -0.736415 -0.284648 -0.488205 0.304778 1.000000
3 -1.033016 0.403387 -0.818198 -1.573721 NA -1.097506 0.219630 NA 0.133304 0.113418 1.022431 1.487237 0.460385 NA -1.169871 2.560485 -0.272694 -0.424278 1.439961 2.031297 10.425344 0.000000
4 -0.798503 1.408871 0.542588 0.038641 0.944448 -2.157685 -0.233462 -0.401458 0.488150 -0.154730 1.401492 -0.341411 0.549925 0.774368 0.230488 1.880457 -1.270842 -1.280308 -0.474549 0.156393 0.051959 1.000000
5 0.561790 -0.026730 -0.913994 -1.109818 -0.466588 0.729177 0.883620 0.455905 1.920771 1.168281 -0.340712 0.334212 0.320738 0.775068 -0.999988 0.313589 0.298173 1.116576 -0.410076 1.296618 4.618629 0.000000
6 -0.833877 0.138151 -0.676489 -0.431209 0.371440 NA -0.198862 -0.178804 0.275300 0.521041 -0.015068 -1.856997 -0.126107 0.544156 -1.095536 -0.701545 0.164102 0.674121 -0.541397 -0.494028 3.885283 0.000000
7 0.698419 -1.361440 -0.772218 -0.000428 0.380279 0.243790 0.212999 -0.186190 -0.882862 1.114604 -0.991267 -1.497935 -0.115499 0.393656 2.473516 -0.499552 0.935374 0.298679 0.213859 NA 0.892804 1.000000
8 1.126061 -0.556638 0.336556 -1.056733 0.792451 0.346154 0.950767 -0.873681 0.385522 1.913456 -0.128360 -1.043307 -1.524618 -0.890396 0.979510 -1.505732 -0.411426 0.545813 -1.680840 -2.037338 2.838741 1.000000
9 -0.866298 -0.348417 -1.498587 -0.573923 NA -1.413527 0.253777 1.548424 0.535542 -1.028919 -1.718459 0.072877 2.002443 -1.585839 0.887970 -1.086557 -0.814291 -1.367521 -0.980461 0.592469 0.120208 1.000000
10 0.882018 0.688293 0.453667 0.790773 -2.059527 -0.306237 1.013096 -0.289035 0.560273 1.233748 -1.000243 -1.212197 -0.908596 1.562917 -0.179354 0.411992 -0.014415 -0.294169 -0.786882 -0.230696 4.372283 0.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.500000
   risk 1: beta[2]=0.500000
   risk 1: beta[3]=0.500000
   risk 1: beta[4]=0.500000
   risk 1: beta[5]=0.500000
   risk 1: beta[6]=-0.500000
   risk 1: beta[7]=-0.500000
   risk 1: beta[8]=-0.500000
   risk 1: beta[9]=-0.500000
   risk 1: beta[10]=-0.500000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
uniform censoring on time interval [1.000000,12.000000]
