N=10
P=20
R=2
1 0.470847 1.527237 -0.277405 0.621423 -1.092112 0.694996 0.043252 -0.040490 -0.395111 -1.029464 1.240498 0.808349 0.832901 1.127675 -0.557915 0.561372 1.916265 -0.559772 0.540296 -0.810711 0.382629 1.000000
2 -0.674778 NA 0.202460 -1.662536 -2.414652 -0.198004 0.048856 0.281511 1.488328 1.133583 -1.350729 0.717533 0.852631 0.604321 1.564629 -0.265959 0.111975 0.713059 -2.234244 -0.044859 1.631080 0.000000
3 0.572812 -0.842779 -1.138647 -1.472606 0.988507 NA -0.820957 1.158407 -0.460500 0.239336 0.831016 -1.410480 0.034092 -0.257402 -0.281040 -0.745933 0.249137 -0.516049 0.037200 0.410539 5.421618 1.000000
4 -1.769798 0.360510 1.195783 0.517263 1.282354 NA NA 1.286706 0.694182 -0.511121 -1.077795 0.732981 -0.171876 2.646067 0.549999 -0.008682 0.882872 0.821638 -1.272567 NA 0.306971 1.000000
5 1.037095 0.729475 -0.404864 0.251975 0.225248 0.127604 0.698643 -1.204471 -0.085525 0.325937 -0.873815 NA 0.542726 1.400454 1.141390 0.673300 -1.655011 0.045971 -0.475919 0.081228 2.557261 1.000000
6 0.491038 0.259075 0.064867 1.239097 -0.961305 0.339603 1.466719 1.869360 -0.794829 0.066603 0.933826 0.373830 -0.265115 0.209326 -0.389204 -0.972425 1.033821 -0.247103 -0.451838 0.066112 2.131566 0.000000
7 -0.971214 0.647047 1.652345 -0.950023 -1.183225 -0.917350 0.645549 -0.595978 1.004235 -1.120623 -1.287602 1.438864 0.892073 1.047081 -0.364032 0.495728 -0.320915 0.189665 -1.132024 0.353798 0.576699 1.000000
8 -1.229653 0.604005 0.711101 0.375183 -1.124699 -2.072699 -0.525738 -1.881252 -0.212131 1.535310 0.121646 1.288433 0.631333 0.136694 -0.982974 0.845519 -0.330903 -2.118617 0.220058 0.240379 1.055669 1.000000
9 0.725873 -0.155049 0.565182 1.302213 NA NA -1.628962 -0.430708 1.553945 0.792403 0.335920 -1.932284 0.552778 1.645218 0.248929 -0.767974 1.253944 NA 1.616133 -0.876031 0.091587 1.000000
10 1.253590 1.129586 2.124164 -1.217981 NA 1.725809 0.250618 0.552994 NA 0.305200 -0.419536 -0.735356 -0.555137 0.916079 -0.731281 0.274647 -0.106443 NA -1.476378 -0.073430 4.840446 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.500000
   risk 1: beta[2]=0.500000
   risk 1: beta[3]=0.500000
   risk 1: beta[4]=0.500000
   risk 1: beta[5]=0.500000
   risk 1: beta[6]=-0.500000
   risk 1: beta[7]=-0.500000
   risk 1: beta[8]=-0.500000
   risk 1: beta[9]=-0.500000
   risk 1: beta[10]=-0.500000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
uniform censoring on time interval [1.000000,12.000000]
