N=10
P=40
R=2
1 0.980330 1.129786 1.234971 -1.136007 -1.390016 1.202012 0.230860 -0.117999 0.437300 -0.277997 -0.761962 0.572487 -1.281506 -0.740593 0.226577 1.443494 -1.176171 0.222477 -0.583574 0.461867 -0.607672 -0.568970 -1.468955 0.417167 -0.295550 -0.052266 -0.066619 1.018756 -0.039739 0.440427 -0.307635 -1.338078 0.074849 0.412092 1.711928 -0.938052 1.252843 -0.042542 -0.914171 -1.087054 10.613854 0.000000
2 0.883721 0.546883 -0.942080 0.098297 -1.058216 0.096487 0.695343 0.486797 -0.271916 2.373309 -0.161554 0.349327 1.451742 0.943147 -0.912320 -0.362186 -1.193139 1.640533 0.158130 -2.187672 0.047334 -0.967523 -0.880660 0.373046 0.569299 1.690650 -1.548695 1.380810 -0.176609 -2.222482 -0.219903 -0.281206 -0.371884 -0.851654 0.255817 -1.232520 -0.395213 -0.553623 -1.424928 -0.842925 7.495732 0.000000
3 NA 0.208224 -0.998147 -0.086920 -0.177374 -0.157920 1.730946 0.048267 -0.215326 1.956667 -0.782722 -2.051093 2.035719 0.519737 -0.576867 0.626852 0.571121 0.571055 -0.586033 -0.286802 0.801713 0.449679 0.689580 1.505288 0.593914 -1.406617 -1.228560 0.456516 -0.004918 -0.211424 0.313328 -0.596187 -1.801125 -0.992734 -0.168974 -0.917942 2.439522 0.367091 -1.483347 0.903199 2.067218 0.000000
4 1.328200 -1.024982 -2.226723 -1.965591 -1.467674 -0.088690 0.692653 -1.417573 0.071854 0.146373 -0.667821 -0.234012 -1.068772 -0.496377 0.417275 -0.035319 -1.137975 -1.191634 -0.885390 -0.466836 -0.821132 -0.643425 0.187046 -1.574932 0.832229 1.329560 0.637651 0.347198 -0.964119 -0.935567 0.660194 -0.284874 -1.540266 -0.235974 -0.465524 1.495014 1.436108 -0.771008 NA 2.225154 10.933061 0.000000
5 -0.265685 -1.589075 -0.589339 0.287401 0.472242 -1.783129 -0.307616 0.097488 -0.078787 -0.445111 -0.097084 -0.423232 1.146098 -0.631286 0.797263 -1.287234 -1.430670 -1.570367 1.450854 NA -1.864001 0.677460 0.254814 -0.864742 0.405107 -0.294396 0.258934 1.717250 -0.765504 1.965690 0.604267 -0.681232 1.190637 1.194564 NA 1.180313 0.941159 1.757599 -2.228793 -0.586902 0.221003 1.000000
6 -1.317413 0.210350 -2.163223 0.436245 NA NA 0.599975 NA -0.328156 -0.265108 -0.018857 0.253614 -2.115219 -1.845602 -0.090880 -0.264119 0.089616 0.647672 -1.210401 0.358648 -0.351154 -1.251278 -1.482136 -1.210142 -0.028427 0.321963 0.174504 -1.193308 0.255921 -0.081667 -1.652161 -0.099635 -0.169079 -1.311324 -0.481174 -0.907856 -0.026369 -0.199451 -0.485894 0.430617 0.100679 1.000000
7 -0.832904 1.171965 -1.567852 0.006421 -1.125124 -0.395576 -0.588307 0.630500 0.204152 0.320566 -1.156803 NA -0.075512 -0.324673 -2.254749 0.635511 -0.373030 -0.870215 -1.220404 -0.088395 -1.407229 0.610624 -0.990716 1.222782 -0.644654 0.214706 -0.143555 -1.229295 0.089919 -1.757308 NA NA -0.543634 -1.017818 2.000628 -0.666475 1.710007 -0.932012 -0.825455 1.724926 6.138915 0.000000
8 0.288767 0.680174 0.552226 -0.136104 -0.868371 0.427836 0.028521 0.508475 0.552308 -0.381409 1.332299 -0.253133 -0.621535 -2.443697 0.962977 1.322991 -0.362826 -0.017051 0.178439 -0.972857 0.117199 -0.264408 0.025654 -2.075885 0.888799 0.615854 NA 1.021970 -0.856989 NA 1.354913 1.513080 1.479939 -1.225637 -0.373117 -0.784894 1.692736 -1.262986 -0.719535 -0.797579 3.846567 1.000000
9 0.092603 -0.811496 -0.658180 0.399808 -0.730459 -0.539281 -0.072599 1.972089 0.373161 0.080967 2.657448 -0.182445 0.297160 -0.868436 0.479094 2.263492 0.305840 -1.710575 -0.727199 NA 0.149253 1.024058 -1.368731 -0.158503 0.582076 -2.250920 0.260274 -0.878044 -0.111830 0.995803 0.485059 0.715393 1.332255 1.402592 -0.548583 1.087373 -0.543544 -0.912756 0.201991 -0.357962 1.062503 0.000000
10 -0.096783 -0.191285 -1.555703 0.776097 -1.124584 0.602473 -1.297881 2.062727 1.212601 -0.444124 0.428581 2.137571 -1.681293 1.119319 -0.493261 -0.179291 1.137183 -0.054475 0.607447 -1.685466 2.195714 -0.160632 0.511297 0.919846 -0.801859 1.392064 -0.636325 NA 0.316860 0.102767 0.783160 -1.104440 1.327222 0.711680 0.106648 0.337932 1.495946 0.527639 -0.267896 0.449703 2.760679 0.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.500000
   risk 1: beta[2]=0.500000
   risk 1: beta[3]=0.500000
   risk 1: beta[4]=0.500000
   risk 1: beta[5]=0.500000
   risk 1: beta[6]=-0.500000
   risk 1: beta[7]=-0.500000
   risk 1: beta[8]=-0.500000
   risk 1: beta[9]=-0.500000
   risk 1: beta[10]=-0.500000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
   risk 1: beta[21]=0.000000
   risk 1: beta[22]=0.000000
   risk 1: beta[23]=0.000000
   risk 1: beta[24]=0.000000
   risk 1: beta[25]=0.000000
   risk 1: beta[26]=0.000000
   risk 1: beta[27]=0.000000
   risk 1: beta[28]=0.000000
   risk 1: beta[29]=0.000000
   risk 1: beta[30]=0.000000
   risk 1: beta[31]=0.000000
   risk 1: beta[32]=0.000000
   risk 1: beta[33]=0.000000
   risk 1: beta[34]=0.000000
   risk 1: beta[35]=0.000000
   risk 1: beta[36]=0.000000
   risk 1: beta[37]=0.000000
   risk 1: beta[38]=0.000000
   risk 1: beta[39]=0.000000
   risk 1: beta[40]=0.000000
uniform censoring on time interval [1.000000,12.000000]
