N=10
P=60
R=2
1 -0.683819 0.996539 -0.612298 0.144154 -0.390835 -0.168915 -0.237970 -1.460609 0.807849 -0.238537 -0.312319 -0.248726 1.202710 0.015202 -1.176958 -0.439659 -0.009184 -0.347984 0.583778 -0.197336 -1.081637 NA -0.062659 0.690459 -1.066305 -0.063580 0.480867 0.363281 -1.010708 0.214734 0.972968 -0.836017 -0.510847 1.774340 0.369179 NA 1.177762 -0.748139 0.185680 1.871763 -1.517747 0.624883 0.861295 0.011575 -0.149254 -0.627872 0.490732 1.267800 -1.589554 -1.181441 1.669548 -0.835973 -0.141299 -0.287464 0.297141 1.155240 0.447351 -0.655133 -1.480196 0.141635 0.468663 1.000000
2 -0.846391 -0.662171 1.577922 -0.316831 -0.056008 NA -2.190536 0.705084 -1.265542 -0.675173 -0.984487 -0.392742 -0.833770 -0.667427 1.637612 1.678319 -1.677927 0.662726 1.285564 0.066108 0.063874 1.535506 1.492046 NA 0.409221 1.004105 1.138079 0.830438 -0.654688 -0.767834 0.900885 -0.085541 0.247562 0.119568 -0.025832 -1.278863 NA NA -0.435696 -2.412581 1.362589 -0.356813 -1.188445 0.377996 0.258058 -0.455489 0.676865 -0.170830 0.578441 -1.579551 -0.102218 -1.053147 0.579913 NA 1.433311 -0.756325 0.520576 -0.762727 1.454975 -0.942902 0.261345 1.000000
3 -0.444333 1.743307 -0.542496 -1.063145 1.568438 0.677490 NA NA -0.505759 0.229555 0.003445 -0.615593 -0.106633 1.928928 -0.451314 -1.087602 1.826768 1.906849 0.759780 0.614143 1.025939 -1.011006 -0.848161 1.007203 0.643463 -0.591042 -1.995870 0.783452 -0.947666 0.342116 -0.542000 NA 2.172198 NA 0.659255 0.453909 2.538608 0.210294 -0.251191 -2.091681 0.975437 0.019818 -1.840449 0.400939 -0.624062 -0.779736 -0.172272 1.362488 -0.738275 0.289006 -0.525307 1.013876 0.473884 -1.338117 0.815551 -0.984486 1.712456 1.297454 -0.252947 0.343282 0.298009 1.000000
4 -1.261363 -0.444504 0.880463 1.372845 -1.668008 -1.954893 -0.160347 0.960092 0.883240 -0.290310 -0.059540 0.317050 1.363048 -1.063268 1.770502 -0.875092 0.587280 -0.717074 0.138607 -0.415668 0.980366 -0.070966 -0.802773 NA 0.338758 0.485022 0.322899 -1.079560 -0.954469 -1.597386 -2.395451 -0.610577 0.006074 -1.162616 0.224269 0.418914 NA -1.072799 -0.254317 -1.715771 -3.024593 -0.120740 0.521151 NA 0.647631 0.042812 0.110964 1.231780 1.005680 -1.080066 -0.126003 0.972655 0.522911 -1.314416 -1.063813 1.939126 1.808148 0.080381 -0.139346 -0.269133 1.020033 1.000000
5 1.772670 NA -2.931184 1.411931 0.933879 0.266224 0.741748 0.236543 0.612775 -1.601515 1.079268 0.986571 0.982998 0.608413 0.447440 -1.379363 1.574316 1.046996 0.729215 -0.806795 -0.189902 2.564098 -0.012935 1.140756 0.845149 2.185549 -0.046729 -1.314845 0.638313 -1.014046 -0.787984 -1.580158 0.441257 0.342770 -0.284369 -0.819303 -0.102999 -0.548329 2.605168 -1.666817 0.693496 0.140355 -2.559132 0.383654 -1.191263 0.465434 0.185063 0.404504 -1.330198 -0.754718 0.462430 -0.191030 0.678471 -0.288699 -1.450868 -0.678229 -0.500090 0.492760 NA -0.825837 1.057786 1.000000
6 0.169855 0.007370 1.016147 0.577066 0.174223 1.132838 -0.350883 -0.722932 0.108165 0.223274 -0.439656 -1.010328 1.338438 -0.142973 -0.829089 -1.149624 -0.119252 1.491601 -0.101986 -0.322969 -0.177928 1.880532 0.988154 0.781157 -0.026007 0.410152 -0.914522 0.338968 1.188039 -0.395361 -0.777885 -0.091868 0.937026 0.496311 2.233728 -0.561794 0.558876 -0.826513 -0.869745 0.092524 0.029619 1.138932 -0.485406 -0.795931 1.045272 -0.208918 -1.116251 -0.047435 0.686697 -2.386807 0.116891 0.334734 -0.155348 NA -0.254122 -0.181474 -0.590376 -0.775272 0.490782 -0.268889 0.277156 1.000000
7 -1.234297 -0.083506 0.040467 -0.988369 -0.174137 -1.599910 -0.489284 -0.871445 -0.076345 -0.056725 NA -0.193046 -0.648761 0.969119 0.814228 -0.880449 -2.026170 -1.523475 -0.564764 2.005005 -0.926663 -0.478236 1.274218 0.657890 -0.444945 0.474374 -0.850109 NA NA 1.152742 0.441810 -0.710851 0.007382 -0.418573 -0.718537 -0.668287 0.585166 1.423542 0.133629 1.318996 0.523363 0.679354 -0.607332 0.929259 1.961143 -0.650370 -1.314599 1.279025 -0.786897 0.491152 -1.315297 -1.093702 -1.114680 1.144722 -0.318914 -0.334867 -0.375847 0.142291 0.171041 -2.026576 2.505871 1.000000
8 0.016290 0.271186 -0.027358 -1.314712 0.544943 -0.219061 1.351316 -0.617536 0.546253 -1.225917 1.550639 0.050966 0.060257 0.473623 0.459925 -0.365031 -0.503225 -0.622586 -0.669345 NA 0.210255 0.324727 -1.102222 -0.511232 0.048614 0.364808 0.058696 0.030095 NA 0.253008 -1.240891 1.850570 0.755479 1.286752 -1.119587 -0.948582 -0.440344 -0.460108 1.233788 0.262295 -0.596480 1.657921 0.207105 1.634136 -0.469477 0.133999 NA 0.039557 -1.218116 -0.317824 -0.318487 -0.548846 -0.091334 -0.264918 1.367271 -0.822726 NA 0.548868 -1.146855 -0.641532 6.498061 0.000000
9 0.158572 -0.045956 -1.595928 0.254343 0.270443 -0.905599 0.008829 -0.821330 -1.061551 -0.115151 -0.537936 -0.301091 1.906844 1.932859 0.122109 0.667325 1.661327 0.952881 -0.836142 NA -0.192445 0.029081 0.885183 0.151709 1.010979 1.793244 0.441920 -0.753824 0.594175 0.096210 1.623929 -0.071918 1.438233 -1.211313 NA -0.320787 1.188471 -0.535603 0.422064 NA 0.431512 NA -0.290597 1.010263 -1.776136 -0.380297 -0.425672 -2.060414 0.549356 -1.376658 -0.188231 -0.470585 -0.796499 -0.205824 -0.282466 -1.526370 0.710262 -0.123973 0.792094 -0.113548 4.167405 1.000000
10 -1.180807 -1.936128 -1.098746 -1.142165 0.385799 -0.694113 -0.790578 -1.124835 0.146349 0.227432 -1.539027 -0.905722 -0.632895 0.186104 -1.058085 -0.210574 0.343920 0.559373 -0.594750 0.645268 0.317341 0.173659 -0.194073 0.831246 -0.328066 0.363939 0.013040 0.976885 0.503783 -0.960892 -1.264727 -1.102711 1.155039 -0.597869 -0.440872 0.063185 -1.477388 -0.296672 1.420282 -0.900951 -2.194859 1.419496 0.771918 -1.161229 0.625203 0.107906 0.535243 0.222379 0.043190 0.346966 1.441841 0.163437 -1.223598 -0.098823 0.795834 0.733202 -1.967715 -0.458586 -1.232205 1.055137 4.306668 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.500000
   risk 1: beta[2]=0.500000
   risk 1: beta[3]=0.500000
   risk 1: beta[4]=0.500000
   risk 1: beta[5]=0.500000
   risk 1: beta[6]=-0.500000
   risk 1: beta[7]=-0.500000
   risk 1: beta[8]=-0.500000
   risk 1: beta[9]=-0.500000
   risk 1: beta[10]=-0.500000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
   risk 1: beta[21]=0.000000
   risk 1: beta[22]=0.000000
   risk 1: beta[23]=0.000000
   risk 1: beta[24]=0.000000
   risk 1: beta[25]=0.000000
   risk 1: beta[26]=0.000000
   risk 1: beta[27]=0.000000
   risk 1: beta[28]=0.000000
   risk 1: beta[29]=0.000000
   risk 1: beta[30]=0.000000
   risk 1: beta[31]=0.000000
   risk 1: beta[32]=0.000000
   risk 1: beta[33]=0.000000
   risk 1: beta[34]=0.000000
   risk 1: beta[35]=0.000000
   risk 1: beta[36]=0.000000
   risk 1: beta[37]=0.000000
   risk 1: beta[38]=0.000000
   risk 1: beta[39]=0.000000
   risk 1: beta[40]=0.000000
   risk 1: beta[41]=0.000000
   risk 1: beta[42]=0.000000
   risk 1: beta[43]=0.000000
   risk 1: beta[44]=0.000000
   risk 1: beta[45]=0.000000
   risk 1: beta[46]=0.000000
   risk 1: beta[47]=0.000000
   risk 1: beta[48]=0.000000
   risk 1: beta[49]=0.000000
   risk 1: beta[50]=0.000000
   risk 1: beta[51]=0.000000
   risk 1: beta[52]=0.000000
   risk 1: beta[53]=0.000000
   risk 1: beta[54]=0.000000
   risk 1: beta[55]=0.000000
   risk 1: beta[56]=0.000000
   risk 1: beta[57]=0.000000
   risk 1: beta[58]=0.000000
   risk 1: beta[59]=0.000000
   risk 1: beta[60]=0.000000
uniform censoring on time interval [1.000000,12.000000]
