active=60: F_T=1.000000, F_V=0.474000
active=59: F_T=1.000000, F_V=0.491000
active=58: F_T=1.000000, F_V=0.503000
active=57: F_T=1.000000, F_V=0.499000
active=56: F_T=1.000000, F_V=0.526000
active=55: F_T=1.000000, F_V=0.533000
active=54: F_T=1.000000, F_V=0.531000
active=53: F_T=1.000000, F_V=0.545000
active=52: F_T=1.000000, F_V=0.536000
active=51: F_T=1.000000, F_V=0.553000
active=50: F_T=1.000000, F_V=0.563000
active=49: F_T=1.000000, F_V=0.568000
active=48: F_T=1.000000, F_V=0.576000
active=47: F_T=1.000000, F_V=0.578000
active=46: F_T=1.000000, F_V=0.596000
active=45: F_T=1.000000, F_V=0.617000
active=44: F_T=1.000000, F_V=0.643000
active=43: F_T=1.000000, F_V=0.601000
active=42: F_T=1.000000, F_V=0.622000
active=41: F_T=1.000000, F_V=0.624000
active=40: F_T=1.000000, F_V=0.627000
active=39: F_T=1.000000, F_V=0.634000
active=38: F_T=1.000000, F_V=0.678000
active=37: F_T=1.000000, F_V=0.633000
active=36: F_T=1.000000, F_V=0.664000
active=35: F_T=1.000000, F_V=0.686000
active=34: F_T=1.000000, F_V=0.671000
active=33: F_T=1.000000, F_V=0.703000
active=32: F_T=1.000000, F_V=0.718000
active=31: F_T=1.000000, F_V=0.679000
active=30: F_T=1.000000, F_V=0.726000
active=29: F_T=1.000000, F_V=0.731000
active=28: F_T=1.000000, F_V=0.710000
active=27: F_T=1.000000, F_V=0.705000
active=26: F_T=1.000000, F_V=0.746000
active=25: F_T=1.000000, F_V=0.748000
active=24: F_T=1.000000, F_V=0.744000
active=23: F_T=1.000000, F_V=0.755000
active=22: F_T=1.000000, F_V=0.739000
active=21: F_T=1.000000, F_V=0.739000
active=20: F_T=1.000000, F_V=0.744000
active=19: F_T=1.000000, F_V=0.770000
active=18: F_T=1.000000, F_V=0.772000
active=17: F_T=1.000000, F_V=0.785000
active=16: F_T=1.000000, F_V=0.836000
active=15: F_T=1.000000, F_V=0.838000
active=14: F_T=1.000000, F_V=0.850000
active=13: F_T=1.000000, F_V=0.884000
active=12: F_T=1.000000, F_V=0.853000
active=11: F_T=1.000000, F_V=0.843000
active=10: F_T=1.000000, F_V=0.855000
active=9: F_T=1.000000, F_V=0.885000
active=8: F_T=1.000000, F_V=0.900000
active=7: F_T=1.000000, F_V=0.877000
active=6: F_T=1.000000, F_V=0.878000
active=5: F_T=1.000000, F_V=0.907000
active=4: F_T=1.000000, F_V=0.894000
active=3: F_T=1.000000, F_V=0.927000
active=2: F_T=0.999000, F_V=0.934000
active=1: F_T=0.796000, F_V=0.725000
active=0: F_T=0.600000, F_V=0.400000
