covariate 1:   name=covariate1, type=float, missing=  0 of  10, average=-0.038102, stdev=1.362571, range=[-2.027618,2.195890], active=1
covariate 2:   name=covariate2, type=float, missing=  1 of  10, average=0.630457, stdev=1.235005, range=[-0.864102,2.738528], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of  10, average=0.321174, stdev=1.065754, range=[-1.118713,2.108453], active=1
covariate 4:   name=covariate4, type=float, missing=  1 of  10, average=-0.177517, stdev=0.749926, range=[-1.299772,1.246772], active=1
covariate 5:   name=covariate5, type=float, missing=  1 of  10, average=0.383519, stdev=0.840022, range=[-0.829322,2.251990], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of  10, average=-0.034761, stdev=0.634679, range=[-1.173627,0.846938], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of  10, average=-0.181913, stdev=0.503612, range=[-0.778432,0.735258], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of  10, average=0.282762, stdev=0.780300, range=[-1.109090,1.550582], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of  10, average=-0.317901, stdev=1.123335, range=[-1.173507,2.434406], active=1
covariate 10:  name=covariate10, type=float, missing=  1 of  10, average=0.582223, stdev=0.878504, range=[-0.943200,1.768429], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of  10, average=0.194920, stdev=0.907773, range=[-0.775275,2.558556], active=1
covariate 12:  name=covariate12, type=float, missing=  1 of  10, average=0.065854, stdev=0.432579, range=[-0.682593,0.766477], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of  10, average=0.277418, stdev=0.817596, range=[-1.004129,1.694501], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of  10, average=-0.134250, stdev=0.917109, range=[-1.758728,0.817807], active=1
covariate 15:  name=covariate15, type=float, missing=  1 of  10, average=0.107926, stdev=0.989165, range=[-1.590731,2.250377], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of  10, average=-0.485451, stdev=0.968241, range=[-1.936293,1.307212], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of  10, average=-0.158225, stdev=1.054191, range=[-1.550409,1.298969], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of  10, average=-0.013631, stdev=0.802847, range=[-1.243691,0.983552], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of  10, average=0.240113, stdev=0.765490, range=[-0.680393,1.743786], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of  10, average=0.008084, stdev=0.726172, range=[-1.054053,1.631011], active=1
covariate 21:  name=covariate21, type=float, missing=  1 of  10, average=-0.230534, stdev=0.737878, range=[-1.259605,0.766424], active=1
covariate 22:  name=covariate22, type=float, missing=  2 of  10, average=-0.104718, stdev=0.790520, range=[-1.667152,0.878365], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of  10, average=-0.148681, stdev=0.940564, range=[-1.661193,1.349125], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of  10, average=0.139446, stdev=1.071461, range=[-1.355931,2.495103], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of  10, average=-0.365132, stdev=0.958861, range=[-2.037242,1.333567], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of  10, average=-0.461206, stdev=1.105682, range=[-2.501427,0.747277], active=1
covariate 27:  name=covariate27, type=float, missing=  1 of  10, average=0.340431, stdev=1.071674, range=[-1.640348,1.407083], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of  10, average=-0.430135, stdev=0.863577, range=[-1.927973,0.830948], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of  10, average=0.045400, stdev=0.651828, range=[-1.438325,1.029187], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of  10, average=0.215998, stdev=1.122493, range=[-1.032022,2.388598], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of  10, average=-0.272446, stdev=1.088015, range=[-1.850641,2.040995], active=1
covariate 32:  name=covariate32, type=float, missing=  1 of  10, average=0.117699, stdev=0.625689, range=[-0.962766,1.000007], active=1
covariate 33:  name=covariate33, type=float, missing=  1 of  10, average=0.110961, stdev=0.779770, range=[-0.801890,1.216948], active=1
covariate 34:  name=covariate34, type=float, missing=  2 of  10, average=0.320276, stdev=1.039389, range=[-1.349532,2.224455], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of  10, average=-0.233436, stdev=0.995257, range=[-1.555145,1.683050], active=1
covariate 36:  name=covariate36, type=float, missing=  1 of  10, average=0.203391, stdev=0.757855, range=[-0.557642,1.585095], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of  10, average=-0.675061, stdev=0.725863, range=[-2.117141,0.429015], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of  10, average=0.551532, stdev=1.118027, range=[-0.883122,2.552009], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of  10, average=-0.415163, stdev=1.034569, range=[-2.683177,0.844125], active=1
covariate 40:  name=covariate40, type=float, missing=  1 of  10, average=-0.483739, stdev=0.998232, range=[-1.654932,1.428573], active=1
covariate 41:  name=covariate41, type=float, missing=  0 of  10, average=0.305291, stdev=0.787402, range=[-1.281141,1.430404], active=1
covariate 42:  name=covariate42, type=float, missing=  1 of  10, average=-0.019490, stdev=0.907768, range=[-1.247144,1.993730], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of  10, average=-0.432172, stdev=1.123474, range=[-2.740464,1.352870], active=1
covariate 44:  name=covariate44, type=float, missing=  0 of  10, average=0.339736, stdev=1.022998, range=[-1.407251,1.841969], active=1
covariate 45:  name=covariate45, type=float, missing=  0 of  10, average=-0.357959, stdev=0.733612, range=[-1.310158,1.482851], active=1
covariate 46:  name=covariate46, type=float, missing=  1 of  10, average=0.706283, stdev=1.020785, range=[-1.677172,2.014740], active=1
covariate 47:  name=covariate47, type=float, missing=  1 of  10, average=-0.319690, stdev=0.962490, range=[-1.728459,0.803930], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of  10, average=-0.355332, stdev=1.428417, range=[-2.049449,1.935815], active=1
covariate 49:  name=covariate49, type=float, missing=  1 of  10, average=0.160823, stdev=0.710571, range=[-1.330446,0.965509], active=1
covariate 50:  name=covariate50, type=float, missing=  1 of  10, average=-0.159717, stdev=0.900440, range=[-2.090388,0.894722], active=1
covariate 51:  name=covariate51, type=float, missing=  0 of  10, average=0.316158, stdev=0.848074, range=[-1.475510,1.507265], active=1
covariate 52:  name=covariate52, type=float, missing=  0 of  10, average=0.373005, stdev=1.386486, range=[-1.880959,2.469533], active=1
covariate 53:  name=covariate53, type=float, missing=  3 of  10, average=-0.241252, stdev=1.364133, range=[-2.435102,1.995096], active=1
covariate 54:  name=covariate54, type=float, missing=  1 of  10, average=-0.309009, stdev=0.668820, range=[-1.290433,1.012249], active=1
covariate 55:  name=covariate55, type=float, missing=  0 of  10, average=0.117708, stdev=0.875790, range=[-1.446914,1.584230], active=1
covariate 56:  name=covariate56, type=float, missing=  0 of  10, average=0.268585, stdev=0.560972, range=[-0.959774,0.882408], active=1
covariate 57:  name=covariate57, type=float, missing=  0 of  10, average=0.507668, stdev=0.900333, range=[-1.050809,1.661544], active=1
covariate 58:  name=covariate58, type=float, missing=  0 of  10, average=-0.171846, stdev=0.869772, range=[-1.589737,1.352571], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of  10, average=0.631109, stdev=0.794987, range=[-0.784801,2.103022], active=1
covariate 60:  name=covariate60, type=float, missing=  0 of  10, average=-0.244691, stdev=0.983602, range=[-2.339679,1.151320], active=1
covariate 61:  name=covariate61, type=float, missing=  1 of  10, average=0.702562, stdev=0.960690, range=[-0.865051,2.441140], active=1
covariate 62:  name=covariate62, type=float, missing=  0 of  10, average=0.203828, stdev=1.015020, range=[-1.637116,2.033384], active=1
covariate 63:  name=covariate63, type=float, missing=  0 of  10, average=-0.097119, stdev=1.343906, range=[-2.550254,2.011212], active=1
covariate 64:  name=covariate64, type=float, missing=  0 of  10, average=-0.197001, stdev=1.016073, range=[-2.249443,1.059342], active=1
covariate 65:  name=covariate65, type=float, missing=  0 of  10, average=-0.135004, stdev=0.926426, range=[-1.245369,1.494582], active=1
covariate 66:  name=covariate66, type=float, missing=  1 of  10, average=-0.397928, stdev=1.014417, range=[-2.630104,0.587899], active=1
covariate 67:  name=covariate67, type=float, missing=  0 of  10, average=-0.123806, stdev=1.134263, range=[-2.317649,1.726811], active=1
covariate 68:  name=covariate68, type=float, missing=  0 of  10, average=0.623617, stdev=1.000545, range=[-1.520830,1.860439], active=1
covariate 69:  name=covariate69, type=float, missing=  1 of  10, average=-0.117970, stdev=1.206278, range=[-3.137858,1.417753], active=1
covariate 70:  name=covariate70, type=float, missing=  2 of  10, average=-0.007737, stdev=1.269061, range=[-1.554831,2.300135], active=1
covariate 71:  name=covariate71, type=float, missing=  2 of  10, average=0.118777, stdev=0.883503, range=[-0.951063,1.786659], active=1
covariate 72:  name=covariate72, type=float, missing=  1 of  10, average=0.502150, stdev=0.868341, range=[-0.720331,2.187612], active=1
covariate 73:  name=covariate73, type=float, missing=  2 of  10, average=0.410425, stdev=0.751717, range=[-0.409575,2.070521], active=1
covariate 74:  name=covariate74, type=float, missing=  0 of  10, average=0.213451, stdev=0.914764, range=[-1.416679,2.132888], active=1
covariate 75:  name=covariate75, type=float, missing=  0 of  10, average=-0.038403, stdev=0.720499, range=[-2.146013,0.513505], active=1
covariate 76:  name=covariate76, type=float, missing=  2 of  10, average=0.282828, stdev=1.042038, range=[-1.197354,2.086861], active=1
covariate 77:  name=covariate77, type=float, missing=  1 of  10, average=-0.145112, stdev=0.640610, range=[-1.262855,1.004879], active=1
covariate 78:  name=covariate78, type=float, missing=  1 of  10, average=0.041439, stdev=0.827835, range=[-1.269261,1.392290], active=1
covariate 79:  name=covariate79, type=float, missing=  0 of  10, average=-0.253538, stdev=0.951353, range=[-2.112616,1.196604], active=1
covariate 80:  name=covariate80, type=float, missing=  0 of  10, average=0.075873, stdev=0.812291, range=[-0.846163,1.388563], active=1
covariate 81:  name=covariate81, type=float, missing=  0 of  10, average=-0.362011, stdev=0.765521, range=[-1.867576,0.728366], active=1
covariate 82:  name=covariate82, type=float, missing=  2 of  10, average=-0.473131, stdev=0.898700, range=[-2.092252,0.690833], active=1
covariate 83:  name=covariate83, type=float, missing=  2 of  10, average=-0.190400, stdev=1.021915, range=[-1.679627,1.308155], active=1
covariate 84:  name=covariate84, type=float, missing=  0 of  10, average=0.073462, stdev=0.955899, range=[-1.273972,1.804850], active=1
covariate 85:  name=covariate85, type=float, missing=  1 of  10, average=0.090492, stdev=0.991876, range=[-1.468032,1.654109], active=1
covariate 86:  name=covariate86, type=float, missing=  0 of  10, average=-0.465362, stdev=0.909668, range=[-1.875212,1.052338], active=1
covariate 87:  name=covariate87, type=float, missing=  1 of  10, average=0.414731, stdev=0.598940, range=[-1.013945,1.391682], active=1
covariate 88:  name=covariate88, type=float, missing=  0 of  10, average=0.276421, stdev=0.950757, range=[-1.636075,1.646047], active=1
covariate 89:  name=covariate89, type=float, missing=  0 of  10, average=-0.292346, stdev=0.677085, range=[-1.844633,0.463660], active=1
covariate 90:  name=covariate90, type=float, missing=  1 of  10, average=0.118042, stdev=0.708727, range=[-0.886241,1.220155], active=1
covariate 91:  name=covariate91, type=float, missing=  0 of  10, average=0.028856, stdev=0.606660, range=[-0.785650,0.988587], active=1
covariate 92:  name=covariate92, type=float, missing=  3 of  10, average=0.258354, stdev=0.933459, range=[-1.292745,1.186746], active=1
covariate 93:  name=covariate93, type=float, missing=  0 of  10, average=-0.072877, stdev=0.706572, range=[-1.523333,1.018989], active=1
covariate 94:  name=covariate94, type=float, missing=  0 of  10, average=0.201150, stdev=0.758604, range=[-1.237562,1.353362], active=1
covariate 95:  name=covariate95, type=float, missing=  1 of  10, average=-0.035504, stdev=0.821115, range=[-1.766674,1.109242], active=1
covariate 96:  name=covariate96, type=float, missing=  0 of  10, average=-0.072506, stdev=1.102310, range=[-2.028649,1.246457], active=1
covariate 97:  name=covariate97, type=float, missing=  1 of  10, average=-0.149105, stdev=0.772456, range=[-1.186766,1.186508], active=1
covariate 98:  name=covariate98, type=float, missing=  0 of  10, average=-0.098597, stdev=0.679184, range=[-1.777680,0.817222], active=1
covariate 99:  name=covariate99, type=float, missing=  1 of  10, average=0.127311, stdev=0.898113, range=[-1.657827,1.653208], active=1
covariate 100: name=covariate100, type=float, missing=  0 of  10, average=-0.574424, stdev=1.009545, range=[-2.757699,0.849101], active=1
