N=10
P=20
R=2
1 -1.330776 1.319134 0.736627 -0.985566 -0.245358 -0.512696 NA -1.265319 -0.080956 -0.966665 -1.675051 -0.060603 0.209568 -1.049970 0.909412 -1.188791 NA -1.524316 -1.053459 1.670971 0.448248 1.000000
2 0.350448 -1.148299 -0.385716 1.199003 NA 1.394372 0.762588 0.477966 0.362908 -1.125857 0.896476 -0.064830 -1.414823 -1.026884 0.552257 2.322119 -0.063079 0.147901 -0.383666 2.519081 7.668577 1.000000
3 -0.372589 0.193109 -0.637008 0.671092 -0.383833 0.301069 -1.020779 -0.364644 -0.791469 -0.804508 -1.395073 -0.445023 2.410161 0.448734 -0.168215 0.336140 1.029868 0.147475 -2.250222 -2.794062 0.113276 1.000000
4 -0.725654 0.901809 0.472800 0.222250 1.158655 0.407256 -0.426165 0.396792 -1.762152 -1.115883 -0.345926 2.173389 -0.831848 0.953944 -2.375750 -0.836682 -0.239719 1.367849 -0.078457 0.027426 0.009379 1.000000
5 -0.210159 -0.012852 -1.501139 1.324836 0.619786 -1.182757 -1.039417 -0.958650 0.604692 -0.373802 0.226377 -0.500991 0.438296 -0.295182 0.701538 0.626501 NA -0.488444 -1.004614 -0.095918 1.687418 0.000000
6 -0.986728 0.054795 -0.369659 1.569441 0.767126 -0.817243 0.165878 1.040422 -0.292303 0.581140 0.419074 -0.835207 -0.559595 2.488396 -1.351325 NA 0.726468 0.235554 0.445482 -0.644442 1.760048 1.000000
7 -1.462388 -0.443978 -0.231534 0.954064 -0.204528 1.216379 0.754987 0.617461 0.616013 2.117138 0.536120 0.167709 0.258957 -0.485921 -1.088960 -1.072211 -1.739793 -0.133390 -0.513579 -1.032187 4.993751 0.000000
8 -2.834941 0.207404 0.102886 -0.539788 NA 0.728305 NA 0.263636 -0.217460 0.513821 0.200096 -2.024810 2.456710 -0.741449 -2.417938 -0.669611 -0.469392 0.808650 -0.619135 0.047360 4.902693 0.000000
9 0.813898 0.557842 0.035266 1.030499 -0.757202 -0.449215 -1.377881 0.159517 -0.154430 0.547069 NA 2.068813 -1.516520 0.615335 -0.093327 2.069956 -0.750064 -0.079693 1.371899 0.513328 0.684766 1.000000
10 0.131714 -0.067857 -1.561341 -0.107606 -1.577987 -0.062595 0.572110 1.079264 -0.408335 1.181876 0.623206 NA 0.016165 0.063982 -1.503168 NA -0.772554 0.754380 0.299455 -0.972481 3.723840 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.500000
   risk 1: beta[2]=0.500000
   risk 1: beta[3]=0.500000
   risk 1: beta[4]=0.500000
   risk 1: beta[5]=0.500000
   risk 1: beta[6]=-0.500000
   risk 1: beta[7]=-0.500000
   risk 1: beta[8]=-0.500000
   risk 1: beta[9]=-0.500000
   risk 1: beta[10]=-0.500000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
uniform censoring on time interval [1.000000,12.000000]
