N=10
P=60
R=2
1 0.034911 -0.152481 -2.076952 -0.088840 -0.174708 -0.707405 -0.539143 0.300985 0.864715 -1.670426 -0.300905 0.032249 -0.171874 -0.082143 NA -2.295743 0.756058 1.363321 1.075571 -0.778751 1.238183 -0.083037 NA 0.114649 -0.745198 -1.158639 0.794698 NA -1.308229 0.811792 0.621188 0.038333 -0.143365 -1.038670 -1.660276 -0.174663 0.386164 0.132690 0.440247 -1.894612 NA -0.082923 1.202056 1.487815 -0.291413 -1.123947 0.459001 -0.644402 -0.357201 -1.272186 -0.297933 0.300161 -0.341039 0.029668 0.507269 -0.447056 1.030197 -0.822003 -0.366097 -0.446046 4.836719 1.000000
2 -0.368730 -1.545039 0.134323 -1.083641 0.745492 NA -1.000241 -1.055126 1.347407 0.177082 -1.074578 -1.779189 NA -1.268940 -1.342011 0.020434 -0.881819 -0.087692 -1.435528 -0.745455 0.701273 1.002765 -0.476067 -0.893447 0.305398 3.344217 -1.584394 NA -0.841806 0.823474 -0.154584 1.337405 -0.424480 1.678078 0.221856 NA 1.060861 -1.211620 0.560159 -1.435417 -0.179017 1.206951 1.116294 0.186278 -0.407131 3.722501 -0.090552 -0.417351 0.108725 0.070230 -0.208674 -2.163718 -0.578223 -0.232343 -0.154518 -0.453205 -0.838510 NA -1.306465 1.035021 8.625720 1.000000
3 1.116474 1.201207 -0.686432 0.129325 -1.598002 -1.625743 -0.590396 0.091343 NA -2.044802 1.133788 -0.364650 0.703959 0.058229 -0.032919 1.166202 -0.554467 -0.379746 -1.125575 -1.086251 1.203329 1.453063 -0.423963 0.520538 0.296641 -1.041916 2.557650 -0.785682 -0.092083 NA 2.926996 1.453138 -0.369341 1.238732 0.682643 0.000225 0.360766 0.114587 2.311414 1.617695 -0.502250 NA 0.707955 0.427834 -0.827130 -1.343784 -1.056686 0.210837 0.322090 0.496603 0.301468 NA 0.213789 1.492313 2.847565 1.222365 -1.888807 -0.220743 1.292182 -0.481793 0.009296 1.000000
4 NA NA -1.188159 -0.190750 -0.549813 -0.063998 0.786931 0.165212 0.392916 0.013685 0.873918 0.427488 -0.392517 0.448215 -1.848073 0.543762 0.665595 -0.664615 -0.187745 -1.298856 0.289565 0.873285 2.205115 0.015137 NA 1.185900 0.121449 NA 1.504482 -0.275569 0.157521 0.781236 -0.559040 0.881757 0.611152 NA -0.731441 -0.091458 -0.711270 0.440873 0.008378 0.503280 -0.313741 -1.685432 -1.005366 1.092959 1.388510 0.853993 0.580770 -1.013674 -1.035448 -0.116606 -0.237234 2.538200 1.375980 -0.560588 -0.781854 -0.188066 0.162703 0.779952 4.570506 0.000000
5 0.369785 -0.384149 -1.286435 -0.251863 -0.892574 1.151301 -0.416512 -0.109119 -0.752189 0.010272 1.689473 0.108616 -1.368850 -0.800814 -0.520338 0.150499 -0.249878 -1.720159 NA 0.221743 -0.961493 1.846281 -1.173038 -0.414921 -1.263444 0.962731 -1.612662 0.189762 -0.465409 -1.033894 -0.420200 -0.359314 -0.429547 1.274373 -1.653090 -0.618919 -0.539871 -0.546076 -2.950388 0.759804 -0.630896 -1.164283 -0.572993 -1.357077 -1.366422 -0.188983 0.224361 NA 1.266127 -0.965283 -0.547480 -0.309280 0.196926 0.302383 0.242596 0.492004 -0.633021 NA 0.816019 0.107592 5.154476 0.000000
6 -0.102669 0.078547 0.282233 -1.611231 1.190972 -0.319529 0.432721 -0.998734 -0.507200 NA -0.443833 0.596611 -0.057671 0.734894 NA -0.584291 -0.194054 1.429829 -0.587812 NA 1.516289 0.118576 -1.014485 -2.121793 1.287557 NA 1.023408 0.483841 -0.027360 -0.439279 1.427994 2.396541 -0.784348 -0.892946 -0.110676 0.770262 1.457437 0.502958 -0.542156 1.518856 0.577970 0.188425 -1.156107 0.785250 -0.989456 -1.679451 -1.150347 1.202565 -0.081113 -1.673068 0.220421 -1.041213 1.003981 -0.398237 0.915734 1.955559 -0.917760 -1.735383 -0.493126 -0.826056 0.841981 1.000000
7 0.134391 -0.645099 -0.372918 -0.977267 1.359565 0.858584 NA 0.003570 1.088440 -0.720454 0.500661 -1.088624 -0.600383 0.134228 0.881613 0.300402 0.127518 0.354463 0.887523 NA -0.310794 -1.642403 0.200577 -1.042148 1.238323 -1.556640 -0.754138 -0.960952 -0.873930 -0.243158 0.091044 -0.149304 1.279034 -0.603641 -0.153647 0.116311 -1.007401 0.976203 -0.488858 -1.726008 0.709210 1.331500 0.859918 -1.733826 NA 0.717113 0.473840 0.766608 -0.180044 0.701368 -0.322350 0.750951 0.582068 0.639303 1.583540 -0.037207 -2.109615 -0.273221 -0.308957 -1.943887 0.307778 1.000000
8 -0.673897 -1.477347 0.168529 -0.266684 -1.206835 -0.142027 0.237694 0.744571 NA -0.026549 -0.255437 0.745460 0.605184 0.006913 0.448487 -0.846786 -0.452677 -1.620397 0.758927 -0.726646 -0.118855 -0.868234 0.637627 -0.463713 -1.026165 -0.306697 -0.375106 -0.116502 NA 1.225333 -0.789349 0.261875 0.394635 0.469511 -0.445919 -0.888102 NA -2.327024 0.412525 -0.556252 -0.638324 1.888421 -1.724913 -0.533110 0.177079 NA 0.033795 1.268663 0.668538 -0.251701 -0.331306 2.324784 -0.168073 -0.943465 -0.570918 0.316115 1.221314 -0.532746 0.568173 0.182449 11.987578 0.000000
9 1.320848 -0.449739 -0.695174 1.922456 0.083823 -0.256790 NA -0.699277 -1.366807 0.972784 -0.679163 -0.582126 0.282386 -1.228855 -0.202057 0.246362 -0.347590 0.797858 -0.607800 2.311380 -0.374765 -0.996836 -1.372229 -0.105564 1.988221 -0.598283 NA -1.018929 -0.119020 2.855846 0.154392 -0.259203 -0.280140 0.186800 -1.574576 0.422990 0.623470 -2.052056 0.041127 -0.158723 -0.400571 -0.110665 -0.843372 -1.193668 -0.287088 -0.212230 0.270763 1.662621 -0.107513 1.467174 1.818786 0.675458 NA -0.410423 NA 0.078814 1.070243 NA 0.616049 0.528427 0.070608 1.000000
10 0.736124 0.513535 0.052319 -1.163147 0.709000 0.229253 NA 0.596211 0.622466 -1.925541 0.174308 -1.611393 -1.136028 0.003390 -1.925352 -0.894087 -2.239358 0.863289 0.801409 NA -0.578436 NA -1.240340 0.861742 NA -1.031195 -1.502187 -0.217208 -0.019660 -0.208385 -0.404092 0.592312 0.390453 -0.442414 1.507628 -1.031187 1.303181 0.136621 1.899221 -0.367419 1.945283 -0.361020 0.186948 -0.184377 0.392066 -0.049632 1.761636 -0.716657 1.778973 -0.839924 1.721027 0.104478 0.361927 0.669394 -0.454053 1.614560 0.147060 0.261939 -0.152369 0.137050 0.779786 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.500000
   risk 1: beta[2]=0.500000
   risk 1: beta[3]=0.500000
   risk 1: beta[4]=0.500000
   risk 1: beta[5]=0.500000
   risk 1: beta[6]=-0.500000
   risk 1: beta[7]=-0.500000
   risk 1: beta[8]=-0.500000
   risk 1: beta[9]=-0.500000
   risk 1: beta[10]=-0.500000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
   risk 1: beta[21]=0.000000
   risk 1: beta[22]=0.000000
   risk 1: beta[23]=0.000000
   risk 1: beta[24]=0.000000
   risk 1: beta[25]=0.000000
   risk 1: beta[26]=0.000000
   risk 1: beta[27]=0.000000
   risk 1: beta[28]=0.000000
   risk 1: beta[29]=0.000000
   risk 1: beta[30]=0.000000
   risk 1: beta[31]=0.000000
   risk 1: beta[32]=0.000000
   risk 1: beta[33]=0.000000
   risk 1: beta[34]=0.000000
   risk 1: beta[35]=0.000000
   risk 1: beta[36]=0.000000
   risk 1: beta[37]=0.000000
   risk 1: beta[38]=0.000000
   risk 1: beta[39]=0.000000
   risk 1: beta[40]=0.000000
   risk 1: beta[41]=0.000000
   risk 1: beta[42]=0.000000
   risk 1: beta[43]=0.000000
   risk 1: beta[44]=0.000000
   risk 1: beta[45]=0.000000
   risk 1: beta[46]=0.000000
   risk 1: beta[47]=0.000000
   risk 1: beta[48]=0.000000
   risk 1: beta[49]=0.000000
   risk 1: beta[50]=0.000000
   risk 1: beta[51]=0.000000
   risk 1: beta[52]=0.000000
   risk 1: beta[53]=0.000000
   risk 1: beta[54]=0.000000
   risk 1: beta[55]=0.000000
   risk 1: beta[56]=0.000000
   risk 1: beta[57]=0.000000
   risk 1: beta[58]=0.000000
   risk 1: beta[59]=0.000000
   risk 1: beta[60]=0.000000
uniform censoring on time interval [1.000000,12.000000]
