N=10
P=20
R=2
1 NA 1.156329 -1.045411 0.231423 0.436567 1.043723 -1.051227 0.588512 0.225223 -0.907464 -0.836916 -0.989864 -0.335974 -0.193049 -0.389599 0.054656 0.599199 0.992866 0.218877 0.514380 2.698422 1.000000
2 -1.975787 0.444289 -1.177560 0.586620 0.448916 -0.213999 -1.814397 0.695040 -0.380847 -0.282681 0.104491 -0.897103 -0.374403 0.194966 -0.055017 0.213773 -0.240104 NA 0.491582 0.015351 2.053563 1.000000
3 2.449161 1.679268 -0.261913 -0.182973 1.091866 1.490943 -1.272917 0.989235 -1.247585 0.940526 -0.342530 0.194490 -0.074122 1.625216 -0.057499 -1.807001 -1.289826 0.893976 0.024060 -0.396386 4.635171 1.000000
4 -0.177213 2.412315 NA -0.054252 1.050528 -0.776511 -2.155495 -0.233781 -0.462594 1.748822 0.224552 -0.834378 1.938642 0.423295 -0.499614 1.317919 3.156279 -1.821280 0.977659 0.073907 3.194527 0.000000
5 2.129397 -0.763438 0.808265 -0.788149 1.152756 0.484929 0.102949 -0.760322 2.279943 -1.399794 2.256551 0.878630 0.338448 1.030208 0.368867 0.581036 0.775649 -1.243173 2.880790 -0.276152 0.385084 1.000000
6 0.346391 -0.147201 -0.893567 2.370149 -0.282464 0.775125 -0.831049 0.620825 0.142604 NA 0.000087 0.699456 -0.914240 -0.242323 0.946403 0.316082 0.476267 0.785116 -2.089410 2.453842 7.715950 1.000000
7 2.012457 1.377746 1.108290 -0.027831 0.581597 0.244763 0.874323 -0.887242 0.304816 0.972213 -0.498169 -0.812396 -0.277993 0.753931 1.393423 0.236992 0.546847 -0.471418 -0.053330 0.422664 0.798303 1.000000
8 NA -0.158007 -0.466421 1.581392 -0.997033 0.036287 -1.280482 -0.923126 NA -0.113098 0.279799 -1.072781 -0.674836 1.305023 1.048512 0.530208 -0.617567 0.161682 1.632765 -0.143895 0.478693 1.000000
9 0.908733 2.161103 -0.484241 0.819138 0.249466 -0.791364 -1.192260 0.818269 1.533058 0.331142 -0.738751 1.512323 -0.202928 0.029153 -0.447237 0.644247 0.146274 -0.660908 1.189803 -0.835310 7.260073 0.000000
10 -0.807166 -1.437948 -1.101812 0.851280 0.194426 2.421880 0.969319 -2.339146 -2.246631 -1.067593 -1.129050 0.328401 0.593261 -0.736123 1.284360 0.211412 2.100797 -2.388556 -0.972158 1.080676 1.990418 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.000000
   risk 1: beta[2]=0.000000
   risk 1: beta[3]=0.000000
   risk 1: beta[4]=0.000000
   risk 1: beta[5]=0.000000
   risk 1: beta[6]=0.000000
   risk 1: beta[7]=0.000000
   risk 1: beta[8]=0.000000
   risk 1: beta[9]=0.000000
   risk 1: beta[10]=0.000000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
uniform censoring on time interval [1.000000,12.000000]
