N=10
P=20
R=2
1 0.288726 0.103096 -0.264223 -1.260950 0.865479 0.074187 1.768136 -0.527427 -0.575681 0.214418 1.151453 -0.395470 0.285317 -1.952094 -1.307712 2.315807 1.066529 -1.346415 -1.032143 -1.983752 1.079513 1.000000
2 0.305267 -0.384478 -1.092306 2.506173 0.956124 -1.160152 NA -1.501683 0.520723 0.226351 -0.942313 -2.865670 0.112885 -0.447494 -0.308174 -0.930869 1.969505 1.209892 -0.486605 0.455240 4.452604 1.000000
3 0.147563 -0.008879 -0.474708 -0.150812 -0.292623 -1.279118 0.584146 0.619582 1.153496 1.154991 -0.478120 0.597098 -0.505299 -0.848475 0.660045 -0.617473 -0.511833 NA -1.285127 NA 2.369853 1.000000
4 -0.656468 0.560052 0.405244 0.413744 1.445731 -0.522378 -0.636312 1.804679 -0.277325 0.938300 0.877646 0.263330 0.514877 1.171220 -0.185625 -0.169265 0.549462 0.608048 0.305245 NA 8.134063 0.000000
5 -1.171628 NA 1.674255 0.471157 -1.061620 -0.075642 -0.032439 0.417830 -0.045143 0.953763 NA 2.183135 0.562265 NA -0.362806 1.019132 -0.796851 0.697717 NA -2.034176 3.118427 1.000000
6 -1.167023 -0.028182 -0.094712 0.126410 1.354105 0.304711 0.555026 -0.604335 -0.987912 0.643415 0.957525 -0.326706 -1.145833 -0.581847 NA 0.120529 1.842148 -0.160259 -1.645716 -0.811130 2.576720 1.000000
7 -0.289518 0.177319 0.245350 -0.993966 -0.878596 -0.915913 1.817202 NA NA -1.291518 -0.682862 -1.505386 0.675456 1.942160 -0.574364 1.958762 -0.653574 -0.593337 -1.997692 0.246658 1.042542 1.000000
8 -1.104661 1.152383 -0.125225 -0.140767 NA 1.271289 0.177861 -2.124989 -0.923875 -0.200697 0.552399 1.250732 1.420722 -0.607395 -0.918141 -0.158484 -0.528981 1.144929 -0.026496 -2.120898 2.705518 1.000000
9 -0.276367 -1.560810 1.764095 -0.216717 -1.066119 0.187909 0.171473 NA -0.940783 -0.631339 0.910449 -0.170297 -1.027866 -0.239708 -1.211131 0.926578 -0.688792 1.039657 0.430203 0.437282 0.208396 1.000000
10 -0.542685 -0.872260 -0.142158 -1.131860 NA 0.177333 0.223070 -0.430949 1.890795 NA -0.500805 0.665200 0.958582 -1.226255 0.535842 NA 1.603037 -0.973854 -2.059325 1.418901 1.045354 0.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.000000
   risk 1: beta[2]=0.000000
   risk 1: beta[3]=0.000000
   risk 1: beta[4]=0.000000
   risk 1: beta[5]=0.000000
   risk 1: beta[6]=0.000000
   risk 1: beta[7]=0.000000
   risk 1: beta[8]=0.000000
   risk 1: beta[9]=0.000000
   risk 1: beta[10]=0.000000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
uniform censoring on time interval [1.000000,12.000000]
