N=10
P=40
R=2
1 0.563006 0.365711 0.747785 0.651762 -0.905615 0.913388 0.326740 2.045757 0.701257 -1.163262 -0.335270 -0.916765 0.816282 0.211267 -1.993135 1.860405 1.543315 -0.629352 -0.143204 0.951088 0.344511 0.210279 -1.603779 -0.938999 1.931289 -0.925495 -0.047965 0.293481 -0.590467 -0.946490 -1.766898 0.186925 -1.908149 0.219915 0.974715 0.436285 -0.409632 0.191680 -0.303604 1.036421 0.193485 1.000000
2 1.193547 0.357005 NA 1.030163 1.221110 -0.289640 0.599362 2.241259 -0.034185 0.276175 -0.824771 1.832438 0.184376 0.131442 0.434820 1.010074 0.713292 -0.499769 0.128113 -1.159802 -1.558757 -1.131203 -0.984468 -1.475460 0.632582 0.069825 0.010691 0.240093 -0.334222 -1.445798 0.179879 0.198921 -1.164681 0.631349 -0.543149 0.843130 0.248389 -1.306019 0.176263 1.138728 0.463921 1.000000
3 -0.676309 -1.238578 -0.282514 NA 0.567431 -1.041364 -0.980518 1.461615 0.209695 0.617262 0.709545 -1.329318 1.054087 1.140477 -2.660158 0.408888 -0.470110 -0.802764 -1.486486 1.365493 0.743693 0.290352 1.425056 -1.117300 2.221874 0.086053 -1.408710 1.391111 0.223217 NA 1.201134 1.292430 -0.695518 1.328811 0.613521 NA 0.528951 0.408687 -0.761061 -0.992696 1.204994 1.000000
4 0.560057 1.098902 -0.851245 1.262288 NA -1.141064 0.644067 -0.349749 NA -1.051778 0.881386 NA -1.684704 -1.369072 0.917055 -0.999028 0.440318 -0.828491 0.893786 0.924882 -0.577530 0.833240 0.414115 0.262221 0.679532 -0.541242 NA 1.835679 0.364417 -0.299210 1.280036 -0.684331 1.484300 0.660042 -0.503582 -0.538339 0.135806 -0.005231 0.588673 0.801610 2.198877 1.000000
5 0.245894 0.386352 0.866069 1.773147 -1.268187 -1.517991 0.346734 1.114066 0.637268 -1.012295 NA -0.182162 -0.410985 0.714011 -0.213841 -1.116773 NA -0.070384 0.242067 -0.115080 1.536358 -1.651339 -0.694327 1.561890 -0.854085 -0.546359 -0.419908 -1.115406 0.185181 -0.975504 1.906687 -0.121252 -0.401749 -1.254259 -1.507208 -1.385501 0.798327 -0.552842 2.121303 0.229341 2.034017 0.000000
6 0.786075 -0.135233 -0.486162 -1.674377 1.564326 1.101917 0.686280 -0.288037 -2.115623 -0.859347 -0.431325 -2.068973 0.754945 0.812933 0.123693 0.901819 0.028779 1.635810 0.921070 0.566592 NA 0.898566 NA -0.484319 0.431033 0.162958 1.022714 0.066595 0.438811 -0.309671 0.871459 -0.235900 -1.705546 0.520381 -1.646064 -0.517141 -0.580981 -0.746231 2.288581 0.641424 4.402292 0.000000
7 -0.776483 1.181563 0.991213 -1.010948 -0.083810 0.138298 1.437181 0.182536 0.482059 1.761241 NA 2.515993 -0.750461 -0.267627 0.689402 -0.434964 1.782322 1.368690 -0.728517 -0.107747 0.756065 1.028815 0.093257 1.528000 -0.841138 NA -1.070796 0.326971 2.348843 0.910014 1.550729 0.971906 NA NA 0.957140 0.421573 1.030464 -1.298282 -1.818242 0.344856 6.814173 1.000000
8 -2.072311 0.470623 -0.430465 -0.017051 NA -0.377652 0.118659 -0.637643 0.223536 -0.381205 -2.051032 -2.120914 -1.189451 -1.741121 0.482983 0.455203 -0.608499 0.510610 -0.831627 0.842368 1.012738 -0.008392 1.470336 -0.610003 -0.663998 -0.961923 1.092197 0.328568 NA -2.052580 1.237564 0.515994 -2.093095 -0.408554 0.639276 -1.081380 0.239441 1.627587 -0.374457 -0.731226 3.440385 1.000000
9 1.152988 NA 0.464376 1.061211 0.683861 0.675692 0.711875 -1.113214 -0.640349 0.504796 NA 0.213510 0.503907 0.527260 0.862919 -1.659021 -1.141263 1.365661 -1.544019 -0.389376 0.159227 -0.785925 -0.625196 0.722306 0.198691 -0.409878 0.256238 -0.336637 -0.624504 0.303542 0.584964 0.301602 2.581260 -0.876125 -1.768898 0.823401 -0.911543 1.028683 1.724893 -2.117899 3.305305 1.000000
10 0.908429 0.486956 -0.342221 -1.101643 -0.179288 0.125887 0.551202 1.571984 -0.812801 0.570133 -1.671415 -0.149626 0.085979 0.579133 -0.303277 1.167793 1.167557 NA -0.671628 -0.084637 -0.494285 -0.496723 -1.604260 0.772456 -0.677141 0.315199 -0.298772 0.464944 -1.316133 0.439861 0.312867 1.737730 -0.456292 -0.967282 -1.171949 -0.603409 -0.248509 -1.734603 0.931673 0.986740 0.149501 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.000000
   risk 1: beta[2]=0.000000
   risk 1: beta[3]=0.000000
   risk 1: beta[4]=0.000000
   risk 1: beta[5]=0.000000
   risk 1: beta[6]=0.000000
   risk 1: beta[7]=0.000000
   risk 1: beta[8]=0.000000
   risk 1: beta[9]=0.000000
   risk 1: beta[10]=0.000000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
   risk 1: beta[21]=0.000000
   risk 1: beta[22]=0.000000
   risk 1: beta[23]=0.000000
   risk 1: beta[24]=0.000000
   risk 1: beta[25]=0.000000
   risk 1: beta[26]=0.000000
   risk 1: beta[27]=0.000000
   risk 1: beta[28]=0.000000
   risk 1: beta[29]=0.000000
   risk 1: beta[30]=0.000000
   risk 1: beta[31]=0.000000
   risk 1: beta[32]=0.000000
   risk 1: beta[33]=0.000000
   risk 1: beta[34]=0.000000
   risk 1: beta[35]=0.000000
   risk 1: beta[36]=0.000000
   risk 1: beta[37]=0.000000
   risk 1: beta[38]=0.000000
   risk 1: beta[39]=0.000000
   risk 1: beta[40]=0.000000
uniform censoring on time interval [1.000000,12.000000]
