N=10
P=60
R=2
1 2.406712 0.858837 -0.273006 0.057971 -1.924723 NA 0.427046 -0.196225 2.396575 0.330222 0.134455 0.365023 NA 0.224122 1.230772 -1.087578 -0.621327 1.217220 1.053758 -1.049136 0.739033 0.082233 1.481099 0.846373 -0.447756 0.563323 NA 0.009310 0.061712 0.081551 NA 1.181466 0.742093 -0.836125 -0.375636 -0.127625 0.568140 0.251549 -0.127343 -1.288925 0.735376 -1.013404 -0.053901 0.716245 0.918574 NA 0.422554 0.038691 0.570186 -0.214488 -1.629004 0.740249 -1.228068 -0.022690 -1.188018 -2.038839 -1.609973 0.375731 0.503911 -1.545115 7.377435 1.000000
2 -0.323271 0.979279 0.725511 -1.879311 -0.576668 0.399792 2.493590 0.715199 1.053825 -1.221992 0.783271 NA -1.641388 1.455319 -0.200781 NA 0.490858 -1.093851 -1.211186 0.117035 0.515498 -0.737488 0.251656 1.002461 -0.232731 0.041072 0.265437 -0.906496 0.844595 NA -0.436123 0.707108 0.074667 1.451684 1.121175 -0.406483 0.311908 1.672580 -0.025324 -1.017215 0.076128 -0.431986 -0.695210 0.398649 0.540140 -1.168292 0.329972 -1.538896 -2.541159 -0.693388 -0.835373 0.073260 -0.156403 0.746709 0.540287 -1.231402 NA 1.846434 -1.147173 -1.083576 6.073975 1.000000
3 0.423299 1.815413 -0.875016 1.081697 -2.040164 0.176103 0.555440 -0.986903 0.017383 -0.371760 0.349846 1.763109 -0.139257 2.932439 -0.935796 -0.701839 0.968930 -1.130527 -1.716710 -1.200518 -1.301072 -0.017709 -0.440771 -1.878464 -1.083378 0.962567 0.824294 -1.605558 -0.514093 0.711438 -0.033266 0.261900 0.801585 0.275068 -1.312899 -0.536037 -0.744253 -0.426142 0.457888 1.099332 1.075390 -0.862292 -1.229443 -0.926466 0.335831 -0.151305 -0.492087 -0.344657 -0.658431 0.286916 -0.457317 0.699392 -0.073213 0.204233 -0.243431 0.177533 0.776031 0.018827 0.917277 0.757944 0.184240 1.000000
4 0.763802 0.425062 -1.072016 -0.380379 -0.699718 0.961590 1.067143 NA -0.521338 0.884328 -0.348624 NA 1.051150 0.315214 0.291546 -0.061981 -0.141384 -0.153387 -0.599678 -1.044205 -0.374006 -0.335514 NA 1.067182 -0.952748 NA -1.156831 0.196749 NA 0.298086 -1.721501 0.562909 1.132645 NA 0.151718 0.878443 -0.778157 0.446630 NA -0.720959 1.421788 0.358625 -0.962709 0.740591 -1.068438 -0.624548 -0.377065 -0.337199 -0.231009 0.448862 -1.107730 1.004202 0.161422 0.556846 0.383823 -0.466902 0.463041 0.845278 -0.825073 -1.485318 5.023688 0.000000
5 1.557526 NA NA 0.323192 0.752548 0.059684 -3.170059 1.792297 -0.072052 NA 0.617508 1.107439 -1.728999 0.275522 0.528880 -0.129727 -1.261504 0.248165 0.090647 -1.902256 0.089157 -1.267741 0.042290 1.189438 -0.110983 0.914751 -0.769514 0.348814 -0.966024 -0.490780 -0.488431 -0.306972 0.752921 NA 2.229137 0.994225 -0.614081 0.323239 -2.374140 -0.101418 0.496181 -0.126782 0.273458 0.722610 -0.783889 0.824692 -0.150956 0.155733 -2.675676 1.497429 0.453543 -1.000332 0.107113 0.592683 -0.822677 -0.335984 0.110574 0.413407 -0.817587 1.535186 0.817196 1.000000
6 -0.001503 0.162119 0.011691 -0.138315 0.672967 1.772576 0.056939 0.634367 0.073855 -0.629916 -0.993834 0.136967 0.355656 -0.045017 NA 0.321988 -0.765396 -1.402460 1.284019 0.686451 -1.951841 0.584650 -0.872960 0.314925 0.119881 1.461909 -1.151398 -0.216422 -0.853597 -1.058876 1.356694 -1.236686 -0.944958 0.720378 -2.777585 1.052772 -2.244565 -0.179454 NA -0.251280 1.742901 0.152248 -1.483553 -1.192879 1.059220 -1.205419 -0.125702 -0.366053 -1.108649 0.702852 -0.520437 -0.202773 -0.485452 -0.890779 NA -0.584994 -1.514692 -3.227454 -1.780389 -1.037172 8.900837 0.000000
7 NA -2.106286 -0.969501 0.970388 -1.070591 0.032438 0.898768 -0.855861 -0.469383 -1.173804 -1.043275 0.354829 -1.145581 1.242422 0.429532 0.789013 -0.426178 0.874102 -1.319508 -0.549568 -0.585633 0.184699 -1.746140 0.305420 -0.782724 NA -1.334059 0.729751 -1.676443 -0.375083 NA 1.007156 NA -0.850474 0.022052 0.591794 0.427910 -0.726411 0.519643 0.085054 0.428099 0.700705 NA -0.536997 -1.694631 NA 0.528359 0.854529 -0.402671 NA 1.108671 -2.135071 0.637785 -0.681816 0.749476 0.307687 -1.148580 1.114197 2.375841 -0.848823 9.275389 0.000000
8 -1.185921 0.760513 0.406241 -0.688716 -0.659359 -0.489825 0.592428 -0.361373 -2.720403 0.723304 -0.616363 1.275664 0.835065 -0.099995 0.004088 -2.224059 -0.395124 1.871102 0.137128 0.629970 1.838820 0.483176 0.755172 0.452089 -0.276894 -0.707713 -0.460506 1.203045 1.319435 0.154348 0.996611 -0.923273 -2.269942 0.228425 1.227993 -0.821408 -1.716828 2.022840 -0.278981 -0.196320 0.199002 2.451867 -0.221000 -1.793816 0.513908 -1.350856 -1.629517 1.008193 0.930868 -0.632539 -1.863246 0.353371 -0.734943 -0.220422 -1.656679 0.285940 -1.235075 -1.034148 NA 0.260637 2.181361 1.000000
9 -0.502270 2.027398 0.828822 -0.234951 0.291540 NA 1.229005 0.300390 -0.382433 -0.587022 -0.356877 0.948533 0.059853 -0.163359 0.738306 0.690765 -0.398299 -0.240390 0.050497 -2.127564 1.547890 -0.214151 1.301902 -0.946624 0.335376 -0.071918 1.358225 1.305857 0.348483 0.085261 -0.591322 NA -0.626890 0.284958 1.006573 -0.425813 0.601222 -1.860956 -2.275314 1.502782 0.846465 0.701899 2.104031 -0.620269 0.325815 -1.005136 -0.192923 NA -0.438466 0.203898 -0.635949 -0.201373 0.504550 -0.674241 -1.123634 -0.225781 0.350488 -0.857160 -0.965445 2.293810 0.368050 1.000000
10 -1.912687 2.007046 -1.095691 -0.123912 0.592600 -0.011702 0.241415 -0.671362 -1.258962 -1.785873 2.533873 0.632247 0.853488 1.383920 -0.280559 -0.676054 -0.562398 -0.213071 -0.288389 NA 0.120506 -0.385920 0.182788 0.898367 0.983122 1.352741 0.137631 0.224329 0.700147 -1.733702 0.313830 -1.432742 0.594242 -1.563952 -1.082789 0.121288 -0.314174 1.408267 0.510244 0.146678 -0.640740 1.120652 0.432796 -0.129981 -0.277637 0.185696 0.238637 -0.015720 -0.481568 1.077583 NA 0.470718 -0.641810 0.212323 0.303332 -0.029088 -0.910235 -0.632977 0.408040 -0.824875 0.274152 1.000000
uncorrelated Gaussian covariates
missing covariate fraction: 0.050000
no latent classes
   lambda(t|risk 1)=C, <t>=4.000000 for zero covariates
   risk 1: beta[1]=0.500000
   risk 1: beta[2]=0.500000
   risk 1: beta[3]=0.500000
   risk 1: beta[4]=0.500000
   risk 1: beta[5]=0.500000
   risk 1: beta[6]=-0.500000
   risk 1: beta[7]=-0.500000
   risk 1: beta[8]=-0.500000
   risk 1: beta[9]=-0.500000
   risk 1: beta[10]=-0.500000
   risk 1: beta[11]=0.000000
   risk 1: beta[12]=0.000000
   risk 1: beta[13]=0.000000
   risk 1: beta[14]=0.000000
   risk 1: beta[15]=0.000000
   risk 1: beta[16]=0.000000
   risk 1: beta[17]=0.000000
   risk 1: beta[18]=0.000000
   risk 1: beta[19]=0.000000
   risk 1: beta[20]=0.000000
   risk 1: beta[21]=0.000000
   risk 1: beta[22]=0.000000
   risk 1: beta[23]=0.000000
   risk 1: beta[24]=0.000000
   risk 1: beta[25]=0.000000
   risk 1: beta[26]=0.000000
   risk 1: beta[27]=0.000000
   risk 1: beta[28]=0.000000
   risk 1: beta[29]=0.000000
   risk 1: beta[30]=0.000000
   risk 1: beta[31]=0.000000
   risk 1: beta[32]=0.000000
   risk 1: beta[33]=0.000000
   risk 1: beta[34]=0.000000
   risk 1: beta[35]=0.000000
   risk 1: beta[36]=0.000000
   risk 1: beta[37]=0.000000
   risk 1: beta[38]=0.000000
   risk 1: beta[39]=0.000000
   risk 1: beta[40]=0.000000
   risk 1: beta[41]=0.000000
   risk 1: beta[42]=0.000000
   risk 1: beta[43]=0.000000
   risk 1: beta[44]=0.000000
   risk 1: beta[45]=0.000000
   risk 1: beta[46]=0.000000
   risk 1: beta[47]=0.000000
   risk 1: beta[48]=0.000000
   risk 1: beta[49]=0.000000
   risk 1: beta[50]=0.000000
   risk 1: beta[51]=0.000000
   risk 1: beta[52]=0.000000
   risk 1: beta[53]=0.000000
   risk 1: beta[54]=0.000000
   risk 1: beta[55]=0.000000
   risk 1: beta[56]=0.000000
   risk 1: beta[57]=0.000000
   risk 1: beta[58]=0.000000
   risk 1: beta[59]=0.000000
   risk 1: beta[60]=0.000000
uniform censoring on time interval [1.000000,12.000000]
