covariate 1:   name=covariate1, type=float, missing=  0 of 200, average=-0.051682, stdev=1.014079, range=[-3.039989,2.843286], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 200, average=0.035021, stdev=1.147188, range=[-2.979907,2.786997], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 200, average=0.040880, stdev=0.938732, range=[-2.557589,3.237460], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 200, average=0.026319, stdev=1.005883, range=[-2.268423,2.439764], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 200, average=-0.035369, stdev=0.864091, range=[-2.826409,2.478590], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 200, average=0.022942, stdev=1.016336, range=[-3.110040,2.797328], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 200, average=0.090620, stdev=0.993799, range=[-2.748496,2.811054], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 200, average=-0.034922, stdev=1.006046, range=[-3.799977,3.314506], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 200, average=0.095189, stdev=1.000620, range=[-2.790760,2.609355], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 200, average=0.007990, stdev=0.989566, range=[-2.363740,3.144657], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 200, average=0.014372, stdev=1.030591, range=[-3.487198,2.890161], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 200, average=0.017894, stdev=1.004232, range=[-2.693022,3.264565], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 200, average=-0.043183, stdev=0.992956, range=[-3.028285,2.486854], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 200, average=-0.049082, stdev=0.975645, range=[-2.937849,2.123317], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 200, average=0.075957, stdev=0.890418, range=[-2.880097,2.178636], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 200, average=0.009732, stdev=0.923537, range=[-2.641345,2.605704], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 200, average=-0.050202, stdev=1.080972, range=[-3.329076,2.521060], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 200, average=-0.004699, stdev=1.027150, range=[-2.711087,2.870242], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 200, average=-0.002747, stdev=1.030581, range=[-3.097700,3.817546], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 200, average=-0.065359, stdev=1.108407, range=[-4.285723,2.457818], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 200, average=0.035540, stdev=0.980221, range=[-2.647886,2.459221], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 200, average=0.022989, stdev=1.014337, range=[-2.557991,2.750352], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 200, average=0.107480, stdev=1.002904, range=[-2.611846,2.268225], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 200, average=-0.002265, stdev=0.980304, range=[-2.584855,2.285469], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 200, average=0.103269, stdev=0.994065, range=[-2.731099,2.833309], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 200, average=-0.134261, stdev=1.003228, range=[-2.657960,2.402978], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 200, average=0.109776, stdev=0.994952, range=[-3.012989,3.265241], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 200, average=-0.081439, stdev=1.082807, range=[-2.946057,2.962179], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 200, average=-0.064522, stdev=0.977157, range=[-2.956791,2.930607], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 200, average=0.008271, stdev=0.984733, range=[-2.461135,2.775607], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 200, average=0.011639, stdev=0.978972, range=[-2.787343,2.708621], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 200, average=-0.050531, stdev=0.994360, range=[-3.314849,2.369602], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 200, average=0.107478, stdev=1.019767, range=[-2.738330,2.977529], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 200, average=0.035134, stdev=1.011079, range=[-2.725007,3.411878], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 200, average=-0.028533, stdev=1.032768, range=[-3.253306,2.583514], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 200, average=-0.057515, stdev=0.974231, range=[-3.363666,2.389010], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 200, average=0.030732, stdev=0.935593, range=[-2.724752,2.281771], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 200, average=0.071352, stdev=1.059254, range=[-2.610326,4.742885], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 200, average=-0.036947, stdev=0.940314, range=[-2.364350,2.512114], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 200, average=0.055587, stdev=1.084773, range=[-3.022525,3.259312], active=1
covariate 41:  name=covariate41, type=float, missing=  0 of 200, average=0.010655, stdev=0.881874, range=[-2.923846,2.419084], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of 200, average=-0.002144, stdev=1.093120, range=[-2.310829,3.870634], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of 200, average=-0.035627, stdev=0.974138, range=[-2.536595,3.053709], active=1
