covariate 1:   name=covariate1, type=float, missing=  0 of 200, average=-0.062691, stdev=1.022625, range=[-3.127696,2.736511], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 200, average=-0.070191, stdev=1.045431, range=[-2.633557,2.908135], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 200, average=0.039760, stdev=0.884244, range=[-2.950260,2.460949], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 200, average=0.033706, stdev=0.903834, range=[-2.798223,2.477860], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 200, average=-0.106524, stdev=1.003156, range=[-2.793241,2.496857], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 200, average=-0.016210, stdev=0.954537, range=[-2.508144,2.515487], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 200, average=0.023434, stdev=1.116172, range=[-3.073629,3.172565], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 200, average=-0.087890, stdev=1.006153, range=[-3.161674,2.767630], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 200, average=0.006394, stdev=1.020600, range=[-2.702035,2.881692], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 200, average=0.099197, stdev=1.111881, range=[-2.600964,2.769775], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 200, average=0.003461, stdev=1.063356, range=[-3.115043,2.770606], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 200, average=-0.062603, stdev=1.031777, range=[-2.302133,2.238265], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 200, average=0.075717, stdev=1.007829, range=[-2.394135,3.430416], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 200, average=0.103478, stdev=0.981294, range=[-2.457401,2.488493], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 200, average=0.116986, stdev=1.000596, range=[-2.750327,2.824167], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 200, average=-0.079082, stdev=0.964794, range=[-2.681627,2.735557], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 200, average=-0.004034, stdev=1.037181, range=[-2.706549,3.890731], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 200, average=-0.126045, stdev=1.005479, range=[-3.124506,2.330765], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 200, average=0.006659, stdev=0.929198, range=[-2.455952,2.676017], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 200, average=0.016318, stdev=1.025829, range=[-4.071149,2.998704], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 200, average=-0.017007, stdev=1.047407, range=[-2.836243,2.850548], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 200, average=-0.021228, stdev=0.915071, range=[-2.312212,2.606634], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 200, average=0.042146, stdev=0.990906, range=[-2.407440,2.501545], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 200, average=-0.007237, stdev=0.972778, range=[-2.470951,2.669043], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 200, average=0.030791, stdev=1.008135, range=[-2.959529,2.883035], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 200, average=0.004038, stdev=1.054452, range=[-2.759507,3.292205], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 200, average=0.014999, stdev=1.020800, range=[-2.628892,3.400701], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 200, average=0.047117, stdev=1.004004, range=[-3.391862,2.681253], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 200, average=-0.159292, stdev=0.938568, range=[-2.599799,3.933968], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 200, average=-0.003168, stdev=1.078151, range=[-2.950713,2.611174], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 200, average=0.064236, stdev=0.950674, range=[-2.215357,2.540701], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 200, average=0.172545, stdev=1.001889, range=[-2.361090,2.608736], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 200, average=0.048875, stdev=0.984429, range=[-2.694009,2.603881], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 200, average=-0.108334, stdev=0.982539, range=[-2.670159,2.713167], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 200, average=-0.026348, stdev=1.073618, range=[-2.971723,3.209114], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 200, average=0.063776, stdev=0.918901, range=[-2.907282,2.516424], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 200, average=0.024724, stdev=1.040692, range=[-3.076165,3.113743], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 200, average=-0.079109, stdev=1.022130, range=[-2.544873,2.705927], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 200, average=-0.079861, stdev=1.034368, range=[-2.659344,2.471691], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 200, average=0.039249, stdev=0.991770, range=[-2.294916,2.849732], active=1
covariate 41:  name=covariate41, type=float, missing=  0 of 200, average=0.164042, stdev=1.019389, range=[-2.281137,3.097481], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of 200, average=-0.028339, stdev=1.016247, range=[-2.732683,3.012624], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of 200, average=-0.022301, stdev=1.054005, range=[-2.686773,2.735622], active=1
covariate 44:  name=covariate44, type=float, missing=  0 of 200, average=0.004714, stdev=1.031030, range=[-3.013015,2.439816], active=1
covariate 45:  name=covariate45, type=float, missing=  0 of 200, average=-0.093199, stdev=1.062586, range=[-3.254337,2.647483], active=1
covariate 46:  name=covariate46, type=float, missing=  0 of 200, average=-0.026430, stdev=0.983877, range=[-2.123572,2.832790], active=1
covariate 47:  name=covariate47, type=float, missing=  0 of 200, average=0.020507, stdev=0.934898, range=[-2.483896,2.347514], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of 200, average=0.028155, stdev=1.004503, range=[-2.546172,3.055199], active=1
covariate 49:  name=covariate49, type=float, missing=  0 of 200, average=0.031979, stdev=0.937778, range=[-3.073568,2.646878], active=1
covariate 50:  name=covariate50, type=float, missing=  0 of 200, average=0.088019, stdev=1.023532, range=[-2.426877,3.028747], active=1
covariate 51:  name=covariate51, type=float, missing=  0 of 200, average=0.133006, stdev=1.020547, range=[-2.151373,2.922549], active=1
covariate 52:  name=covariate52, type=float, missing=  0 of 200, average=-0.071602, stdev=0.977705, range=[-2.948292,2.533666], active=1
covariate 53:  name=covariate53, type=float, missing=  0 of 200, average=0.033940, stdev=0.946773, range=[-2.981628,2.380173], active=1
covariate 54:  name=covariate54, type=float, missing=  0 of 200, average=-0.027031, stdev=0.943935, range=[-2.629145,2.145678], active=1
covariate 55:  name=covariate55, type=float, missing=  0 of 200, average=0.080930, stdev=1.063465, range=[-2.471106,3.143561], active=1
covariate 56:  name=covariate56, type=float, missing=  0 of 200, average=-0.033727, stdev=1.003648, range=[-2.849511,3.656931], active=1
covariate 57:  name=covariate57, type=float, missing=  0 of 200, average=-0.028481, stdev=0.925964, range=[-1.975573,2.472055], active=1
covariate 58:  name=covariate58, type=float, missing=  0 of 200, average=0.010942, stdev=1.003131, range=[-2.701852,2.479354], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of 200, average=-0.026808, stdev=1.009433, range=[-3.445630,2.731239], active=1
covariate 60:  name=covariate60, type=float, missing=  0 of 200, average=-0.059436, stdev=0.980685, range=[-3.250584,3.082684], active=1
covariate 61:  name=covariate61, type=float, missing=  0 of 200, average=-0.166687, stdev=0.978388, range=[-2.547617,2.412933], active=1
covariate 62:  name=covariate62, type=float, missing=  0 of 200, average=-0.000299, stdev=1.020073, range=[-2.255798,2.428246], active=1
covariate 63:  name=covariate63, type=float, missing=  0 of 200, average=0.164285, stdev=1.009663, range=[-2.277860,3.258678], active=1
covariate 64:  name=covariate64, type=float, missing=  0 of 200, average=-0.014771, stdev=0.984286, range=[-2.839451,2.218675], active=1
covariate 65:  name=covariate65, type=float, missing=  0 of 200, average=0.044750, stdev=0.956303, range=[-2.021128,2.705800], active=1
covariate 66:  name=covariate66, type=float, missing=  0 of 200, average=-0.068556, stdev=0.934523, range=[-2.660679,2.438425], active=1
covariate 67:  name=covariate67, type=float, missing=  0 of 200, average=-0.003153, stdev=1.011274, range=[-2.834344,2.199877], active=1
covariate 68:  name=covariate68, type=float, missing=  0 of 200, average=0.024417, stdev=0.993642, range=[-3.168805,2.489994], active=1
covariate 69:  name=covariate69, type=float, missing=  0 of 200, average=-0.022776, stdev=0.940994, range=[-2.524169,2.468047], active=1
covariate 70:  name=covariate70, type=float, missing=  0 of 200, average=0.117357, stdev=0.982826, range=[-2.536497,3.862372], active=1
covariate 71:  name=covariate71, type=float, missing=  0 of 200, average=0.011353, stdev=1.049103, range=[-2.830951,3.053958], active=1
covariate 72:  name=covariate72, type=float, missing=  0 of 200, average=-0.061784, stdev=0.988797, range=[-2.402061,2.804422], active=1
covariate 73:  name=covariate73, type=float, missing=  0 of 200, average=-0.149125, stdev=1.020907, range=[-3.087691,2.276379], active=1
covariate 74:  name=covariate74, type=float, missing=  0 of 200, average=-0.022223, stdev=1.014603, range=[-3.269835,2.444463], active=1
covariate 75:  name=covariate75, type=float, missing=  0 of 200, average=0.067973, stdev=1.029683, range=[-2.503898,3.233958], active=1
covariate 76:  name=covariate76, type=float, missing=  0 of 200, average=-0.047217, stdev=1.045195, range=[-2.373777,2.694941], active=1
covariate 77:  name=covariate77, type=float, missing=  0 of 200, average=0.031534, stdev=0.951824, range=[-2.273570,2.904949], active=1
