covariate 1:   name=covariate1, type=float, missing=  3 of  50, average=0.052089, stdev=0.898611, range=[-2.603576,2.160114], active=1
covariate 2:   name=covariate2, type=float, missing=  3 of  50, average=0.213315, stdev=0.972779, range=[-2.422049,2.309053], active=1
covariate 3:   name=covariate3, type=float, missing=  4 of  50, average=-0.123758, stdev=0.844790, range=[-2.459501,1.546742], active=1
covariate 4:   name=covariate4, type=float, missing=  4 of  50, average=0.203692, stdev=0.999071, range=[-2.085090,2.374962], active=1
covariate 5:   name=covariate5, type=float, missing=  5 of  50, average=-0.249076, stdev=1.029153, range=[-2.146606,2.149519], active=1
covariate 6:   name=covariate6, type=float, missing=  3 of  50, average=0.262668, stdev=0.982764, range=[-1.704615,2.483984], active=1
covariate 7:   name=covariate7, type=float, missing=  2 of  50, average=0.086323, stdev=0.991476, range=[-1.693937,1.912252], active=1
covariate 8:   name=covariate8, type=float, missing=  2 of  50, average=-0.012365, stdev=1.128771, range=[-2.170796,2.530958], active=1
covariate 9:   name=covariate9, type=float, missing=  3 of  50, average=0.084406, stdev=0.987383, range=[-2.254701,2.511247], active=1
covariate 10:  name=covariate10, type=float, missing=  1 of  50, average=0.035976, stdev=0.868485, range=[-2.049077,1.851439], active=1
covariate 11:  name=covariate11, type=float, missing=  4 of  50, average=-0.198915, stdev=0.994568, range=[-3.351897,2.391593], active=1
covariate 12:  name=covariate12, type=float, missing=  4 of  50, average=0.218294, stdev=0.958721, range=[-2.110810,2.286567], active=1
covariate 13:  name=covariate13, type=float, missing=  3 of  50, average=0.047037, stdev=1.051595, range=[-2.424326,2.473208], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of  50, average=0.271930, stdev=0.977758, range=[-1.878290,2.225356], active=1
covariate 15:  name=covariate15, type=float, missing=  2 of  50, average=0.028624, stdev=0.870469, range=[-1.995490,1.967115], active=1
covariate 16:  name=covariate16, type=float, missing=  2 of  50, average=-0.108361, stdev=0.970051, range=[-3.481368,2.056633], active=1
covariate 17:  name=covariate17, type=float, missing=  2 of  50, average=-0.059359, stdev=0.977022, range=[-1.904008,2.386239], active=1
covariate 18:  name=covariate18, type=float, missing=  2 of  50, average=0.004500, stdev=1.092166, range=[-2.727429,1.946335], active=1
covariate 19:  name=covariate19, type=float, missing=  3 of  50, average=0.120702, stdev=0.942739, range=[-1.902500,2.583682], active=1
covariate 20:  name=covariate20, type=float, missing=  4 of  50, average=0.058349, stdev=0.975810, range=[-2.563036,1.982471], active=1
covariate 21:  name=covariate21, type=float, missing=  1 of  50, average=-0.142743, stdev=0.928018, range=[-2.688694,1.445648], active=1
covariate 22:  name=covariate22, type=float, missing=  3 of  50, average=0.068877, stdev=1.014851, range=[-2.741245,3.051741], active=1
covariate 23:  name=covariate23, type=float, missing=  1 of  50, average=-0.198582, stdev=0.810082, range=[-1.899181,1.550348], active=1
covariate 24:  name=covariate24, type=float, missing=  3 of  50, average=0.198557, stdev=0.990348, range=[-2.025218,2.205240], active=1
covariate 25:  name=covariate25, type=float, missing=  2 of  50, average=-0.294110, stdev=0.813472, range=[-1.919504,1.650952], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of  50, average=0.045403, stdev=1.016760, range=[-2.024838,2.472081], active=1
covariate 27:  name=covariate27, type=float, missing=  6 of  50, average=-0.238475, stdev=1.166613, range=[-3.548527,2.330310], active=1
covariate 28:  name=covariate28, type=float, missing=  4 of  50, average=0.242037, stdev=0.888663, range=[-1.223875,1.936728], active=1
covariate 29:  name=covariate29, type=float, missing=  4 of  50, average=-0.027546, stdev=1.097276, range=[-2.567908,2.752122], active=1
covariate 30:  name=covariate30, type=float, missing=  2 of  50, average=0.040900, stdev=1.015734, range=[-1.873151,2.044615], active=1
covariate 31:  name=covariate31, type=float, missing=  3 of  50, average=0.034247, stdev=0.878180, range=[-1.878697,2.879364], active=1
covariate 32:  name=covariate32, type=float, missing=  2 of  50, average=-0.009824, stdev=0.986861, range=[-2.071291,1.903331], active=1
covariate 33:  name=covariate33, type=float, missing=  4 of  50, average=0.058620, stdev=1.071697, range=[-2.045122,2.872873], active=1
covariate 34:  name=covariate34, type=float, missing=  4 of  50, average=-0.034345, stdev=1.078303, range=[-2.698375,1.778278], active=1
covariate 35:  name=covariate35, type=float, missing=  1 of  50, average=-0.085881, stdev=1.070632, range=[-3.015072,1.946256], active=1
covariate 36:  name=covariate36, type=float, missing=  6 of  50, average=0.217685, stdev=0.984408, range=[-1.416603,2.483858], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of  50, average=-0.046990, stdev=0.867137, range=[-1.685687,2.541372], active=1
covariate 38:  name=covariate38, type=float, missing=  2 of  50, average=-0.296068, stdev=0.841418, range=[-2.982189,1.227397], active=1
covariate 39:  name=covariate39, type=float, missing=  1 of  50, average=0.033153, stdev=1.096599, range=[-2.353914,2.489313], active=1
covariate 40:  name=covariate40, type=float, missing=  1 of  50, average=0.050512, stdev=1.038324, range=[-2.475259,2.030324], active=1
covariate 41:  name=covariate41, type=float, missing=  2 of  50, average=-0.081159, stdev=0.910135, range=[-2.180050,1.784783], active=1
covariate 42:  name=covariate42, type=float, missing=  2 of  50, average=0.242288, stdev=0.742099, range=[-1.203050,2.407329], active=1
covariate 43:  name=covariate43, type=float, missing=  2 of  50, average=-0.006744, stdev=0.979863, range=[-2.372738,2.017164], active=1
covariate 44:  name=covariate44, type=float, missing=  4 of  50, average=-0.039164, stdev=0.929682, range=[-2.369146,3.000884], active=1
covariate 45:  name=covariate45, type=float, missing=  7 of  50, average=0.040642, stdev=0.901488, range=[-1.558498,2.149431], active=1
covariate 46:  name=covariate46, type=float, missing=  3 of  50, average=0.050617, stdev=0.958663, range=[-3.034139,1.938101], active=1
covariate 47:  name=covariate47, type=float, missing=  3 of  50, average=0.025160, stdev=0.950377, range=[-2.115817,1.926580], active=1
covariate 48:  name=covariate48, type=float, missing=  1 of  50, average=-0.090998, stdev=1.152340, range=[-2.819397,2.797965], active=1
covariate 49:  name=covariate49, type=float, missing=  3 of  50, average=-0.302730, stdev=0.979391, range=[-2.474929,1.794090], active=1
covariate 50:  name=covariate50, type=float, missing=  3 of  50, average=0.012855, stdev=0.808848, range=[-2.065111,1.827424], active=1
covariate 51:  name=covariate51, type=float, missing=  1 of  50, average=0.106019, stdev=0.985095, range=[-3.163654,1.854396], active=1
covariate 52:  name=covariate52, type=float, missing=  2 of  50, average=0.309509, stdev=1.133756, range=[-2.888287,3.244232], active=1
covariate 53:  name=covariate53, type=float, missing=  2 of  50, average=0.011957, stdev=0.992796, range=[-2.884339,1.893503], active=1
covariate 54:  name=covariate54, type=float, missing=  1 of  50, average=-0.019970, stdev=0.964232, range=[-2.415570,2.283363], active=1
covariate 55:  name=covariate55, type=float, missing=  2 of  50, average=-0.012445, stdev=0.930067, range=[-3.145551,1.634680], active=1
covariate 56:  name=covariate56, type=float, missing=  5 of  50, average=-0.297620, stdev=0.990109, range=[-2.553156,1.419863], active=1
covariate 57:  name=covariate57, type=float, missing=  4 of  50, average=0.008946, stdev=0.903193, range=[-1.656274,1.790641], active=1
covariate 58:  name=covariate58, type=float, missing=  5 of  50, average=-0.105974, stdev=1.092380, range=[-2.313613,2.414748], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of  50, average=-0.119895, stdev=0.907665, range=[-1.913501,1.786584], active=1
covariate 60:  name=covariate60, type=float, missing=  6 of  50, average=-0.115222, stdev=1.186759, range=[-2.733162,2.259922], active=1
covariate 61:  name=covariate61, type=float, missing=  3 of  50, average=0.058172, stdev=0.813330, range=[-1.805229,1.648600], active=1
covariate 62:  name=covariate62, type=float, missing=  1 of  50, average=0.203310, stdev=1.146262, range=[-1.698922,2.716481], active=1
covariate 63:  name=covariate63, type=float, missing=  1 of  50, average=0.165191, stdev=0.978478, range=[-1.625540,2.833646], active=1
covariate 64:  name=covariate64, type=float, missing=  2 of  50, average=0.055433, stdev=1.043193, range=[-1.890803,1.940259], active=1
covariate 65:  name=covariate65, type=float, missing=  4 of  50, average=-0.154026, stdev=1.006015, range=[-2.194910,1.985595], active=1
covariate 66:  name=covariate66, type=float, missing=  3 of  50, average=0.003012, stdev=1.089676, range=[-1.785794,2.630852], active=1
covariate 67:  name=covariate67, type=float, missing=  3 of  50, average=0.148956, stdev=1.137818, range=[-1.548489,2.751277], active=1
covariate 68:  name=covariate68, type=float, missing=  4 of  50, average=-0.195629, stdev=1.051345, range=[-3.453000,3.013708], active=1
covariate 69:  name=covariate69, type=float, missing=  3 of  50, average=0.071344, stdev=1.007032, range=[-2.322269,3.393228], active=1
covariate 70:  name=covariate70, type=float, missing=  2 of  50, average=0.211639, stdev=0.903608, range=[-2.395764,2.195065], active=1
covariate 71:  name=covariate71, type=float, missing=  3 of  50, average=0.136920, stdev=0.989702, range=[-2.498286,2.114723], active=1
covariate 72:  name=covariate72, type=float, missing=  0 of  50, average=-0.009153, stdev=1.106559, range=[-2.423980,2.441735], active=1
covariate 73:  name=covariate73, type=float, missing=  1 of  50, average=-0.047405, stdev=1.123834, range=[-2.210126,2.843030], active=1
covariate 74:  name=covariate74, type=float, missing=  3 of  50, average=-0.077663, stdev=0.894360, range=[-1.777352,1.636343], active=1
covariate 75:  name=covariate75, type=float, missing=  5 of  50, average=0.105501, stdev=0.939285, range=[-2.116964,1.753192], active=1
covariate 76:  name=covariate76, type=float, missing=  1 of  50, average=-0.192259, stdev=0.995024, range=[-2.228063,2.070164], active=1
covariate 77:  name=covariate77, type=float, missing=  2 of  50, average=-0.085072, stdev=0.886895, range=[-2.156442,1.855549], active=1
covariate 78:  name=covariate78, type=float, missing=  6 of  50, average=0.041112, stdev=1.000612, range=[-1.934781,2.428310], active=1
covariate 79:  name=covariate79, type=float, missing=  3 of  50, average=0.155299, stdev=0.848479, range=[-1.860933,2.096370], active=1
covariate 80:  name=covariate80, type=float, missing=  3 of  50, average=-0.022720, stdev=0.992137, range=[-2.449379,1.761858], active=1
