covariate 1:   type=float, missing=  3 of  50, average=0.060132, stdev=1.032338, range=[-2.414652,2.124164], active=1
covariate 2:   type=float, missing=  4 of  50, average=-0.008049, stdev=0.912040, range=[-2.072699,1.869360], active=1
covariate 3:   type=float, missing=  4 of  50, average=0.217446, stdev=0.861670, range=[-1.932284,1.645218], active=1
covariate 4:   type=float, missing=  4 of  50, average=-0.037224, stdev=0.804841, range=[-2.118617,1.916265], active=1
covariate 5:   type=float, missing=  0 of  50, average=-0.142424, stdev=0.828044, range=[-1.997943,1.616081], active=1
covariate 6:   type=float, missing=  0 of  50, average=-0.112622, stdev=0.963768, range=[-2.554019,2.132561], active=1
covariate 7:   type=float, missing=  1 of  50, average=-0.016280, stdev=1.056538, range=[-2.090149,2.406763], active=1
covariate 8:   type=float, missing=  1 of  50, average=-0.105509, stdev=1.087941, range=[-2.754983,1.832545], active=1
covariate 9:   type=float, missing=  1 of  50, average=-0.095638, stdev=1.051062, range=[-2.086426,3.107641], active=1
covariate 10:  type=float, missing=  2 of  50, average=-0.035865, stdev=0.982705, range=[-1.920437,1.965296], active=1
covariate 11:  type=float, missing=  0 of  50, average=0.043399, stdev=1.098271, range=[-3.103171,2.128089], active=1
covariate 12:  type=float, missing=  0 of  50, average=-0.239200, stdev=0.980699, range=[-2.128433,2.091500], active=1
covariate 13:  type=float, missing=  5 of  50, average=0.021725, stdev=1.121152, range=[-3.316131,2.287817], active=1
covariate 14:  type=float, missing=  3 of  50, average=-0.127948, stdev=1.130924, range=[-1.997273,2.983587], active=1
covariate 15:  type=float, missing=  5 of  50, average=-0.118582, stdev=0.864556, range=[-1.869134,2.539859], active=1
covariate 16:  type=float, missing=  3 of  50, average=0.034594, stdev=0.777026, range=[-2.303853,1.747391], active=1
covariate 17:  type=float, missing=  0 of  50, average=0.006894, stdev=1.013166, range=[-1.940511,2.401555], active=1
covariate 18:  type=float, missing=  4 of  50, average=0.084320, stdev=0.797122, range=[-1.764656,2.212369], active=1
covariate 19:  type=float, missing=  3 of  50, average=-0.025202, stdev=0.721629, range=[-1.056601,1.874988], active=1
covariate 20:  type=float, missing=  1 of  50, average=0.013240, stdev=0.920979, range=[-2.060670,2.006224], active=1
covariate 21:  type=float, missing=  3 of  50, average=0.109479, stdev=0.927111, range=[-2.186478,1.715933], active=1
covariate 22:  type=float, missing=  2 of  50, average=0.184763, stdev=1.059771, range=[-1.879809,2.676166], active=1
covariate 23:  type=float, missing=  5 of  50, average=0.107077, stdev=1.175415, range=[-2.882541,2.569818], active=1
covariate 24:  type=float, missing=  1 of  50, average=0.007762, stdev=1.009359, range=[-2.156313,2.309302], active=1
covariate 25:  type=float, missing=  4 of  50, average=-0.313171, stdev=0.994924, range=[-2.511491,1.739389], active=1
covariate 26:  type=float, missing=  5 of  50, average=0.277301, stdev=0.929618, range=[-1.582177,1.948119], active=1
covariate 27:  type=float, missing=  1 of  50, average=0.057037, stdev=1.032984, range=[-2.562423,1.888171], active=1
covariate 28:  type=float, missing=  3 of  50, average=0.172149, stdev=1.077247, range=[-2.204985,3.075021], active=1
covariate 29:  type=float, missing=  2 of  50, average=-0.046972, stdev=0.921091, range=[-1.475864,2.453136], active=1
covariate 30:  type=float, missing=  3 of  50, average=-0.176540, stdev=1.083435, range=[-2.733338,1.962201], active=1
covariate 31:  type=float, missing=  3 of  50, average=-0.020167, stdev=0.930292, range=[-1.819151,2.110513], active=1
covariate 32:  type=float, missing=  2 of  50, average=-0.122863, stdev=1.085231, range=[-2.395829,2.064368], active=1
covariate 33:  type=float, missing=  3 of  50, average=0.030130, stdev=1.019094, range=[-1.880518,2.523251], active=1
covariate 34:  type=float, missing=  5 of  50, average=0.201382, stdev=0.850814, range=[-1.834904,1.699987], active=1
covariate 35:  type=float, missing=  3 of  50, average=-0.221792, stdev=0.928055, range=[-3.514614,1.562364], active=1
covariate 36:  type=float, missing=  5 of  50, average=-0.115144, stdev=0.802298, range=[-1.944630,1.396334], active=1
covariate 37:  type=float, missing=  3 of  50, average=-0.075118, stdev=1.104212, range=[-2.724075,2.878583], active=1
covariate 38:  type=float, missing=  1 of  50, average=-0.084597, stdev=1.048039, range=[-2.366397,2.228339], active=1
covariate 39:  type=float, missing=  1 of  50, average=-0.373611, stdev=1.049292, range=[-2.984089,1.664212], active=1
covariate 40:  type=float, missing=  2 of  50, average=0.070054, stdev=1.022286, range=[-2.313124,2.372713], active=1
