active=20: F_T=0.744205, F_V=0.486364
active=19: F_T=0.738182, F_V=0.502727
active=18: F_T=0.730227, F_V=0.508295
active=17: F_T=0.732273, F_V=0.518750
active=16: F_T=0.725568, F_V=0.527727
active=15: F_T=0.715114, F_V=0.530227
active=14: F_T=0.704318, F_V=0.542159
active=13: F_T=0.709205, F_V=0.555227
active=12: F_T=0.704659, F_V=0.550227
active=11: F_T=0.693636, F_V=0.565000
active=10: F_T=0.680227, F_V=0.546818
active=9: F_T=0.681705, F_V=0.554773
active=8: F_T=0.667727, F_V=0.560114
active=7: F_T=0.666136, F_V=0.578182
active=6: F_T=0.673295, F_V=0.579773
active=5: F_T=0.645455, F_V=0.562500
active=4: F_T=0.653636, F_V=0.577159
active=3: F_T=0.628750, F_V=0.587727
active=2: F_T=0.616818, F_V=0.589886
active=1: F_T=0.583977, F_V=0.569773
active=0: F_T=0.500000, F_V=0.500000
