covariate 1:   type=float, missing=  7 of 100, average=0.172612, stdev=1.015973, range=[-2.179622,3.836157], active=1
covariate 2:   type=float, missing=  7 of 100, average=0.052775, stdev=0.935891, range=[-2.222573,2.035553], active=1
covariate 3:   type=float, missing=  4 of 100, average=0.231927, stdev=0.815448, range=[-2.422302,2.414693], active=1
covariate 4:   type=float, missing=  8 of 100, average=0.160428, stdev=1.045377, range=[-3.122003,2.671462], active=1
covariate 5:   type=float, missing=  7 of 100, average=-0.059690, stdev=1.077727, range=[-2.592577,2.313755], active=1
covariate 6:   type=float, missing=  4 of 100, average=0.051212, stdev=0.982258, range=[-2.522860,1.735146], active=1
covariate 7:   type=float, missing=  2 of 100, average=-0.091043, stdev=0.831712, range=[-2.221942,1.759544], active=1
covariate 8:   type=float, missing=  6 of 100, average=0.110501, stdev=1.034641, range=[-1.928759,3.363850], active=1
covariate 9:   type=float, missing=  3 of 100, average=0.006908, stdev=0.937946, range=[-2.264963,2.797091], active=1
covariate 10:  type=float, missing=  5 of 100, average=-0.019766, stdev=0.865772, range=[-2.730838,1.907422], active=1
covariate 11:  type=float, missing=  6 of 100, average=0.185841, stdev=1.023783, range=[-2.216864,2.207418], active=1
covariate 12:  type=float, missing=  6 of 100, average=-0.076170, stdev=1.010250, range=[-2.278206,3.262288], active=1
covariate 13:  type=float, missing=  3 of 100, average=0.057283, stdev=1.003792, range=[-2.258922,2.675222], active=1
covariate 14:  type=float, missing=  7 of 100, average=-0.134463, stdev=1.161322, range=[-3.168060,3.452941], active=1
covariate 15:  type=float, missing=  6 of 100, average=0.045085, stdev=1.029022, range=[-2.126883,2.985652], active=1
covariate 16:  type=float, missing=  4 of 100, average=-0.115622, stdev=1.021147, range=[-2.246721,2.257195], active=1
covariate 17:  type=float, missing=  5 of 100, average=0.035438, stdev=0.994231, range=[-2.555792,2.968570], active=1
covariate 18:  type=float, missing=  5 of 100, average=-0.076900, stdev=0.973701, range=[-2.657216,2.266485], active=1
covariate 19:  type=float, missing=  4 of 100, average=0.004677, stdev=1.076946, range=[-2.685919,2.415073], active=1
covariate 20:  type=float, missing=  5 of 100, average=-0.122142, stdev=0.961036, range=[-2.515509,1.772213], active=1
covariate 21:  type=float, missing=  3 of 100, average=0.081025, stdev=1.077812, range=[-2.536511,3.560374], active=1
covariate 22:  type=float, missing=  6 of 100, average=0.099538, stdev=0.927169, range=[-2.484259,2.470112], active=1
covariate 23:  type=float, missing=  4 of 100, average=0.073128, stdev=0.908903, range=[-2.107534,2.541104], active=1
covariate 24:  type=float, missing=  6 of 100, average=-0.209623, stdev=1.051860, range=[-2.457411,3.086240], active=1
covariate 25:  type=float, missing=  4 of 100, average=0.017973, stdev=1.194129, range=[-3.310375,2.556328], active=1
covariate 26:  type=float, missing=  6 of 100, average=0.014597, stdev=0.979541, range=[-2.402922,2.082982], active=1
covariate 27:  type=float, missing=  4 of 100, average=-0.000912, stdev=0.943448, range=[-2.481437,2.591193], active=1
covariate 28:  type=float, missing=  5 of 100, average=-0.030905, stdev=0.903748, range=[-2.692457,2.436196], active=1
covariate 29:  type=float, missing=  6 of 100, average=-0.074533, stdev=0.984517, range=[-3.007091,2.408914], active=1
covariate 30:  type=float, missing=  4 of 100, average=0.016313, stdev=1.201642, range=[-3.084471,2.527861], active=1
covariate 31:  type=float, missing=  9 of 100, average=-0.113231, stdev=1.023340, range=[-2.476808,2.450407], active=1
covariate 32:  type=float, missing=  4 of 100, average=-0.073615, stdev=1.022312, range=[-2.905261,1.968446], active=1
covariate 33:  type=float, missing=  3 of 100, average=-0.233159, stdev=1.043158, range=[-3.252960,2.334796], active=1
covariate 34:  type=float, missing=  5 of 100, average=-0.154381, stdev=0.903238, range=[-2.159727,2.116896], active=1
covariate 35:  type=float, missing=  3 of 100, average=0.025042, stdev=1.063049, range=[-2.404060,3.057494], active=1
covariate 36:  type=float, missing= 10 of 100, average=0.035142, stdev=1.051197, range=[-2.375490,2.739349], active=1
covariate 37:  type=float, missing=  9 of 100, average=0.116008, stdev=0.994374, range=[-2.131944,3.022227], active=1
covariate 38:  type=float, missing=  5 of 100, average=-0.029692, stdev=1.012013, range=[-2.574162,2.564983], active=1
covariate 39:  type=float, missing=  1 of 100, average=-0.148684, stdev=0.993307, range=[-2.359458,2.511067], active=1
covariate 40:  type=float, missing=  4 of 100, average=-0.053350, stdev=0.960766, range=[-2.653135,2.487662], active=1
covariate 41:  type=float, missing=  2 of 100, average=-0.048394, stdev=0.972379, range=[-2.409072,2.147231], active=1
covariate 42:  type=float, missing=  6 of 100, average=-0.042295, stdev=0.950174, range=[-2.059374,2.781139], active=1
covariate 43:  type=float, missing=  5 of 100, average=0.075091, stdev=0.968266, range=[-1.929796,2.801891], active=1
