active=72: F_T=0.985833, F_V=0.508333
active=71: F_T=0.985417, F_V=0.513750
active=70: F_T=0.986667, F_V=0.493750
active=69: F_T=0.985625, F_V=0.511250
active=68: F_T=0.984583, F_V=0.500000
active=67: F_T=0.986042, F_V=0.505000
active=66: F_T=0.982500, F_V=0.522083
active=65: F_T=0.984375, F_V=0.506042
active=64: F_T=0.985833, F_V=0.515208
active=63: F_T=0.982917, F_V=0.518958
active=62: F_T=0.981250, F_V=0.523542
active=61: F_T=0.980625, F_V=0.530417
active=60: F_T=0.983125, F_V=0.533333
active=59: F_T=0.982292, F_V=0.541458
active=58: F_T=0.974792, F_V=0.537083
active=57: F_T=0.976875, F_V=0.535625
active=56: F_T=0.975000, F_V=0.538750
active=55: F_T=0.972708, F_V=0.535208
active=54: F_T=0.975208, F_V=0.550417
active=53: F_T=0.976250, F_V=0.542292
active=52: F_T=0.973750, F_V=0.557083
active=51: F_T=0.972500, F_V=0.558542
active=50: F_T=0.972917, F_V=0.550833
active=49: F_T=0.966250, F_V=0.569375
active=48: F_T=0.972917, F_V=0.560000
active=47: F_T=0.969167, F_V=0.570000
active=46: F_T=0.969792, F_V=0.580000
active=45: F_T=0.966458, F_V=0.566250
active=44: F_T=0.962083, F_V=0.588333
active=43: F_T=0.961250, F_V=0.574375
active=42: F_T=0.960000, F_V=0.585625
active=41: F_T=0.958333, F_V=0.590833
active=40: F_T=0.963750, F_V=0.592500
active=39: F_T=0.960208, F_V=0.575417
active=38: F_T=0.958542, F_V=0.574583
active=37: F_T=0.956458, F_V=0.587500
active=36: F_T=0.954583, F_V=0.593125
active=35: F_T=0.941667, F_V=0.591042
active=34: F_T=0.942708, F_V=0.607083
active=33: F_T=0.939167, F_V=0.600000
active=32: F_T=0.940625, F_V=0.611875
active=31: F_T=0.940000, F_V=0.605417
active=30: F_T=0.931250, F_V=0.613958
active=29: F_T=0.932500, F_V=0.625000
active=28: F_T=0.934167, F_V=0.625625
active=27: F_T=0.936042, F_V=0.636042
active=26: F_T=0.926458, F_V=0.631250
active=25: F_T=0.923750, F_V=0.649792
active=24: F_T=0.921458, F_V=0.652292
active=23: F_T=0.923542, F_V=0.664167
active=22: F_T=0.910833, F_V=0.655208
active=21: F_T=0.910208, F_V=0.652500
active=20: F_T=0.906250, F_V=0.674167
active=19: F_T=0.913542, F_V=0.670000
active=18: F_T=0.886875, F_V=0.659792
active=17: F_T=0.894375, F_V=0.673750
active=16: F_T=0.884167, F_V=0.675000
active=15: F_T=0.868542, F_V=0.683542
active=14: F_T=0.869792, F_V=0.699375
active=13: F_T=0.869792, F_V=0.699375
active=12: F_T=0.862292, F_V=0.698958
active=11: F_T=0.871875, F_V=0.713542
active=10: F_T=0.858958, F_V=0.706458
active=9: F_T=0.847708, F_V=0.711875
active=8: F_T=0.818750, F_V=0.700000
active=7: F_T=0.770833, F_V=0.667708
active=6: F_T=0.751250, F_V=0.666667
active=5: F_T=0.727083, F_V=0.672292
active=4: F_T=0.673125, F_V=0.625417
active=3: F_T=0.620208, F_V=0.599167
active=2: F_T=0.561042, F_V=0.535208
active=1: F_T=0.545625, F_V=0.541042
active=0: F_T=0.500000, F_V=0.500000
