active=40: F_T=0.886200, F_V=0.662000
active=39: F_T=0.887800, F_V=0.672200
active=38: F_T=0.887900, F_V=0.659200
active=37: F_T=0.881300, F_V=0.671700
active=36: F_T=0.882800, F_V=0.672300
active=35: F_T=0.870300, F_V=0.683900
active=34: F_T=0.874700, F_V=0.680200
active=33: F_T=0.869800, F_V=0.678700
active=32: F_T=0.869400, F_V=0.682600
active=31: F_T=0.856700, F_V=0.689800
active=30: F_T=0.858600, F_V=0.685200
active=29: F_T=0.848600, F_V=0.696300
active=28: F_T=0.853100, F_V=0.696600
active=27: F_T=0.852500, F_V=0.697800
active=26: F_T=0.839500, F_V=0.706600
active=25: F_T=0.836700, F_V=0.712200
active=24: F_T=0.837400, F_V=0.702100
active=23: F_T=0.825400, F_V=0.704600
active=22: F_T=0.822600, F_V=0.720700
active=21: F_T=0.821300, F_V=0.711200
active=20: F_T=0.808700, F_V=0.705800
active=19: F_T=0.811600, F_V=0.709400
active=18: F_T=0.801400, F_V=0.714800
active=17: F_T=0.795100, F_V=0.725100
active=16: F_T=0.798400, F_V=0.719300
active=15: F_T=0.798400, F_V=0.719300
active=14: F_T=0.796900, F_V=0.731800
active=13: F_T=0.805900, F_V=0.741500
active=12: F_T=0.786400, F_V=0.732500
active=11: F_T=0.780000, F_V=0.727700
active=10: F_T=0.761000, F_V=0.728900
active=9: F_T=0.741800, F_V=0.706300
active=8: F_T=0.744800, F_V=0.711600
active=7: F_T=0.737600, F_V=0.705800
active=6: F_T=0.732600, F_V=0.702500
active=5: F_T=0.728200, F_V=0.696600
active=4: F_T=0.711500, F_V=0.677000
active=3: F_T=0.642000, F_V=0.613000
active=2: F_T=0.623100, F_V=0.625700
active=1: F_T=0.623200, F_V=0.627400
active=0: F_T=0.500000, F_V=0.500000
