covariate 1:   name=covariate1, type=float, missing=  7 of 100, average=-0.046546, stdev=0.879137, range=[-1.830931,2.057159], active=1
covariate 2:   name=covariate2, type=float, missing=  5 of 100, average=-0.011992, stdev=0.800803, range=[-1.919937,1.892481], active=1
covariate 3:   name=covariate3, type=float, missing=  7 of 100, average=0.063891, stdev=0.948404, range=[-2.012545,2.574133], active=1
covariate 4:   name=covariate4, type=float, missing=  6 of 100, average=0.033368, stdev=1.126297, range=[-2.446602,3.424550], active=1
covariate 5:   name=covariate5, type=float, missing=  5 of 100, average=-0.103282, stdev=1.114489, range=[-3.091517,2.309273], active=1
covariate 6:   name=covariate6, type=float, missing=  3 of 100, average=0.045201, stdev=0.979612, range=[-2.540343,2.443430], active=1
covariate 7:   name=covariate7, type=float, missing=  4 of 100, average=0.000989, stdev=1.067370, range=[-3.164509,2.855946], active=1
covariate 8:   name=covariate8, type=float, missing=  6 of 100, average=-0.083414, stdev=0.885778, range=[-2.414356,1.711082], active=1
covariate 9:   name=covariate9, type=float, missing=  6 of 100, average=-0.011830, stdev=0.961571, range=[-3.038504,2.061936], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=0.108700, stdev=0.992609, range=[-2.490624,3.456816], active=1
covariate 11:  name=covariate11, type=float, missing=  1 of 100, average=0.002533, stdev=0.987531, range=[-2.683171,3.034319], active=1
covariate 12:  name=covariate12, type=float, missing=  4 of 100, average=-0.031222, stdev=0.958703, range=[-2.727104,2.168073], active=1
covariate 13:  name=covariate13, type=float, missing=  8 of 100, average=0.118836, stdev=0.947614, range=[-2.714225,2.364350], active=1
covariate 14:  name=covariate14, type=float, missing=  4 of 100, average=0.126374, stdev=0.940560, range=[-2.233216,2.336751], active=1
covariate 15:  name=covariate15, type=float, missing=  4 of 100, average=-0.181498, stdev=1.004886, range=[-2.502405,1.891900], active=1
covariate 16:  name=covariate16, type=float, missing=  7 of 100, average=0.203556, stdev=1.025931, range=[-2.649354,3.046505], active=1
covariate 17:  name=covariate17, type=float, missing=  4 of 100, average=-0.128729, stdev=1.033153, range=[-2.855046,2.657987], active=1
covariate 18:  name=covariate18, type=float, missing=  4 of 100, average=0.067740, stdev=0.929380, range=[-1.497924,2.632196], active=1
covariate 19:  name=covariate19, type=float, missing=  4 of 100, average=0.182119, stdev=1.075913, range=[-2.252772,3.565742], active=1
covariate 20:  name=covariate20, type=float, missing=  1 of 100, average=0.021579, stdev=0.982658, range=[-2.368925,2.710562], active=1
covariate 21:  name=covariate21, type=float, missing=  6 of 100, average=-0.129649, stdev=0.978120, range=[-2.608677,1.803573], active=1
covariate 22:  name=covariate22, type=float, missing=  4 of 100, average=0.002957, stdev=1.035171, range=[-2.428869,2.579795], active=1
covariate 23:  name=covariate23, type=float, missing=  4 of 100, average=-0.128586, stdev=0.979253, range=[-2.083943,2.709507], active=1
covariate 24:  name=covariate24, type=float, missing=  2 of 100, average=-0.005454, stdev=1.130672, range=[-2.554375,2.734812], active=1
covariate 25:  name=covariate25, type=float, missing=  3 of 100, average=0.122252, stdev=0.945815, range=[-2.122072,3.246933], active=1
covariate 26:  name=covariate26, type=float, missing=  3 of 100, average=-0.016355, stdev=0.991001, range=[-2.080977,2.286439], active=1
covariate 27:  name=covariate27, type=float, missing=  6 of 100, average=0.146852, stdev=0.967696, range=[-2.415499,2.535689], active=1
covariate 28:  name=covariate28, type=float, missing=  6 of 100, average=0.005091, stdev=0.942731, range=[-2.174943,2.467342], active=1
covariate 29:  name=covariate29, type=float, missing=  6 of 100, average=-0.000048, stdev=1.027362, range=[-2.139446,2.273312], active=1
covariate 30:  name=covariate30, type=float, missing=  5 of 100, average=-0.045198, stdev=0.913898, range=[-2.288172,2.460787], active=1
covariate 31:  name=covariate31, type=float, missing=  7 of 100, average=0.013999, stdev=0.957321, range=[-2.889792,2.963013], active=1
covariate 32:  name=covariate32, type=float, missing=  3 of 100, average=-0.050473, stdev=1.089929, range=[-2.604534,3.239195], active=1
covariate 33:  name=covariate33, type=float, missing=  5 of 100, average=0.086625, stdev=1.006382, range=[-2.325081,2.533676], active=1
covariate 34:  name=covariate34, type=float, missing=  6 of 100, average=0.064648, stdev=0.990468, range=[-2.949138,3.060441], active=1
covariate 35:  name=covariate35, type=float, missing=  6 of 100, average=0.062629, stdev=0.896660, range=[-2.518336,2.588125], active=1
covariate 36:  name=covariate36, type=float, missing=  5 of 100, average=0.007300, stdev=1.009858, range=[-2.164481,2.103434], active=1
covariate 37:  name=covariate37, type=float, missing=  8 of 100, average=-0.043584, stdev=0.926215, range=[-1.964376,2.775333], active=1
covariate 38:  name=covariate38, type=float, missing=  3 of 100, average=0.035183, stdev=0.910808, range=[-2.244087,2.177925], active=1
covariate 39:  name=covariate39, type=float, missing=  5 of 100, average=0.077704, stdev=0.915614, range=[-1.970117,2.459218], active=1
covariate 40:  name=covariate40, type=float, missing=  5 of 100, average=0.098316, stdev=1.090429, range=[-2.330900,2.615796], active=1
