covariate 1:   name=covariate1, type=float, missing=  3 of  50, average=0.115560, stdev=0.832360, range=[-1.706347,2.168953], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of  50, average=-0.029616, stdev=1.039840, range=[-2.318679,2.763840], active=1
covariate 3:   name=covariate3, type=float, missing=  6 of  50, average=-0.063732, stdev=0.943775, range=[-2.573957,2.372591], active=1
covariate 4:   name=covariate4, type=float, missing=  3 of  50, average=0.200751, stdev=1.138941, range=[-2.035766,2.551482], active=1
covariate 5:   name=covariate5, type=float, missing=  4 of  50, average=-0.027648, stdev=1.002540, range=[-2.243318,1.763187], active=1
covariate 6:   name=covariate6, type=float, missing=  1 of  50, average=0.073241, stdev=0.922385, range=[-2.213903,1.575969], active=1
covariate 7:   name=covariate7, type=float, missing=  2 of  50, average=0.081705, stdev=0.911461, range=[-2.247739,2.472425], active=1
covariate 8:   name=covariate8, type=float, missing=  2 of  50, average=0.211892, stdev=0.983951, range=[-2.140168,2.203006], active=1
covariate 9:   name=covariate9, type=float, missing=  2 of  50, average=-0.193430, stdev=1.079654, range=[-2.661057,2.608811], active=1
covariate 10:  name=covariate10, type=float, missing=  3 of  50, average=0.030942, stdev=1.061937, range=[-2.225207,2.493374], active=1
covariate 11:  name=covariate11, type=float, missing=  4 of  50, average=0.047030, stdev=1.063233, range=[-1.768452,2.316508], active=1
covariate 12:  name=covariate12, type=float, missing=  4 of  50, average=-0.044872, stdev=0.975149, range=[-2.522651,1.935632], active=1
covariate 13:  name=covariate13, type=float, missing=  1 of  50, average=-0.194090, stdev=0.900253, range=[-2.230292,1.444499], active=1
covariate 14:  name=covariate14, type=float, missing=  3 of  50, average=-0.062916, stdev=0.838304, range=[-2.161737,1.562786], active=1
covariate 15:  name=covariate15, type=float, missing=  4 of  50, average=-0.019987, stdev=0.929104, range=[-1.827203,1.994459], active=1
covariate 16:  name=covariate16, type=float, missing=  2 of  50, average=-0.053639, stdev=1.034048, range=[-3.006979,2.422822], active=1
covariate 17:  name=covariate17, type=float, missing=  1 of  50, average=0.002385, stdev=0.973087, range=[-2.410961,1.964372], active=1
covariate 18:  name=covariate18, type=float, missing=  4 of  50, average=-0.172588, stdev=0.932988, range=[-2.598888,1.530298], active=1
covariate 19:  name=covariate19, type=float, missing=  3 of  50, average=0.122019, stdev=1.057546, range=[-2.181665,3.071177], active=1
covariate 20:  name=covariate20, type=float, missing=  2 of  50, average=0.083972, stdev=0.877007, range=[-1.526858,2.609245], active=1
covariate 21:  name=covariate21, type=float, missing=  4 of  50, average=-0.070019, stdev=1.074128, range=[-2.028913,3.708860], active=1
covariate 22:  name=covariate22, type=float, missing=  3 of  50, average=0.029396, stdev=0.863046, range=[-1.787963,2.727354], active=1
covariate 23:  name=covariate23, type=float, missing=  1 of  50, average=0.047467, stdev=0.901035, range=[-1.884983,2.218393], active=1
covariate 24:  name=covariate24, type=float, missing=  3 of  50, average=0.202149, stdev=0.979443, range=[-1.820477,2.390207], active=1
covariate 25:  name=covariate25, type=float, missing=  4 of  50, average=0.162411, stdev=1.068495, range=[-2.295259,2.341508], active=1
covariate 26:  name=covariate26, type=float, missing=  2 of  50, average=0.029853, stdev=1.090488, range=[-1.709759,2.806377], active=1
covariate 27:  name=covariate27, type=float, missing=  2 of  50, average=0.011600, stdev=0.872951, range=[-1.629219,1.823742], active=1
covariate 28:  name=covariate28, type=float, missing=  3 of  50, average=-0.086877, stdev=0.925981, range=[-2.168678,1.752361], active=1
covariate 29:  name=covariate29, type=float, missing=  3 of  50, average=-0.148252, stdev=1.010525, range=[-2.184979,2.303509], active=1
covariate 30:  name=covariate30, type=float, missing=  4 of  50, average=-0.079020, stdev=1.005248, range=[-2.653137,2.180439], active=1
covariate 31:  name=covariate31, type=float, missing=  1 of  50, average=-0.092526, stdev=1.037589, range=[-2.031879,1.832070], active=1
covariate 32:  name=covariate32, type=float, missing=  2 of  50, average=-0.079129, stdev=1.045978, range=[-2.064039,1.904882], active=1
covariate 33:  name=covariate33, type=float, missing=  2 of  50, average=0.227011, stdev=1.078590, range=[-1.718255,2.331644], active=1
covariate 34:  name=covariate34, type=float, missing=  3 of  50, average=-0.156338, stdev=1.010516, range=[-2.648431,1.763017], active=1
covariate 35:  name=covariate35, type=float, missing=  2 of  50, average=0.033244, stdev=1.122376, range=[-2.692174,3.135744], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of  50, average=0.229313, stdev=0.887624, range=[-1.909125,2.571128], active=1
covariate 37:  name=covariate37, type=float, missing=  1 of  50, average=-0.004321, stdev=1.022226, range=[-2.408005,2.068551], active=1
covariate 38:  name=covariate38, type=float, missing=  2 of  50, average=-0.110362, stdev=0.966051, range=[-1.931155,3.248937], active=1
covariate 39:  name=covariate39, type=float, missing=  3 of  50, average=0.071001, stdev=0.875759, range=[-1.521711,1.947320], active=1
covariate 40:  name=covariate40, type=float, missing=  4 of  50, average=0.183362, stdev=1.063445, range=[-2.506286,2.138274], active=1
