covariate 1:   name=covariate1, type=float, missing=  2 of  50, average=-0.072210, stdev=1.054672, range=[-2.008732,2.330804], active=1
covariate 2:   name=covariate2, type=float, missing=  4 of  50, average=-0.091638, stdev=1.015946, range=[-2.756257,1.583249], active=1
covariate 3:   name=covariate3, type=float, missing=  3 of  50, average=0.175472, stdev=1.122249, range=[-2.279512,3.186057], active=1
covariate 4:   name=covariate4, type=float, missing=  4 of  50, average=-0.215557, stdev=0.895681, range=[-2.611957,1.720765], active=1
covariate 5:   name=covariate5, type=float, missing=  2 of  50, average=-0.320600, stdev=1.039465, range=[-2.950286,1.907871], active=1
covariate 6:   name=covariate6, type=float, missing=  4 of  50, average=-0.116971, stdev=1.175249, range=[-2.287759,2.765247], active=1
covariate 7:   name=covariate7, type=float, missing=  2 of  50, average=0.087803, stdev=0.788154, range=[-1.815952,2.007375], active=1
covariate 8:   name=covariate8, type=float, missing=  1 of  50, average=0.029566, stdev=1.131835, range=[-2.953588,2.510201], active=1
covariate 9:   name=covariate9, type=float, missing=  7 of  50, average=-0.076137, stdev=1.146839, range=[-2.702905,1.813040], active=1
covariate 10:  name=covariate10, type=float, missing=  5 of  50, average=0.251643, stdev=1.073503, range=[-2.322688,3.496816], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of  50, average=0.224672, stdev=1.039100, range=[-2.036995,2.265577], active=1
covariate 12:  name=covariate12, type=float, missing=  2 of  50, average=-0.189050, stdev=0.982416, range=[-1.712782,1.646866], active=1
covariate 13:  name=covariate13, type=float, missing=  4 of  50, average=-0.177444, stdev=1.101700, range=[-2.455231,3.920236], active=1
covariate 14:  name=covariate14, type=float, missing=  1 of  50, average=-0.015742, stdev=1.190142, range=[-3.331639,2.937835], active=1
covariate 15:  name=covariate15, type=float, missing=  1 of  50, average=0.154438, stdev=0.936802, range=[-1.688466,2.865122], active=1
covariate 16:  name=covariate16, type=float, missing=  2 of  50, average=0.096901, stdev=0.857465, range=[-1.913061,2.342348], active=1
covariate 17:  name=covariate17, type=float, missing=  4 of  50, average=-0.040474, stdev=0.937223, range=[-2.760608,1.714321], active=1
covariate 18:  name=covariate18, type=float, missing=  2 of  50, average=-0.188470, stdev=1.067494, range=[-3.376969,2.321141], active=1
covariate 19:  name=covariate19, type=float, missing=  1 of  50, average=-0.298371, stdev=1.123497, range=[-2.912836,2.037919], active=1
covariate 20:  name=covariate20, type=float, missing=  5 of  50, average=0.035367, stdev=0.947172, range=[-2.823507,1.778546], active=1
covariate 21:  name=covariate21, type=float, missing=  2 of  50, average=-0.169296, stdev=1.165386, range=[-2.426807,2.519772], active=1
covariate 22:  name=covariate22, type=float, missing=  4 of  50, average=0.070618, stdev=1.217626, range=[-1.961630,2.959588], active=1
covariate 23:  name=covariate23, type=float, missing=  3 of  50, average=0.239142, stdev=0.838313, range=[-1.563763,1.981178], active=1
covariate 24:  name=covariate24, type=float, missing=  5 of  50, average=0.241239, stdev=1.006086, range=[-1.840204,2.284678], active=1
