active=40: F_T=0.937100, F_V=0.790900
active=39: F_T=0.933200, F_V=0.797400
active=38: F_T=0.939000, F_V=0.806500
active=37: F_T=0.935600, F_V=0.810300
active=36: F_T=0.939600, F_V=0.808400
active=35: F_T=0.935200, F_V=0.805400
active=34: F_T=0.931200, F_V=0.817900
active=33: F_T=0.931200, F_V=0.814500
active=32: F_T=0.927400, F_V=0.821700
active=31: F_T=0.921800, F_V=0.825300
active=30: F_T=0.926300, F_V=0.823200
active=29: F_T=0.919900, F_V=0.826100
active=28: F_T=0.914800, F_V=0.826000
active=27: F_T=0.913500, F_V=0.822200
active=26: F_T=0.913900, F_V=0.820300
active=25: F_T=0.910600, F_V=0.822500
active=24: F_T=0.906500, F_V=0.815600
active=23: F_T=0.886600, F_V=0.810500
active=22: F_T=0.877900, F_V=0.809400
active=21: F_T=0.875100, F_V=0.799700
active=20: F_T=0.858200, F_V=0.794400
active=19: F_T=0.852900, F_V=0.781100
active=18: F_T=0.835700, F_V=0.780000
active=17: F_T=0.842500, F_V=0.781200
active=16: F_T=0.840200, F_V=0.782700
active=15: F_T=0.824600, F_V=0.749700
active=14: F_T=0.830200, F_V=0.757700
active=13: F_T=0.828400, F_V=0.759000
active=12: F_T=0.830100, F_V=0.770500
active=11: F_T=0.832400, F_V=0.787300
active=10: F_T=0.827900, F_V=0.778400
active=9: F_T=0.833600, F_V=0.780700
active=8: F_T=0.803300, F_V=0.770000
active=7: F_T=0.790700, F_V=0.763800
active=6: F_T=0.785600, F_V=0.749100
active=5: F_T=0.737300, F_V=0.712000
active=4: F_T=0.722800, F_V=0.699400
active=3: F_T=0.695200, F_V=0.669000
active=2: F_T=0.721900, F_V=0.711300
active=1: F_T=0.615700, F_V=0.622100
active=0: F_T=0.529600, F_V=0.530400
