covariate 1:   name=covariate1, type=float, missing=  0 of 100, average=-0.115195, stdev=1.012021, range=[-2.471977,2.727259], active=1
covariate 2:   name=covariate2, type=float, missing=  0 of 100, average=-0.008075, stdev=0.941724, range=[-2.916426,1.978819], active=1
covariate 3:   name=covariate3, type=float, missing=  0 of 100, average=0.020530, stdev=0.954704, range=[-2.347820,2.128041], active=1
covariate 4:   name=covariate4, type=float, missing=  0 of 100, average=-0.086312, stdev=0.984097, range=[-2.598908,2.629926], active=1
covariate 5:   name=covariate5, type=float, missing=  0 of 100, average=-0.107697, stdev=0.984678, range=[-2.140464,2.225021], active=1
covariate 6:   name=covariate6, type=float, missing=  0 of 100, average=0.027133, stdev=1.060410, range=[-3.344378,2.384732], active=1
covariate 7:   name=covariate7, type=float, missing=  0 of 100, average=-0.158266, stdev=0.985398, range=[-2.732108,2.457114], active=1
covariate 8:   name=covariate8, type=float, missing=  0 of 100, average=0.015977, stdev=1.059600, range=[-2.427750,2.769950], active=1
covariate 9:   name=covariate9, type=float, missing=  0 of 100, average=0.003117, stdev=1.064371, range=[-2.284837,2.660682], active=1
covariate 10:  name=covariate10, type=float, missing=  0 of 100, average=0.031835, stdev=0.882623, range=[-1.642936,2.045669], active=1
covariate 11:  name=covariate11, type=float, missing=  0 of 100, average=0.063814, stdev=1.019414, range=[-2.270198,2.421978], active=1
covariate 12:  name=covariate12, type=float, missing=  0 of 100, average=-0.093849, stdev=0.907322, range=[-2.789807,1.672761], active=1
covariate 13:  name=covariate13, type=float, missing=  0 of 100, average=0.054866, stdev=1.013974, range=[-3.259051,2.616473], active=1
covariate 14:  name=covariate14, type=float, missing=  0 of 100, average=0.001623, stdev=1.004328, range=[-3.242415,2.701744], active=1
covariate 15:  name=covariate15, type=float, missing=  0 of 100, average=0.082629, stdev=0.925046, range=[-2.267918,2.204144], active=1
covariate 16:  name=covariate16, type=float, missing=  0 of 100, average=0.133757, stdev=0.948517, range=[-2.721962,3.263886], active=1
covariate 17:  name=covariate17, type=float, missing=  0 of 100, average=-0.111066, stdev=1.041516, range=[-2.497276,2.719789], active=1
covariate 18:  name=covariate18, type=float, missing=  0 of 100, average=-0.064366, stdev=1.055281, range=[-2.595171,2.441934], active=1
covariate 19:  name=covariate19, type=float, missing=  0 of 100, average=0.215911, stdev=0.875166, range=[-1.617417,2.860089], active=1
covariate 20:  name=covariate20, type=float, missing=  0 of 100, average=-0.172930, stdev=0.974844, range=[-2.940651,1.892668], active=1
covariate 21:  name=covariate21, type=float, missing=  0 of 100, average=0.006260, stdev=1.038866, range=[-3.009924,2.849567], active=1
covariate 22:  name=covariate22, type=float, missing=  0 of 100, average=0.050047, stdev=1.008021, range=[-3.009719,2.790820], active=1
covariate 23:  name=covariate23, type=float, missing=  0 of 100, average=-0.027247, stdev=1.020700, range=[-3.184980,2.651150], active=1
covariate 24:  name=covariate24, type=float, missing=  0 of 100, average=-0.027071, stdev=0.987752, range=[-2.786114,2.790573], active=1
covariate 25:  name=covariate25, type=float, missing=  0 of 100, average=0.014769, stdev=0.982274, range=[-2.664428,2.555751], active=1
covariate 26:  name=covariate26, type=float, missing=  0 of 100, average=0.031161, stdev=0.988037, range=[-2.941141,2.267381], active=1
covariate 27:  name=covariate27, type=float, missing=  0 of 100, average=0.000679, stdev=0.983197, range=[-2.257751,2.475587], active=1
covariate 28:  name=covariate28, type=float, missing=  0 of 100, average=-0.022972, stdev=1.005332, range=[-2.899945,2.232288], active=1
covariate 29:  name=covariate29, type=float, missing=  0 of 100, average=-0.071370, stdev=1.036739, range=[-2.802972,2.438929], active=1
covariate 30:  name=covariate30, type=float, missing=  0 of 100, average=-0.096105, stdev=0.911743, range=[-2.364578,2.149507], active=1
covariate 31:  name=covariate31, type=float, missing=  0 of 100, average=-0.003340, stdev=1.046822, range=[-2.413404,2.557158], active=1
covariate 32:  name=covariate32, type=float, missing=  0 of 100, average=-0.164787, stdev=0.973369, range=[-2.504171,2.183805], active=1
covariate 33:  name=covariate33, type=float, missing=  0 of 100, average=-0.266213, stdev=1.004071, range=[-2.906010,1.865156], active=1
covariate 34:  name=covariate34, type=float, missing=  0 of 100, average=-0.067169, stdev=0.884245, range=[-1.990418,2.501696], active=1
covariate 35:  name=covariate35, type=float, missing=  0 of 100, average=-0.003657, stdev=1.014422, range=[-2.121986,2.288475], active=1
covariate 36:  name=covariate36, type=float, missing=  0 of 100, average=-0.008420, stdev=0.975378, range=[-2.839795,3.361439], active=1
covariate 37:  name=covariate37, type=float, missing=  0 of 100, average=-0.157120, stdev=0.937950, range=[-2.694493,2.466914], active=1
covariate 38:  name=covariate38, type=float, missing=  0 of 100, average=0.160229, stdev=1.081447, range=[-3.437212,2.171811], active=1
covariate 39:  name=covariate39, type=float, missing=  0 of 100, average=0.114253, stdev=1.134880, range=[-2.568166,2.939468], active=1
covariate 40:  name=covariate40, type=float, missing=  0 of 100, average=0.004014, stdev=1.001895, range=[-2.244349,2.971870], active=1
covariate 41:  name=covariate41, type=float, missing=  0 of 100, average=0.022598, stdev=1.084821, range=[-2.326932,3.048506], active=1
covariate 42:  name=covariate42, type=float, missing=  0 of 100, average=0.139318, stdev=0.959118, range=[-2.285505,2.453112], active=1
covariate 43:  name=covariate43, type=float, missing=  0 of 100, average=-0.063550, stdev=0.946046, range=[-1.963104,2.631096], active=1
covariate 44:  name=covariate44, type=float, missing=  0 of 100, average=-0.023066, stdev=1.068227, range=[-2.558274,2.467481], active=1
covariate 45:  name=covariate45, type=float, missing=  0 of 100, average=-0.033131, stdev=1.049821, range=[-2.639688,2.313005], active=1
covariate 46:  name=covariate46, type=float, missing=  0 of 100, average=-0.036196, stdev=0.961605, range=[-2.270310,2.484158], active=1
covariate 47:  name=covariate47, type=float, missing=  0 of 100, average=0.071243, stdev=0.951604, range=[-2.509613,2.383508], active=1
covariate 48:  name=covariate48, type=float, missing=  0 of 100, average=0.192252, stdev=1.051949, range=[-3.020108,3.404337], active=1
covariate 49:  name=covariate49, type=float, missing=  0 of 100, average=0.045426, stdev=0.884264, range=[-2.310216,2.352644], active=1
covariate 50:  name=covariate50, type=float, missing=  0 of 100, average=0.197189, stdev=1.107136, range=[-2.508885,2.911552], active=1
covariate 51:  name=covariate51, type=float, missing=  0 of 100, average=0.098077, stdev=0.885887, range=[-2.212734,2.454165], active=1
covariate 52:  name=covariate52, type=float, missing=  0 of 100, average=-0.030277, stdev=1.039567, range=[-3.077623,3.035543], active=1
covariate 53:  name=covariate53, type=float, missing=  0 of 100, average=-0.228318, stdev=1.164433, range=[-3.723740,2.802487], active=1
covariate 54:  name=covariate54, type=float, missing=  0 of 100, average=-0.073280, stdev=0.939029, range=[-2.269440,2.471308], active=1
covariate 55:  name=covariate55, type=float, missing=  0 of 100, average=0.074663, stdev=0.939934, range=[-2.244185,2.438940], active=1
covariate 56:  name=covariate56, type=float, missing=  0 of 100, average=-0.134519, stdev=1.023316, range=[-2.727402,2.925682], active=1
covariate 57:  name=covariate57, type=float, missing=  0 of 100, average=-0.135182, stdev=0.999351, range=[-2.477338,2.252915], active=1
covariate 58:  name=covariate58, type=float, missing=  0 of 100, average=-0.054268, stdev=1.078649, range=[-2.760651,2.565714], active=1
covariate 59:  name=covariate59, type=float, missing=  0 of 100, average=-0.180753, stdev=0.989878, range=[-2.333035,2.472233], active=1
covariate 60:  name=covariate60, type=float, missing=  0 of 100, average=0.116793, stdev=1.013612, range=[-3.452187,3.541369], active=1
