active=50: F_T=0.996842, F_V=0.549737
active=49: F_T=0.997105, F_V=0.559474
active=48: F_T=0.996053, F_V=0.564474
active=47: F_T=0.995000, F_V=0.561316
active=46: F_T=0.992632, F_V=0.572895
active=45: F_T=0.992895, F_V=0.577632
active=44: F_T=0.989211, F_V=0.575263
active=43: F_T=0.988421, F_V=0.584737
active=42: F_T=0.986316, F_V=0.600789
active=41: F_T=0.987105, F_V=0.589737
active=40: F_T=0.986316, F_V=0.612105
active=39: F_T=0.982632, F_V=0.610263
active=38: F_T=0.983947, F_V=0.611053
active=37: F_T=0.985000, F_V=0.623158
active=36: F_T=0.978158, F_V=0.639474
active=35: F_T=0.974474, F_V=0.643684
active=34: F_T=0.973947, F_V=0.640000
active=33: F_T=0.970000, F_V=0.651316
active=32: F_T=0.975000, F_V=0.665526
active=31: F_T=0.974474, F_V=0.663421
active=30: F_T=0.971053, F_V=0.688684
active=29: F_T=0.971579, F_V=0.688684
active=28: F_T=0.974474, F_V=0.692368
active=27: F_T=0.971579, F_V=0.692895
active=26: F_T=0.971579, F_V=0.708158
active=25: F_T=0.966579, F_V=0.722895
active=24: F_T=0.967105, F_V=0.725000
active=23: F_T=0.963684, F_V=0.737105
active=22: F_T=0.961316, F_V=0.754211
active=21: F_T=0.957632, F_V=0.756579
active=20: F_T=0.967105, F_V=0.768158
active=19: F_T=0.967368, F_V=0.768947
active=18: F_T=0.965526, F_V=0.786053
active=17: F_T=0.958684, F_V=0.786316
active=16: F_T=0.949737, F_V=0.786579
active=15: F_T=0.949211, F_V=0.768947
active=14: F_T=0.951842, F_V=0.778684
active=13: F_T=0.943158, F_V=0.785789
active=12: F_T=0.939737, F_V=0.791842
active=11: F_T=0.939737, F_V=0.802632
active=10: F_T=0.927895, F_V=0.803158
active=9: F_T=0.932632, F_V=0.795000
active=8: F_T=0.893158, F_V=0.776579
active=7: F_T=0.883684, F_V=0.751842
active=6: F_T=0.841316, F_V=0.738421
active=5: F_T=0.799737, F_V=0.719474
active=4: F_T=0.822368, F_V=0.741053
active=3: F_T=0.797895, F_V=0.744211
active=2: F_T=0.721053, F_V=0.683947
active=1: F_T=0.782105, F_V=0.776316
active=0: F_T=0.526316, F_V=0.473684
